probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,113,0.025898252713553383,0.0,0.025898252713553383,0.0014111967374911987
10–20%,0.1,0.2,31,0.15081780973973358,0.0,0.15081780973973358,0.02355276909030013
20–30%,0.2,0.30000000000000004,20,0.2504473418400627,0.0,0.2504473418400627,0.063296958563534
30–40%,0.30000000000000004,0.4,21,0.34900072961091066,0.09523809523809523,0.25376263437281543,0.15261715801460765
40–50%,0.4,0.5,13,0.4552491478843534,0.38461538461538464,0.07063376326896875,0.2292267740137849
50–60%,0.5,0.6000000000000001,8,0.5504834248815823,0.625,-0.0745165751184177,0.2436598424753143
60–70%,0.6000000000000001,0.7000000000000001,11,0.6631720342030522,0.9090909090909091,-0.2459188748878569,0.1341797893451241
70–80%,0.7000000000000001,0.8,14,0.7601405534916016,0.7142857142857143,0.04585483920588729,0.20822348295576582
80–90%,0.8,0.9,16,0.8556529255137229,0.875,-0.01934707448627715,0.11702003447731481
90–100%,0.9,1.0,160,0.9845506710537169,0.98125,0.003300671053716897,0.01812329668414099
