cycle,district_id,forecast_source,model_margin_dem,actual_margin_dem,margin_error_dem,absolute_margin_error,dem_win_probability,actual_dem_win,probability_error_dem,party_control_fixed,presidential_baseline_dem,environment_adjustment_dem,state_adjustment_dem,elasticity_adjustment_dem,incumbency_adjustment_dem,candidate_quality_adjustment_dem,polling_adjustment_dem,fundamentals_margin_dem
2016,FL-24,calculated_from_components,2.79,100.0,-97.21,97.21,1.0,1.0,0.0,D,,,,,2.25,0.0,,
2016,IL-16,calculated_from_components,-9.41,-99.94958688,90.53958688,90.53958688,0.0,0.0,0.0,R,,,,,-2.25,0.0,,
2016,PA-3,calculated_from_components,-12.059999999999999,-100.0,87.94,87.94,0.0,0.0,0.0,R,,,,,0.0,0.0,,
2016,WI-3,calculated_from_components,13.79,98.85969966,-85.06969966,85.06969966,1.0,1.0,0.0,D,,,,,2.25,0.0,,
2016,GA-1,calculated_from_components,-14.61,-99.58837015,84.97837015,84.97837015,0.0,0.0,0.0,R,,,,,-2.25,0.0,,
2016,IL-3,calculated_from_components,16.09,99.9596293,-83.8696293,83.8696293,1.0,1.0,0.0,D,,,,,2.25,0.0,,
2016,PA-18,calculated_from_components,-18.61,-100.0,81.39,81.39,0.0,0.0,0.0,R,,,,,-2.25,0.0,,
2016,GA-10,calculated_from_components,-27.91,-99.55232599,71.64232599,71.64232599,0.0,0.0,0.0,R,,,,,-2.25,0.0,,
2016,AZ-3,calculated_from_components,27.29,98.41493694,-71.12493694,71.12493694,1.0,1.0,0.0,D,,,,,2.25,0.0,,
2016,AL-1,calculated_from_components,-26.11,-96.38246724,70.27246724,70.27246724,0.0,0.0,0.0,R,,,,,-2.25,0.0,,
2016,KY-2,calculated_from_components,-29.91,-100.0,70.09,70.09,0.0,0.0,0.0,R,,,,,-2.25,0.0,,
2016,IL-15,calculated_from_components,-31.51,-100.0,68.49,68.49,0.0,0.0,0.0,R,,,,,-2.25,0.0,,
2016,OK-1,calculated_from_components,-33.31,-100.0,66.69,66.69,0.0,0.0,0.0,R,,,,,-2.25,0.0,,
2016,PA-13,calculated_from_components,36.089999999999996,100.0,-63.910000000000004,63.910000000000004,1.0,1.0,0.0,D,,,,,2.25,0.0,,
2016,MA-6,calculated_from_components,13.59,74.30516971,-60.71516971,60.71516971,0.9554243477850198,1.0,-0.044575652214980166,,,,,,2.25,0.0,,
2016,VA-11,calculated_from_components,28.99,87.87778853,-58.88778853000001,58.88778853000001,1.0,1.0,0.0,D,,,,,2.25,0.0,,
2016,GA-13,calculated_from_components,41.99,100.0,-58.01,58.01,1.0,1.0,0.0,D,,,,,2.25,0.0,,
2016,FL-20,calculated_from_components,2.79,60.62400922,-57.83400922,57.83400922,0.6364494827181205,1.0,-0.3635505172818795,,,,,,2.25,0.0,,
