model_id,model_description,categorical_feature_count,numeric_feature_count,alpha,cv_rows,cv_mae,cv_rmse,cv_r2,cv_correlation,weighted_mae,weighted_rmse,weighted_r2,prediction_mean,prediction_sd,prediction_min,prediction_max,weighted_rmse_rank_within_model,weighted_mae_rank_within_model,selection_rank_within_model,weighted_rmse_rank,weighted_mae_rank,cv_rmse_rank,cv_mae_rank,combined_comparison_rank,weighted_rmse_change_vs_legacy,weighted_rmse_percent_change_vs_legacy,weighted_mae_change_vs_legacy,weighted_mae_percent_change_vs_legacy
B_continuous_demographics,"Continuous voting-age demographic shares, region, district type, and 2020 presidential margin.",3,7,1000.0,393,0.55558647282512,0.8254103998163859,0.05038869966496162,0.2299781772511874,0.5315206523785676,0.7857841970706932,0.040413696241447084,0.9404115728144737,0.23639724279876687,0.17881325815291582,1.5340128465492353,1.0,1.0,2.0,1.0,2.0,1.0,2.0,6.0,-0.008553472005970786,-1.0768055373621295,-0.005630755150116684,-1.0482621978079798
C_continuous_full,"Continuous demographic and political characteristics, including presidential movement and DRA composite margins.",3,12,1000.0,393,0.5546321303795361,0.827224186054328,0.04621069480576423,0.22254793182465746,0.5297644267914239,0.7871119556100997,0.03716808414662831,0.9405834196885635,0.23665399954505306,0.20709386635992244,1.4850914844921528,1.0,1.0,2.0,2.0,1.0,2.0,1.0,6.0,-0.00722571346656431,-0.9096526260631023,-0.007386980737260407,-1.375213884525833
A_legacy_tiers,"Legacy tiered demographic characteristics, region, district type, and 2020 presidential margin.",6,1,1000.0,393,0.5627307899680836,0.8364100499502404,0.024910486211214278,0.18106411019738805,0.5371514075286843,0.794337669076664,0.01940928652843199,0.940037303068732,0.22805810279286529,0.32172202748771317,1.5158555728619167,1.0,1.0,2.0,3.0,3.0,3.0,3.0,12.0,0.0,0.0,0.0,0.0
D_hybrid_all_features,All legacy tiered characteristics and all continuous demographic and political characteristics.,7,12,1000.0,393,0.5646313753783349,0.8414753848210241,0.013064356952370515,0.16960214925505235,0.5399990224505118,0.8006573559487156,0.0037442160596138363,0.9389553541144691,0.2493692686027049,0.1257923882515427,1.5589975265126639,1.0,1.0,2.0,4.0,4.0,4.0,4.0,16.0,0.006319686872051533,0.7955919904185735,0.0028476149218275015,0.5301326370769003
