model_id,alpha,fold,validation_rows,fold_mae,fold_rmse,fold_r2,fold_weighted_mae,fold_weighted_rmse,fold_weighted_r2
A_legacy_tiers,1000.0,0,40,0.5763796787680379,0.7661617512443853,-0.05493921491564069,0.5496945507573497,0.7364536137902109,-0.04038658199669243
A_legacy_tiers,1000.0,1,40,0.5222616903558123,0.6696490255287622,-0.028693763256615323,0.5051312535282855,0.649522067672194,-0.08678236842468734
A_legacy_tiers,1000.0,2,40,0.5262871720812289,0.7895058692733974,0.136761451564972,0.5230700942892917,0.8177965410701876,0.12492422215064869
A_legacy_tiers,1000.0,3,39,0.5243399635791601,0.9181758730505339,-0.023850362791528967,0.5289900949131684,0.939621092532568,-0.051556010194881985
A_legacy_tiers,1000.0,4,39,0.7950475097518978,1.2404530153015323,0.012373938747927138,0.6717278141561939,1.072661101623834,0.026648426252442015
A_legacy_tiers,1000.0,5,39,0.4989519156972133,0.7170232125233449,0.05956108503830604,0.4953359627417392,0.7193893621677234,0.04546663452328337
A_legacy_tiers,1000.0,6,39,0.5805764759528466,0.7852431808514966,0.06755602745995348,0.5952344947326371,0.7986680152102115,0.04989039186105504
A_legacy_tiers,1000.0,7,39,0.4256873411914017,0.6025666648037055,0.009676342464797316,0.4127154807055566,0.5964061974998491,-0.025878054607669787
A_legacy_tiers,1000.0,8,39,0.6179908023231652,0.7734702881603701,-0.0637565730712999,0.6364014046061602,0.7967339018522507,-0.08949055274121331
A_legacy_tiers,1000.0,9,39,0.5614074994338972,0.9351490645499004,-0.012444591121480997,0.4552912486905487,0.7310893580696461,0.05263912973530738
B_continuous_demographics,1000.0,0,40,0.5546561608689823,0.7460537967083486,-0.00029199209710917273,0.5302338873794633,0.720921863801766,0.0030340155665170565
B_continuous_demographics,1000.0,1,40,0.5526402593579027,0.6969279937162566,-0.11421100346846735,0.5376450688637817,0.6788924914702736,-0.18728989884518366
B_continuous_demographics,1000.0,2,40,0.5360460610255474,0.7937023550598916,0.1275602637923,0.5290514902421737,0.8196428847460683,0.12096843504749255
