specification_id,training_environment_mae,training_environment_max_error,training_raw_mae,complexity_score,training_simplicity_adjusted_score,held_out_cycle
lb21__equal__q_prefer_rv__sample_equal__quality_on__partisan_include__poll_level,3.953775066845553,4.815825120687501,4.3574014919944215,2,4.013775066845553,2018
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_downweight__poll_level,3.840267181016963,4.500400159894697,4.231281618851543,3,3.930267181016963,2018
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_exclude__poll_level,3.840267181016963,4.500400159894697,4.231281618851543,3,3.930267181016963,2018
lb21__equal__q_prefer_rv__sample_sqrt__quality_off__partisan_include__poll_level,3.840267181016963,4.500400159894697,4.231281618851543,2,3.900267181016963,2018
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_downweight__poll_level,3.8584636040706246,4.56914399865955,4.2514998666889445,4,3.9784636040706247,2018
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_exclude__poll_level,3.8584636040706246,4.56914399865955,4.2514998666889445,4,3.9784636040706247,2018
lb21__equal__q_prefer_rv__sample_sqrt__quality_on__partisan_include__poll_level,3.8584636040706246,4.56914399865955,4.2514998666889445,3,3.9484636040706245,2018
lb21__hl14__q_all__sample_equal__quality_off__partisan_downweight__poll_level,3.8267810188927696,4.6782385699124625,4.216296994269106,2,3.8867810188927696,2018
lb21__hl14__q_all__sample_equal__quality_off__partisan_exclude__poll_level,3.8267810188927696,4.6782385699124625,4.216296994269106,2,3.8867810188927696,2018
lb21__hl14__q_all__sample_equal__quality_off__partisan_include__poll_level,3.8267810188927696,4.6782385699124625,4.216296994269106,1,3.8567810188927694,2018
lb21__hl14__q_all__sample_equal__quality_on__partisan_downweight__poll_level,3.8615238283716478,4.789935981734551,4.254900115912305,3,3.9515238283716476,2018
lb21__hl14__q_all__sample_equal__quality_on__partisan_exclude__poll_level,3.8615238283716478,4.789935981734551,4.254900115912305,3,3.9515238283716476,2018
lb21__hl14__q_all__sample_equal__quality_on__partisan_include__poll_level,3.8615238283716478,4.789935981734551,4.254900115912305,2,3.921523828371648,2018
lb21__hl14__q_all__sample_sqrt__quality_off__partisan_downweight__poll_level,3.782802597149845,4.485838885749812,4.167432081221412,3,3.8728025971498448,2018
lb21__hl14__q_all__sample_sqrt__quality_off__partisan_exclude__poll_level,3.782802597149845,4.485838885749812,4.167432081221412,3,3.8728025971498448,2018
lb21__hl14__q_all__sample_sqrt__quality_off__partisan_include__poll_level,3.782802597149845,4.485838885749812,4.167432081221412,2,3.842802597149845,2018
lb21__hl14__q_all__sample_sqrt__quality_on__partisan_downweight__poll_level,3.80318785456872,4.562958332349735,4.190082367242384,4,3.92318785456872,2018
lb21__hl14__q_all__sample_sqrt__quality_on__partisan_exclude__poll_level,3.80318785456872,4.562958332349735,4.190082367242384,4,3.92318785456872,2018
lb21__hl14__q_all__sample_sqrt__quality_on__partisan_include__poll_level,3.80318785456872,4.562958332349735,4.190082367242384,3,3.89318785456872,2018
lb21__hl14__q_largest_sample__sample_equal__quality_off__partisan_downweight__poll_level,3.885770309341413,4.691276204988689,4.281840650323154,3,3.9757703093414127,2018
lb21__hl14__q_largest_sample__sample_equal__quality_off__partisan_exclude__poll_level,3.885770309341413,4.691276204988689,4.281840650323154,3,3.9757703093414127,2018
lb21__hl14__q_largest_sample__sample_equal__quality_off__partisan_include__poll_level,3.885770309341413,4.691276204988689,4.281840650323154,2,3.945770309341413,2018
lb21__hl14__q_largest_sample__sample_equal__quality_on__partisan_downweight__poll_level,3.931147079779781,4.808448228507999,4.332259284143563,4,4.051147079779781,2018
lb21__hl14__q_largest_sample__sample_equal__quality_on__partisan_exclude__poll_level,3.931147079779781,4.808448228507999,4.332259284143563,4,4.051147079779781,2018
lb21__hl14__q_largest_sample__sample_equal__quality_on__partisan_include__poll_level,3.931147079779781,4.808448228507999,4.332259284143563,3,4.021147079779781,2018
lb21__hl14__q_largest_sample__sample_sqrt__quality_off__partisan_downweight__poll_level,3.8350321700468926,4.492564906349314,4.225464939995909,4,3.9550321700468927,2018
lb21__hl14__q_largest_sample__sample_sqrt__quality_off__partisan_exclude__poll_level,3.8350321700468926,4.492564906349314,4.225464939995909,4,3.9550321700468927,2018
lb21__hl14__q_largest_sample__sample_sqrt__quality_off__partisan_include__poll_level,3.8350321700468926,4.492564906349314,4.225464939995909,3,3.9250321700468924,2018
lb21__hl14__q_largest_sample__sample_sqrt__quality_on__partisan_downweight__poll_level,3.8637793488869336,4.574328756276875,4.257406249818176,5,4.013779348886934,2018
lb21__hl14__q_largest_sample__sample_sqrt__quality_on__partisan_exclude__poll_level,3.8637793488869336,4.574328756276875,4.257406249818176,5,4.013779348886934,2018
lb21__hl14__q_largest_sample__sample_sqrt__quality_on__partisan_include__poll_level,3.8637793488869336,4.574328756276875,4.257406249818176,4,3.9837793488869337,2018
lb21__hl14__q_prefer_lv__sample_equal__quality_off__partisan_downweight__poll_level,3.7607286493923504,4.665200934836239,4.142905472601973,3,3.8507286493923503,2018
lb21__hl14__q_prefer_lv__sample_equal__quality_off__partisan_exclude__poll_level,3.7607286493923504,4.665200934836239,4.142905472601973,3,3.8507286493923503,2018
lb21__hl14__q_prefer_lv__sample_equal__quality_off__partisan_include__poll_level,3.7607286493923504,4.665200934836239,4.142905472601973,2,3.8207286493923505,2018
lb21__hl14__q_prefer_lv__sample_equal__quality_on__partisan_downweight__poll_level,3.783604300852116,4.7714237349611075,4.168322863112825,4,3.903604300852116,2018
lb21__hl14__q_prefer_lv__sample_equal__quality_on__partisan_exclude__poll_level,3.783604300852116,4.7714237349611075,4.168322863112825,4,3.903604300852116,2018
lb21__hl14__q_prefer_lv__sample_equal__quality_on__partisan_include__poll_level,3.783604300852116,4.7714237349611075,4.168322863112825,3,3.873604300852116,2018
lb21__hl14__q_prefer_lv__sample_sqrt__quality_off__partisan_downweight__poll_level,3.7238322531551713,4.479070686748562,4.101909476782886,4,3.8438322531551714,2018
lb21__hl14__q_prefer_lv__sample_sqrt__quality_off__partisan_exclude__poll_level,3.7238322531551713,4.479070686748562,4.101909476782886,4,3.8438322531551714,2018
lb21__hl14__q_prefer_lv__sample_sqrt__quality_off__partisan_include__poll_level,3.7238322531551713,4.479070686748562,4.101909476782886,3,3.813832253155171,2018
lb21__hl14__q_prefer_lv__sample_sqrt__quality_on__partisan_downweight__poll_level,3.7342889197545794,4.551514515006424,4.113527995226673,5,3.8842889197545794,2018
