district_component_sd,shrinkage_strength,multiplier_floor,multiplier_ceiling,scored_races,baseline_brier,adjusted_brier,brier_change,baseline_log_loss,adjusted_log_loss,log_loss_change,baseline_ece,adjusted_ece,ece_change,baseline_50_interval_coverage,adjusted_50_interval_coverage,baseline_80_interval_coverage,adjusted_80_interval_coverage,baseline_95_interval_coverage,adjusted_95_interval_coverage,mean_multiplier,multiplier_sd,minimum_multiplier,maximum_multiplier,mean_adjusted_total_sd,minimum_adjusted_total_sd,maximum_adjusted_total_sd,passes_primary_metrics
4.0,4.0,0.8,1.2,1545,0.045266681874496145,0.045266520926673534,-1.6094782261111273e-07,0.1664436234182645,0.16443536291711783,-0.0020082605011466637,0.03434462481847309,0.03623716613048984,0.0018925413120167503,0.4110032362459547,0.4045307443365696,0.7003236245954693,0.6919093851132686,0.8634304207119741,0.8647249190938512,0.9548542809817945,0.13343963283279828,0.8,1.2,6.4043703895571715,6.040695324215583,7.020683727387241,True
3.5,4.0,0.8,1.2,1545,0.045266681874496145,0.045263943007487664,-2.7388670084810274e-06,0.1664436234182645,0.16480308017806833,-0.0016405432401961628,0.03434462481847309,0.036682751223637074,0.0023381264051639816,0.4110032362459547,0.4058252427184466,0.7003236245954693,0.6938511326860841,0.8634304207119741,0.8653721682847897,0.9548542809817945,0.13343963283279828,0.8,1.2,6.428398988363969,6.151422599691879,6.902173570694959,True
6.0,8.0,0.7,1.3,1545,0.045266681874496145,0.04534810913266741,8.142725817126412e-05,0.1664436234182645,0.16210333531667212,-0.004340288101592371,0.03434462481847309,0.03623201920760767,0.0018873943891345793,0.4110032362459547,0.4051779935275081,0.7003236245954693,0.6932038834951456,0.8634304207119741,0.8699029126213592,0.9846529656454921,0.11169369299029247,0.8535048322601214,1.3,6.419895431597051,5.698678614634239,8.190848551890092,False
5.5,8.0,0.7,1.3,1545,0.045266681874496145,0.04533153886659523,6.485699209908546e-05,0.1664436234182645,0.16246092340145646,-0.003982700016808033,0.03434462481847309,0.03660865753168416,0.0022640327132110658,0.4110032362459547,0.4064724919093851,0.7003236245954693,0.6919093851132686,0.8634304207119741,0.8692556634304207,0.9846529656454921,0.11169369299029247,0.8535048322601214,1.3,6.436521626677269,5.834057986120311,7.9449669602837245,False
6.0,8.0,0.75,1.25,1545,0.045266681874496145,0.04533896708826482,7.22852137686747e-05,0.1664436234182645,0.16246737612346232,-0.003976247294802171,0.03434462481847309,0.036132511030546426,0.0017878862120733335,0.4110032362459547,0.4051779935275081,0.7003236245954693,0.6925566343042071,0.8634304207119741,0.8686084142394822,0.982308146877085,0.10541744467616324,0.8535048322601214,1.25,6.406523690022928,5.698678614634239,7.905694150420948,False
6.0,4.0,0.7,1.3,1545,0.045266681874496145,0.04538011868447366,0.0001134368099775171,0.1664436234182645,0.16254795851909734,-0.0038956648991671505,0.03434462481847309,0.036373482740460844,0.002028857921987752,0.4110032362459547,0.39158576051779936,0.7003236245954693,0.6789644012944984,0.8634304207119741,0.8647249190938512,0.9617949879964975,0.154298569697398,0.7571728888819778,1.3,6.298955349688051,5.185478590418022,8.190848551890092,False
6.0,16.0,0.7,1.3,1545,0.045266681874496145,0.04530128889715154,3.460702265539739e-05,0.1664436234182645,0.16257274053351015,-0.0038708828847543453,0.03434462481847309,0.03711145049742187,0.0027668256789487797,0.4110032362459547,0.4090614886731392,0.7003236245954693,0.6970873786407767,0.8634304207119741,0.8705501618122977,0.9950446044438102,0.07326722312308541,0.9180406906933334,1.3,6.47457683966878,6.0490291412484485,8.190848551890092,False
5.5,4.0,0.7,1.3,1545,0.045266681874496145,0.04535029453377877,8.361265928262529e-05,0.1664436234182645,0.16263049060680854,-0.003813132811455955,0.03434462481847309,0.03673054698960079,0.002385922171127701,0.4110032362459547,0.39676375404530745,0.7003236245954693,0.6841423948220064,0.8634304207119741,0.8666666666666667,0.9617949879964975,0.154298569697398,0.7571728888819778,1.3,6.339076816632336,5.416885747886036,7.9449669602837245,False
6.0,16.0,0.75,1.25,1545,0.045266681874496145,0.04530956636936859,4.2884494872441614e-05,0.1664436234182645,0.16276540128087497,-0.003678222137389525,0.03434462481847309,0.03709644239933607,0.0027518175808629794,0.4110032362459547,0.4090614886731392,0.7003236245954693,0.6970873786407767,0.8634304207119741,0.8705501618122977,0.9945688581834162,0.07145743258024662,0.9180406906933334,1.25,6.4718646294940285,6.0490291412484485,7.905694150420948,False
5.5,8.0,0.75,1.25,1545,0.045266681874496145,0.04532384139153301,5.715951703686578e-05,0.1664436234182645,0.16281199885655379,-0.0036316245617107057,0.03434462481847309,0.03652129444204284,0.0021766696235697505,0.4110032362459547,0.4064724919093851,0.7003236245954693,0.6912621359223301,0.8634304207119741,0.8679611650485437,0.982308146877085,0.10541744467616324,0.8535048322601214,1.25,6.424961027648079,5.834057986120311,7.698417045081411,False
