cycle,rows,unique_races,scored_races,missing_model_margin,missing_presidential_baseline,summary_sha256,results_sha256,calibration_sha256,readiness_sha256
2016,435,435,345,0,27,815b34a52eaf8fed1cfd839b9db57ec3058f36436c42b0e574370a0440053f3f,78c35fd24ff30d729b45afd6e115a1a9f828981da522d803d0e762027546b534,ed9643002385143cb39b4d7f7a5d338d03f4c1a8c9af1b9535aad61596a38926,97cabd58d69f6f026fb37dfea5949278867cf43b46128f86b7582cfd3f16ae10
2018,435,435,393,0,0,5c40f8936850820fc070a6c057b4a33b77354f3c1c0af949b26789ee0d888558,4ce9138da3d597b2f2d250ba0a4abded8a3145e29104cb96eee96d8dc87c65e9,ab3680dbef88a3e903dee16d62b7b45d1475e58dfc36adc521ac24ed7c7203a9,bd0e9975e948f81fb19ec44816af3c3738523e508e11fd47a237041bef5077c0
2020,435,435,407,0,0,3a7194633583d7bbf903f9ee23e0a44032375e1cbe2b9dee2406cd0d947f84eb,2e08d582be51bdfcb30e7504fa65eb7b74104a67eb35a17335116deae8a2a8c5,fe6a8998bb3a7565a9058083def0959176951065d2a23baeda1c07c0bbb78139,42cb8953f9bf63eceaf87ffb9fbb4085577dc521f2a55b12c12a9fc48c562ec2
2022,435,435,400,0,0,fde69662ee716f0f1bc05a54bb92eb227074dd2da56908ce7eb4e85c8cb63587,f637d75cc611ab34a0267615104d1e6600d15c1f56dffeb9003e00c4b4237928,51bcf9c14ae5c2008418aed542e25854eb03819b81aa4195a1defb29d9177df3,cc1683bdbe93d9b7188403152e12424a4cf211d19606cbbea93ef8efec9a1445
