model_id,model_description,alpha,categorical_feature_count,numeric_feature_count,cv_rows,cv_mae,cv_rmse,cv_r2,cv_correlation,weighted_mae,weighted_rmse,weighted_r2,prediction_mean,prediction_sd,prediction_min,prediction_max,weighted_rmse_rank_within_model,weighted_mae_rank_within_model,selection_rank_within_model,weighted_mae_change_vs_baseline,weighted_mae_percent_change_vs_baseline,weighted_rmse_change_vs_baseline,weighted_rmse_percent_change_vs_baseline,weighted_mae_rank,weighted_rmse_rank,cv_mae_rank,cv_rmse_rank,combined_rank
B_behavior_only,Boundary-regime-aware historical behavior without direct historical mean House margin.,1000.0,3,14,393,0.43532976003075724,0.7298813321269553,0.2574759700036372,0.5088927456574348,0.4064658595513953,0.6849839180553626,0.2708141871840888,0.9463917389708937,0.4637431290839785,-0.16286663951013025,2.419645921009557,1.0,2.0,3.0,-0.1250547928271723,-23.52773918897584,-0.10080027901533062,-12.827985010528545,1.0,1.0,1.0,1.0,4.0
C_district_dna,Continuous demographics plus regime-aware behavior.,1000.0,4,20,393,0.4369865828810767,0.7345573991772463,0.2479313654978874,0.5012013762723005,0.40721813368175297,0.6887992136562681,0.2626685730924285,0.946239383235579,0.4729291555330139,-0.22266294985444857,2.463537039749881,1.0,2.0,3.0,-0.12430251869681463,-23.386206752373194,-0.09698498341442519,-12.342445136460274,2.0,2.0,2.0,2.0,8.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,1000.0,4,24,393,0.4372850243482571,0.7374718568944959,0.2419516544071696,0.496154484108213,0.40774837343073395,0.6922845112253112,0.25518795763145197,0.9464749364071106,0.4752304736765715,-0.23358685493627263,2.4347113169901835,1.0,2.0,3.0,-0.12377227894783366,-23.286447740826205,-0.09349968584538204,-11.89890127517674,3.0,3.0,3.0,3.0,12.0
A_continuous_demographics,Current best continuous-demographics specification.,1000.0,3,7,393,0.55558647282512,0.8254103998163859,0.05038869966496162,0.2299781772511874,0.5315206523785676,0.7857841970706932,0.040413696241447084,0.9404115728144737,0.23639724279876687,0.17881325815291582,1.5340128465492353,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,16.0
