specification_id,model_family,model_label,generic_ballot_coefficient,approval_coefficient,midterm_coefficient,complexity_score,cycle,scored_races,mean_margin_error_dem_bias,mean_absolute_error,median_absolute_error,rmse,winner_accuracy,brier_score,log_loss,actual_dem_wins,predicted_dem_wins,expected_dem_wins,predicted_win_count_error,expected_win_count_error,absolute_expected_seat_error,absolute_mean_error,mean_absolute_error_rank,rmse_rank,brier_score_rank,log_loss_rank,absolute_mean_error_rank,absolute_expected_seat_error_rank,winner_accuracy_rank,performance_score,complexity_penalty,simplicity_adjusted_score
generic_only__gb_0.20,generic_only,Generic ballot only,0.2,0.0,0.0,1,,1545,1.651684474042467,6.560020206426194,4.88107485,8.710657051027637,0.9391585760517799,0.04929149185691745,0.17081945957748085,756,748,768.572539548551,-8,12.572539548551049,12.572539548551049,1.651684474042467,31.0,25.0,40.0,25.0,11.0,9.0,47.5,0.39492753623188404,0.0,0.39492753623188404
generic_plus_approval_plus_midterm__gb_0.40,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.4,0.5,0.5,3,,1545,2.6498721764349917,6.365697075916194,4.6656212365,8.619075382933726,0.940453074433657,0.04861207574674442,0.1700855539186816,756,766,786.5603581584227,10,30.560358158422673,30.560358158422673,2.6498721764349917,4.0,4.0,22.0,13.0,27.0,29.0,39.0,0.30193236714975846,0.1,0.40193236714975844
generic_plus_approval_plus_midterm__gb_0.30,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.3,0.5,0.5,3,,1545,2.3027200728751205,6.347671324910885,4.7194164265000005,8.604693480536216,0.9385113268608414,0.04895877768174674,0.17050440775493808,756,763,780.5943992379547,7,24.59439923795469,24.59439923795469,2.3027200728751205,1.0,1.0,34.0,19.0,21.0,23.0,49.5,0.31280193236714976,0.1,0.4128019323671498
generic_plus_approval_plus_midterm__gb_0.35,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.35,0.5,0.5,3,,1545,2.476296124655056,6.3528005175758056,4.6838107135000016,8.608085228901047,0.9391585760517799,0.04876242125685,0.17023949795299628,756,764,783.5678089206718,8,27.567808920671837,27.567808920671837,2.476296124655056,3.0,2.0,28.0,17.0,24.0,26.0,47.5,0.31521739130434784,0.1,0.41521739130434787
generic_plus_approval_plus_midterm__gb_0.50,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.5,0.5,0.5,3,,1545,2.997024279994861,6.421749674686744,4.837894083350001,8.663715251433254,0.9423948220064725,0.04845307385949946,0.17011325079222633,756,769,792.6028776970294,13,36.602877697029385,36.602877697029385,2.997024279994861,9.0,13.0,14.0,15.0,33.0,35.0,27.0,0.3164251207729468,0.1,0.4164251207729468
generic_plus_approval_plus_midterm__gb_0.25,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.25,0.5,0.5,3,,1545,2.1291440210951853,6.3527996391659025,4.717878523499998,8.608909118730919,0.9365695792880259,0.04920019285912653,0.1708796121798058,756,758,777.6400841166787,2,21.640084116678736,21.640084116678736,2.1291440210951853,2.0,3.0,38.0,26.0,18.0,20.0,53.0,0.32367149758454106,0.1,0.42367149758454103
generic_plus_approval_plus_midterm__gb_0.20,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.2,0.5,0.5,3,,1545,1.95556796931525,6.3675121412594935,4.682336033500004,8.620720983176644,0.9352750809061489,0.04948568917657159,0.17136444216018926,756,756,774.7047854759184,0,18.704785475918356,18.704785475918356,1.95556796931525,5.0,5.0,44.0,32.0,15.0,17.0,56.5,0.3442028985507246,0.1,0.4442028985507246
generic_plus_approval_plus_midterm__gb_0.55,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.55,0.5,0.5,3,,1545,3.1706003317747973,6.463237851421824,4.848231863349994,8.697248663253824,0.943042071197411,0.048446156653741544,0.17029623314361783,756,772,795.6527546351267,16,39.65275463512671,39.65275463512671,3.1706003317747973,16.0,20.0,13.0,18.0,36.0,38.0,21.0,0.34782608695652173,0.1,0.4478260869565217
generic_only__gb_0.15,generic_only,Generic ballot only,0.15,0.0,0.0,1,,1545,1.4781084222625316,6.599328333936874,4.941514676,8.745301309710909,0.9352750809061489,0.04971004670936028,0.17164409611671444,756,742,765.6948304229711,-14,9.694830422971108,9.694830422971108,1.4781084222625316,36.0,32.0,48.0,36.0,8.0,6.0,56.5,0.4504830917874396,0.0,0.4504830917874396
generic_plus_approval__gb_0.25,generic_plus_approval,Generic ballot + approval,0.25,0.5,0.0,2,,1545,2.1314093932634703,6.455738590144543,4.8047551235000014,8.700100174229329,0.9365695792880259,0.04958986806075766,0.17184067263081,756,758,777.4984166547783,2,21.49841665477834,21.49841665477834,2.1314093932634703,13.0,21.0,45.0,38.0,19.0,19.0,53.0,0.4106280193236715,0.05,0.4606280193236715
generic_plus_approval_plus_midterm__gb_0.15,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.15,0.5,0.5,3,,1545,1.7819919175353147,6.3901234190868745,4.635352073500002,8.640097919562235,0.9320388349514563,0.04981426758434373,0.17195823184236642,756,751,771.7883942381112,-5,15.78839423811121,15.78839423811121,1.7819919175353147,7.0,7.0,49.0,39.0,12.0,14.0,63.0,0.36714975845410625,0.1,0.4671497584541062
generic_plus_approval_plus_midterm__gb_0.10,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.1,0.5,0.5,3,,1545,1.6084158657553793,6.421179668508103,4.7017394535,8.666989187952934,0.9326860841423948,0.050184911457171265,0.1726603196482576,756,748,768.8907724523373,-8,12.890772452337274,12.890772452337274,1.6084158657553793,8.0,14.0,54.0,44.0,9.0,11.0,60.0,0.37681159420289856,0.1,0.47681159420289854
generic_only__gb_0.10,generic_only,Generic ballot only,0.1,0.0,0.0,1,,1545,1.3045323704825964,6.646070121512278,5.03576784,8.787263024928357,0.9320388349514563,0.05016871910004453,0.17257574472492235,756,737,762.8357125845182,-19,6.835712584518205,6.835712584518205,1.3045323704825964,41.0,38.0,53.0,43.0,5.0,3.0,63.0,0.49033816425120774,0.0,0.49033816425120774
generic_plus_approval__gb_0.20,generic_plus_approval,Generic ballot + approval,0.2,0.5,0.0,2,,1545,1.957833341483535,6.475816221792828,4.713019706649998,8.718006408440845,0.9346278317152104,0.04991251896337653,0.17241781006276055,756,755,774.5781333735614,-1,18.5781333735614,18.5781333735614,1.957833341483535,17.0,26.0,51.0,42.0,16.0,16.0,58.0,0.4444444444444445,0.05,0.49444444444444446
generic_plus_approval_plus_midterm__gb_0.05,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.05,0.5,0.5,3,,1545,1.4348398139754446,6.461275779731923,4.6902944366499995,8.701325119956747,0.9326860841423948,0.050596590293690506,0.17347004926209778,756,746,766.0117554300126,-10,10.011755430012613,10.011755430012613,1.4348398139754446,15.0,22.0,58.0,49.0,6.0,8.0,60.0,0.40821256038647347,0.1,0.5082125603864734
generic_only__gb_0.05,generic_only,Generic ballot only,0.05,0.0,0.0,1,,1545,1.130956318702661,6.699787519758233,5.0821817056,8.836437951773474,0.9307443365695793,0.050666456588213594,0.173613757340927,756,737,759.9949726762923,-19,3.9949726762922637,3.9949726762922637,1.130956318702661,44.0,42.0,59.0,50.0,2.0,2.0,66.5,0.5205314009661836,0.0,0.5205314009661836
generic_only__gb_0.00,generic_only,Generic ballot only,0.0,0.0,0.0,1,,1545,0.9573802669227256,6.759458763993831,5.202430679999999,8.892706428103875,0.9307443365695793,0.051202202785789366,0.17475749378035227,756,737,757.1723769128685,-19,1.172376912868458,1.172376912868458,0.9573802669227256,48.0,47.0,65.0,57.0,1.0,1.0,66.5,0.5519323671497585,0.0,0.5519323671497585
generic_plus_approval_plus_midterm__gb_0.00,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.0,0.5,0.5,3,,1545,1.2612637621955087,6.50932014087341,4.812300726499998,8.743018005066407,0.9307443365695793,0.05104826324557518,0.1743867705416724,756,743,763.1511538748193,-13,7.151153874819329,7.151153874819329,1.2612637621955087,25.0,30.0,63.0,55.0,3.0,5.0,66.5,0.46497584541062803,0.1,0.5649758454106281
generic_plus_approval__gb_0.00,generic_plus_approval,Generic ballot + approval,0.0,0.5,0.0,2,,1545,1.2635291343637935,6.643217647342019,4.982208326650003,8.863446500535538,0.9275080906148867,0.05161571192918095,0.17580405061399293,756,738,763.0839442000449,-18,7.083944200044925,7.083944200044925,1.2635291343637935,40.0,44.0,68.0,62.0,4.0,4.0,69.0,0.5531400966183575,0.05,0.6031400966183575
