probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,131,0.022303157543818068,0.0,0.022303157543818068,0.0010872018000125413
10–20%,0.1,0.2,27,0.14004353517979828,0.037037037037037035,0.10300649814276125,0.04750137984847031
20–30%,0.2,0.30000000000000004,16,0.2387345502313174,0.125,0.1137345502313174,0.1205249614092766
30–40%,0.30000000000000004,0.4,11,0.3491202549436578,0.18181818181818182,0.16730207312547596,0.1780845013734439
40–50%,0.4,0.5,9,0.45096364135675376,0.3333333333333333,0.11763030802342045,0.23693676912909462
50–60%,0.5,0.6000000000000001,7,0.5621993191041498,0.5714285714285714,-0.009229252324421622,0.2434786902241242
60–70%,0.6000000000000001,0.7000000000000001,12,0.6640733113372689,0.8333333333333334,-0.1692600219960645,0.16243346789973834
70–80%,0.7000000000000001,0.8,21,0.7569859431600231,0.8095238095238095,-0.052537866363786434,0.15990170966645287
80–90%,0.8,0.9,21,0.8540025992754572,0.9523809523809523,-0.09837835310549514,0.05344773984188374
90–100%,0.9,1.0,145,0.9821852528487864,1.0,-0.01781474715121356,0.000951930006558679
