cycle,ready,missing_files,backtest_input_path,war_audit_path,national_environment_path,scored_rows,national_environment_dem
2016,False,historical/house/backtests/outputs/house_2016_backtest_inputs_provisional.csv | historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/house_model_python/historical/house/backtests/outputs/house_2016_backtest_inputs_provisional.csv,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/house_model_python/historical/house/backtests/outputs/candidate_war/house_2016_candidate_war_audit.csv,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/house_model_python/historical/warehouse/processed/national_environment/house_2016_election_day_national_environment.csv,,
2018,False,historical/house/backtests/outputs/house_2018_backtest_inputs_provisional.csv | historical/warehouse/processed/national_environment/house_2018_election_day_national_environment.csv,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/house_model_python/historical/house/backtests/outputs/house_2018_backtest_inputs_provisional.csv,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/house_model_python/historical/house/backtests/outputs/candidate_war/house_2018_candidate_war_audit.csv,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/house_model_python/historical/warehouse/processed/national_environment/house_2018_election_day_national_environment.csv,,
2020,False,historical/house/backtests/outputs/house_2020_backtest_inputs_provisional.csv | historical/warehouse/processed/national_environment/house_2020_election_day_national_environment.csv,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/house_model_python/historical/house/backtests/outputs/house_2020_backtest_inputs_provisional.csv,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/house_model_python/historical/house/backtests/outputs/candidate_war/house_2020_candidate_war_audit.csv,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/house_model_python/historical/warehouse/processed/national_environment/house_2020_election_day_national_environment.csv,,
2022,True,,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/house_model_python/historical/house/backtests/outputs/house_2022_backtest_inputs_provisional.csv,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/house_model_python/historical/house/backtests/outputs/candidate_war/house_2022_candidate_war_audit.csv,/Users/benyelin/Desktop/Desktop - Ben’s MacBook Air/house_model_python/historical/warehouse/processed/national_environment/house_2022_election_day_national_environment.csv,400.0,-2.136666666666667
