shrinkage,incumbent_discount,one_sided_multiplier,observation_prior_strength,cap,cycles_tested,total_scored_rows,mean_absolute_error,rmse,winner_accuracy,brier_score,log_loss,expected_win_count_error,mean_absolute_adjustment,maximum_absolute_adjustment,mean_mae_change_vs_layer_2,mean_rmse_change_vs_layer_2,mean_brier_change_vs_layer_2,mean_log_loss_change_vs_layer_2,mean_absolute_error_rank,rmse_rank,brier_score_rank,log_loss_rank,expected_win_count_error_rank,combined_rank
0.7,1.0,1.0,0.0,4.0,1,400,4.705597440017565,6.181617040785831,0.9625,0.027237028228726402,0.0899225540487787,2.6143860905220038,1.101988069824375,4.0,-0.1843804354504508,-0.2934173499092072,-0.004886832920121549,-0.013499317876019434,1.0,1.0,1.0,1.0,1.0,5.0
0.6,1.0,1.0,0.0,4.0,1,400,4.710498033638721,6.191943298720305,0.96,0.027657895101896316,0.0910425185253515,2.649660097901773,0.9654970472848231,4.0,-0.179479841829294,-0.28309109197473337,-0.004465966046951635,-0.012379353399446638,3.0,2.0,2.0,2.0,2.0,11.0
0.7,1.0,1.0,0.5,4.0,1,400,4.709870460337889,6.194489842095624,0.96,0.027967443466265323,0.09178519308860476,2.6975632936207887,0.9016308529317903,4.0,-0.1801074151301263,-0.2805445485994138,-0.004156417682582628,-0.011636678836193376,2.0,3.0,5.0,4.0,9.0,23.0
0.7,0.75,1.0,0.0,4.0,1,400,4.722055591372939,6.212111753416033,0.9625,0.027959998750166037,0.09198256377742205,2.680339935378015,0.9074894289865567,4.0,-0.16792228409507626,-0.2629226372790052,-0.004163862398681915,-0.011439308147376093,5.0,5.0,4.0,5.0,5.0,24.0
0.7,1.0,0.75,0.0,4.0,1,400,4.727496605076414,6.22215077542889,0.9625,0.027747907614552626,0.0913103736572801,2.654176446449611,0.90874187672647,4.0,-0.1624812703916012,-0.252883615266148,-0.004375953534295325,-0.012111498267518034,7.0,11.0,3.0,3.0,3.0,27.0
0.5,1.0,1.0,0.0,4.0,1,400,4.727897049256355,6.2142742630816175,0.96,0.028274314326463008,0.09265662604507703,2.7000540858612396,0.8161084934010026,4.0,-0.16208082621166042,-0.2607601276134206,-0.0038495468223849437,-0.010765245879721108,8.0,6.0,9.0,9.0,13.0,45.0
0.6,1.0,1.0,0.0,3.0,1,400,4.7358434868986965,6.214693730124751,0.9575,0.02819968454296441,0.09241010646673196,2.695670243052632,0.9190165261515446,3.0,-0.15413438856931894,-0.2603406605702867,-0.003924176605883543,-0.011011765458066175,15.0,8.0,8.0,8.0,7.0,46.0
0.6,1.0,0.75,0.0,4.0,1,400,4.732659970260442,6.233589354048262,0.96,0.028126112961540745,0.09234349267383571,2.6901031762682805,0.7967069055178889,4.0,-0.15731790520757372,-0.24144503664677597,-0.003997748187307207,-0.01107837925096243,9.0,19.0,7.0,7.0,6.0,48.0
0.5,1.0,1.0,0.0,3.0,1,400,4.734963644043308,6.22256456610147,0.9575,0.028401502064185666,0.09291589011392967,2.674790458852158,0.7935418986140493,3.0,-0.15501423142470738,-0.25246982459356815,-0.0037223590846622856,-0.010505981810868467,14.0,12.0,13.0,11.0,4.0,54.0
0.7,1.0,1.0,0.0,3.0,1,400,4.739813656980749,6.211838629669675,0.9575,0.028062972754942378,0.09212755809131419,2.713843783881231,1.0336280533702409,3.0,-0.1501642184872667,-0.26319576102536324,-0.0040608883939055734,-0.011294313833483949,21.0,4.0,6.0,6.0,19.0,56.0
0.7,1.0,1.0,0.5,3.0,1,400,4.732952826505218,6.2176407683132675,0.9575,0.028314957250850554,0.09269034589647425,2.7160192220919726,0.8652834691676787,3.0,-0.15702504896279734,-0.25739362238177055,-0.0038089038979973976,-0.01073152602832389,10.0,10.0,10.0,10.0,20.0,60.0
0.6,1.0,1.0,0.5,4.0,1,400,4.723692411136706,6.214503252469544,0.96,0.028493486829134832,0.09316786683820326,2.716529718977654,0.7793154943603315,4.0,-0.16628546433130964,-0.26053113822549445,-0.0036303743197131193,-0.01025400508659488,6.0,7.0,17.0,16.0,22.0,68.0
0.7,0.75,1.0,0.0,3.0,1,400,4.739021231396978,6.226912447579054,0.9575,0.02842461720849065,0.09306211186268225,2.698502300462053,0.870176136247586,3.0,-0.15095664407103726,-0.2481219431159838,-0.0036992439403573003,-0.010359760062115891,20.0,14.0,15.0,13.0,12.0,74.0
0.7,1.0,1.0,1.0,4.0,1,400,4.721190356724034,6.2152474803332565,0.96,0.028588564965245294,0.09339274328043011,2.7245220354616606,0.763211271195529,4.0,-0.16878751874398112,-0.2597869103617816,-0.0035352961836026577,-0.01002912864436803,4.0,9.0,21.0,21.0,28.0,83.0
0.6,1.0,1.0,0.5,3.0,1,400,4.733877977935103,6.225781879504736,0.9575,0.02858391552290337,0.09338973577583998,2.716025931687966,0.7616226548346612,3.0,-0.1560998975329122,-0.2492525111903019,-0.00353994562594458,-0.010032136148958162,11.0,13.0,20.0,20.0,21.0,85.0
0.45,1.0,1.0,0.0,4.0,1,400,4.738242278783719,6.229775683717898,0.96,0.028619351447742948,0.09356260003105824,2.7134101209197468,0.737178937767196,4.0,-0.15173559668429615,-0.2452587069771397,-0.0035045097011050033,-0.009859271893739904,18.0,16.0,23.0,22.0,18.0,97.0
0.6,0.75,1.0,0.0,4.0,1,400,4.736537471573467,6.2315888365086,0.96,0.02841855435888367,0.09318883295797237,2.7326288198960924,0.7850387857699898,4.0,-0.15344040389454872,-0.24344555418643843,-0.00370530678996428,-0.010233038966825772,17.0,17.0,14.0,17.0,39.0,104.0
0.6,0.75,1.0,0.0,3.0,1,400,4.742977955170752,6.237581719880164,0.9575,0.02861314888885692,0.09358010590700093,2.6981414448881367,0.7663858021727047,3.0,-0.1469999202972634,-0.2374526708148741,-0.0035107122599910313,-0.00984176601779721,26.0,25.0,22.0,23.0,10.0,106.0
0.45,1.0,1.0,0.0,3.0,1,400,4.74066661290548,6.234024104128673,0.9575,0.02865644658958844,0.09363701875884982,2.6983196105204,0.7241227854636173,3.0,-0.14931126256253524,-0.24101028656636547,-0.0034674145592595122,-0.00978485316594832,22.0,22.0,27.0,26.0,11.0,108.0
