probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,109,0.02719051388450262,0.01834862385321101,0.00884189003129161,0.017844693462777263
10–20%,0.1,0.2,26,0.15035363876584437,0.0,0.15035363876584437,0.023516234779540148
20–30%,0.2,0.30000000000000004,23,0.24616954444649314,0.13043478260869565,0.11573476183779749,0.1189256899622956
30–40%,0.30000000000000004,0.4,22,0.3564914426140689,0.18181818181818182,0.17467326079588708,0.17339961441338458
40–50%,0.4,0.5,14,0.43540499341953004,0.07142857142857142,0.3639764219909586,0.20039031295150428
50–60%,0.5,0.6000000000000001,9,0.537915056546728,0.5555555555555556,-0.01764049900882758,0.24911857860209052
60–70%,0.6000000000000001,0.7000000000000001,11,0.6406592017701926,0.7272727272727273,-0.08661352550253465,0.22900553307093902
70–80%,0.7000000000000001,0.8,12,0.7465013678939156,1.0,-0.25349863210608437,0.0651977722449769
80–90%,0.8,0.9,22,0.8471411502082298,0.9090909090909091,-0.061949758882679284,0.08370394540379965
90–100%,0.9,1.0,145,0.984357087066522,1.0,-0.01564291293347797,0.0007907260619492513
