probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,113,0.025879849628386204,0.0,0.025879849628386204,0.0014086602864225128
10–20%,0.1,0.2,31,0.15088824492262762,0.0,0.15088824492262762,0.023586339529607307
20–30%,0.2,0.30000000000000004,20,0.2490618012432977,0.0,0.2490618012432977,0.06265139407297653
30–40%,0.30000000000000004,0.4,22,0.3509842408669002,0.09090909090909091,0.26007514995780934,0.15274365548197652
40–50%,0.4,0.5,12,0.4588476574709932,0.4166666666666667,0.042180990804326524,0.23478499657078675
50–60%,0.5,0.6000000000000001,8,0.5519557094044698,0.625,-0.07304429059553019,0.2426482644027899
60–70%,0.6000000000000001,0.7000000000000001,11,0.6621774506729327,0.9090909090909091,-0.2469134584179764,0.13521415923922425
70–80%,0.7000000000000001,0.8,15,0.7633378063708888,0.7333333333333333,0.03000447303755549,0.19804881695817367
80–90%,0.8,0.9,15,0.85902788729332,0.8666666666666667,-0.007638779373346671,0.12235538371676585
90–100%,0.9,1.0,160,0.9845759527089154,0.98125,0.0033259527089154473,0.01816105740044054
