holdout_cycle,raw_training_cycles,raw_baseline_type,raw_baseline_label,raw_selected_specification_id,raw_selected_model_family,raw_selected_model_label,raw_selected_generic_ballot_coefficient,raw_observation_count,raw_scored_races,raw_mean_margin_error_dem_bias,raw_mean_absolute_error,raw_median_absolute_error,raw_rmse,raw_winner_accuracy,raw_brier_score,raw_log_loss,raw_actual_dem_wins,raw_predicted_dem_wins,raw_expected_dem_wins,raw_predicted_win_count_error,raw_expected_win_count_error,normalized_training_cycles,normalized_baseline_type,normalized_baseline_label,normalized_selected_specification_id,normalized_selected_model_family,normalized_selected_model_label,normalized_selected_generic_ballot_coefficient,normalized_observation_count,normalized_scored_races,normalized_mean_margin_error_dem_bias,normalized_mean_absolute_error,normalized_median_absolute_error,normalized_rmse,normalized_winner_accuracy,normalized_brier_score,normalized_log_loss,normalized_actual_dem_wins,normalized_predicted_dem_wins,normalized_expected_dem_wins,normalized_predicted_win_count_error,normalized_expected_win_count_error,mae_difference_normalized_minus_raw,rmse_difference_normalized_minus_raw,brier_difference_normalized_minus_raw,accuracy_difference_normalized_minus_raw,absolute_bias_difference_normalized_minus_raw,absolute_seat_error_difference_normalized_minus_raw,mae_winner
2016,"2018,2020,2022",raw_presidential_margin,Raw presidential margin,raw_presidential_margin__generic_plus_approval_plus_midterm__gb_0.45,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.45,345,345,5.9706694980823185,9.842639562514783,7.7091004335000015,12.436576240587607,0.9188405797101449,0.06040279411310891,0.20088622427400757,149,171,179.16325948955796,22,30.16325948955796,"2018,2020,2022",normalized_partisan_baseline,Normalized partisan baseline,normalized_partisan_baseline__generic_only__gb_0.70,generic_only,Generic ballot only,0.7,345,345,0.8673361645823197,8.763655093366086,7.690136924999998,10.944030626556652,0.936231884057971,0.043574407555637004,0.15647861798300883,149,153,158.18523241284117,4,9.185232412841174,-1.078984469148697,-1.4925456140309556,-0.016828386557471903,0.017391304347826098,-5.103333333499998,-20.978027076716785,normalized_partisan_baseline
2018,"2016,2020,2022",raw_presidential_margin,Raw presidential margin,raw_presidential_margin__generic_only__gb_0.15,generic_only,Generic ballot only,0.15,393,393,-4.077389194447329,6.207474079997965,4.372047230000003,8.36900844137881,0.9185750636132316,0.05629937108998954,0.19260618070017,200,172,179.34149072883883,-28,-20.658509271161165,"2016,2020,2022",normalized_partisan_baseline,Normalized partisan baseline,normalized_partisan_baseline__generic_only__gb_0.55,generic_only,Generic ballot only,0.55,393,393,-3.2573891944473283,5.858822496364377,4.1145447399999995,8.001611338535266,0.9312977099236641,0.053796588309557435,0.18653953376117424,200,179,182.8692556339882,-21,-17.13074436601181,-0.34865158363358795,-0.3673971028435439,-0.002502782780432103,0.012722646310432517,-0.8200000000000003,-3.527764905149354,normalized_partisan_baseline
2020,"2016,2018,2022",raw_presidential_margin,Raw presidential margin,raw_presidential_margin__generic_only__gb_0.65,generic_only,Generic ballot only,0.65,407,407,4.394467636319438,6.12897747999413,5.0129567100000045,7.9465938131127745,0.9508599508599509,0.046592117930169555,0.16934535056401814,203,207,213.7531710623456,4,10.753171062345587,"2016,2018,2022",normalized_partisan_baseline,Normalized partisan baseline,normalized_partisan_baseline__generic_only__gb_1.00,generic_only,Generic ballot only,1.0,407,407,4.674467636319436,6.279422931345481,5.247436313000001,8.104792107570749,0.9508599508599509,0.04684536169231473,0.17054964043689827,203,209,215.00455825830448,6,12.004558258304485,0.15044545135135134,0.15819829445797406,0.0002532437621451736,0.0,0.2799999999999985,1.2513871959588982,raw_presidential_margin
2022,"2016,2018,2020",raw_presidential_margin,Raw presidential margin,raw_presidential_margin__generic_only__gb_0.30,generic_only,Generic ballot only,0.3,400,400,4.67890540262625,6.12721406648075,5.290926860000001,7.711870290713323,0.955,0.041637544412145566,0.14747059665397874,204,212,213.85447026237247,8,9.854470262372473,"2016,2018,2020",normalized_partisan_baseline,Normalized partisan baseline,normalized_partisan_baseline__generic_only__gb_0.70,generic_only,Generic ballot only,0.7,400,400,-0.32109459737375057,4.61029396166825,3.6379478099999965,6.138720498159554,0.9525,0.04245565465638277,0.14836726595038377,204,199,193.22413208731808,-5,-10.775867912681917,-1.5169201048124998,-1.5731497925537692,0.0008181102442372037,-0.0024999999999999467,-4.357810805252499,0.9213976503094443,normalized_partisan_baseline
