cycle,scored_races,mean_model_margin_dem,mean_actual_margin_dem,mean_residual_dem,mae,rmse,residual_sd,winner_accuracy,actual_dem_seats_scored,predicted_dem_seats_scored,predicted_minus_actual_dem_seats
2016,345,6.058985506913044,-0.15168399066927557,-6.210669497582319,9.94096425231913,12.553563236819139,10.925452912855667,0.9159420289855073,149,172,23
2018,393,6.858435114170484,4.4924909756178115,-2.3659441385526714,5.980023166066667,7.681984855206737,7.317886505903486,0.9491094147582697,200,200,0
2020,407,7.7192301388968065,2.1314291695773684,-5.587800969319437,6.827838738728774,8.66374786663777,6.629101021151571,0.9484029484029484,203,210,7
2022,400,3.3375833330000004,0.43534459737375014,-2.90223873562625,5.15792078033075,6.782608443116198,6.137994383484796,0.9525,204,205,1
