group_label,group_value,races,mean_error_dem,median_error_dem,mae,rmse,residual_sd,residual_skew,residual_excess_kurtosis,p05,p10,p25,p50,p75,p90,p95,within_3_points,within_5_points,within_7_5_points,within_10_points,dem_outperformed_share
overall,all_cycles,1545,-4.2120566419939225,-3.989061023000005,6.875003527578778,9.04903701225738,8.011566233166109,-0.1545828263612327,1.6807577565354288,-18.148616859,-13.907508203000003,-8.414633463000001,-3.989061023000005,0.41380481700000615,4.983301347000002,7.947267302199998,0.28867313915857606,0.46537216828478967,0.6472491909385113,0.7831715210355987,0.26925566343042073
cycle,2016,345,-6.210669497582319,-5.636529283000005,9.94096425231913,12.553563236819139,10.925452912855667,-0.10260485695972024,-0.2009083301480037,-23.806438005,-20.937868967,-13.646167412999993,-5.636529283000005,1.6281381469999996,7.227123224999999,10.193539743000002,0.2,0.33043478260869563,0.4811594202898551,0.5826086956521739,0.2927536231884058
cycle,2018,393,-2.3659441385526714,-2.9709854829999998,5.980023166066667,7.681984855206737,7.317886505903486,0.5291447751253999,2.2079407776605082,-12.571339595000001,-10.21416856884,-6.803206733000003,-2.9709854829999998,1.3036065270000066,6.9657347568,9.861059342999999,0.31297709923664124,0.5012722646310432,0.6946564885496184,0.8498727735368957,0.3231552162849873
cycle,2020,407,-5.587800969319437,-5.452946312999998,6.827838738728774,8.66374786663777,6.629101021151571,-0.5270962542920212,0.9691900064517478,-17.559486345,-13.991813847,-8.998514882999999,-5.452946312999998,-1.5062340104355003,2.195411789000002,4.811817264,0.257985257985258,0.43243243243243246,0.6412776412776413,0.7911547911547911,0.18673218673218672
cycle,2022,400,-2.90223873562625,-2.8406453180000018,5.15792078033075,6.782608443116198,6.137994383484796,0.537003608020502,3.905636375160718,-12.152034105550001,-9.999715006999999,-6.8464369805,-2.8406453180000018,0.41151057199999563,4.173328356000002,6.56907962999998,0.3725,0.58,0.75,0.8825,0.28
predicted_competitiveness,Solid: 10–20,339,-4.465599778252921,-4.733490502999999,7.4353640226653095,9.64195296399249,8.558138107960593,0.2081710514325153,2.0333719209009065,-18.171075816,-15.122708390999998,-8.8194376195,-4.733490502999999,0.3759157719999999,5.564792533,8.4321141387,0.25958702064896755,0.40117994100294985,0.5929203539823009,0.7551622418879056,0.2743362831858407
predicted_competitiveness,Safe: >20,831,-4.004935081996149,-3.989061023000005,6.35524889170734,8.238240538730345,7.203578753951242,0.0814763172195623,1.8687551788743155,-17.024332807999997,-12.111991842999998,-7.819373318,-3.989061023000005,0.007386571999999703,4.206457886999999,7.224813616999999,0.30445246690734057,0.49217809867629364,0.6787003610108303,0.8158844765342961,0.2503008423586041
predicted_competitiveness,Likely: 5–10,197,-4.648060844619796,-3.609964413,7.959936724590356,10.62635975491966,9.580237217745111,-0.5451738666528353,0.7218766526015941,-23.096082533,-17.004406043,-9.433302961,-3.609964413,1.5770819220000005,6.691727224000003,8.107343318199995,0.2639593908629442,0.4213197969543147,0.6040609137055838,0.7208121827411168,0.3197969543147208
predicted_competitiveness,Toss-up: ≤2.5,90,-5.265548492197455,-3.7871872665,7.924281120970789,10.770240273223779,9.447957222724211,-0.705362869822635,0.31026896158209727,-23.125369383,-19.465530329000003,-11.116526643,-3.7871872665,0.42587498295000015,5.673520825600001,8.1693617,0.25555555555555554,0.4777777777777778,0.6222222222222222,0.6888888888888889,0.2777777777777778
predicted_competitiveness,Lean: 2.5–5,88,-3.137736173024999,-2.1863563035,6.1225838839227285,8.196970912890482,7.616041041181155,-0.596764602992783,1.166790076872572,-15.928369994999999,-12.196051951,-6.936204120499999,-2.1863563035,1.4975402982500001,5.268228255939999,7.947701941499996,0.3409090909090909,0.5454545454545454,0.6818181818181818,0.8181818181818182,0.3068181818181818
predicted_winner,D,787,-2.7766988886697725,-2.3117882829999985,6.079815258791755,8.238632379251493,7.7615431823987855,-0.49812498033822367,1.6889973901278719,-16.834922064000004,-11.406615902999993,-6.764009422000001,-2.3117882829999985,1.6968402419999986,5.9796142589999945,8.57376711299999,0.34942820838627703,0.5235069885641678,0.7064803049555273,0.8373570520965693,0.35069885641677256
predicted_winner,R,758,-5.702329137859498,-5.513733411999999,7.700614566543668,9.819932847957629,7.99993467978387,0.18862632216644667,2.3957330249563746,-19.159699623499996,-15.524434806999997,-9.8663156005,-5.513733411999999,-1.4670099830000005,3.518199524300005,6.982713843499998,0.22559366754617413,0.4050131926121372,0.5857519788918206,0.7269129287598944,0.18469656992084432
seat_type,Incumbent-running,1317,-4.420649527208989,-4.295237142999994,7.1200927154890215,9.31308849068097,8.200154409805924,-0.13282587126868295,1.5456771785689565,-18.426832239000003,-14.361841615,-8.794553503,-4.295237142999994,0.29301970699999913,5.051509841000002,8.270456228800004,0.27258921791951407,0.44798785117691725,0.6279422930903569,0.7676537585421412,0.26347760060744113
seat_type,Open,228,-3.007158265554259,-2.8282114479999976,5.459290981623556,7.340186360268074,6.710651790863986,-0.12204046935846537,2.7062830686044395,-13.00654863425,-10.6364503259,-6.4617864355000005,-2.8282114479999976,0.9293622219999991,4.277637738700005,6.934351714975,0.3815789473684211,0.5657894736842105,0.7587719298245614,0.8728070175438597,0.3026315789473684
