district_id,state,district,region,district_type,incumbent_party,inferred_incumbent_party,dem_candidate,gop_candidate,other_candidate,election_system,general_election_party_structure,party_control_override,party_control_fixed,pres_2024_margin_dem,pres_2020_margin_dem,district_partisan_baseline_dem,baseline_label,audit_elasticity,state_environment_adjustment_dem,environment_adjustment_used_dem,incumbency_adjustment_dem,generic_house_incumbency_points,candidate_quality_adjustment_dem,special_adjustment_dem,audit_component_sum_dem,fundamentals_margin_dem,fundamentals_margin_label,audit_fundamentals_gap,polling_margin_dem,polling_margin_label,poll_count,bayesian_polling_weight,bayesian_model_margin_dem,model_margin_dem,model_margin_label,dem_win_probability,rating,audit_poll_vs_fundamentals_gap,audit_final_vs_fundamentals_gap,audit_final_vs_polling_gap,college_share_tier,white_share_tier,black_share_tier,hispanic_share_tier,median_income_tier,education_race_error_group,demographic_error_group,audit_flags
CA-40,CA,40,Pacific,Suburban,R,R,,"Calvert, Ken","Kim, Young",top_two,R_vs_R,,R,-12.2,-7.699999999999996,-11.156,R+11.2,1.05,0.0,5.859000000000002,-1.5,1.5,0.2739375,0.0,-6.523062499999999,-6.523062499999999,R+6.5,0.0,,,0,0.0,-6.523062499999999,-6.523062499999999,R+6.5,0.2521502246343905,Lean R,,0.0,,High,Medium,Low,Medium,Unknown,High College / Medium White,High College / Medium White / Low Black / Medium Hispanic / Unknown Income,fixed R control but probability not 0
CA-7,CA,7,Pacific,Mixed,D,D,"Matsui, Doris",,"Vang, Mai",top_two,D_vs_D,,D,12.8,19.6,14.534,D+14.5,0.8999999999999999,0.0,5.021999999999998,1.5,1.5,0.102125,0.0,21.158125,21.158125,D+21.2,0.0,,,0,0.0,21.158125,21.158125,D+21.2,0.9714283949625055,Safe D,,0.0,,Medium,Low,Medium,Medium,Unknown,Medium College / Low White,Medium College / Low White / Medium Black / Medium Hispanic / Unknown Income,fixed D control but probability not 1
CA-4,CA,4,Pacific,Mixed,D,D,"Thompson, Mike",,"Jones, Eric",top_two,D_vs_D,,D,14.5,21.1,16.174,D+16.2,0.7999999999999999,0.0,4.463999999999996,1.5,1.5,0.0187926136363636,0.0,22.15679261363636,22.15679261363636,D+22.2,0.0,,,0,0.0,22.15679261363636,22.15679261363636,D+22.2,0.9757028439634788,Safe D,,0.0,,Medium,Medium,Low,Medium,Unknown,Medium College / Medium White,Medium College / Medium White / Low Black / Medium Hispanic / Unknown Income,fixed D control but probability not 1
AL-4,AL,4,Deep South,Rural,R,R,"Pusczek, Amanda","Aderholt, Robert",,standard,D_vs_R,,,-67.80000000000001,-63.7,-66.876,R+66.9,0.55,0.0,3.0690000000000035,-1.5,1.5,0.0497596153846153,0.0,-65.25724038461539,-65.25724038461539,R+65.3,0.0,,,0,0.0,-65.25724038461539,-65.25724038461539,R+65.3,1.8902324892610563e-05,Safe R,,0.0,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown College / Unknown White,Unknown College / Unknown White / Unknown Black / Unknown Hispanic / Unknown Income,
KY-5,KY,5,Appalachia,Rural,R,R,"Pillersdorf, Ned","Rogers, Hal",,standard,D_vs_R,,,-63.9,-59.3,-62.82599999999999,R+62.8,0.55,0.0,3.0689999999999995,-1.5,1.5,-0.0202083333333333,0.0,-61.27720833333333,-61.27720833333333,R+61.3,0.0,,,0,0.0,-61.27720833333333,-61.27720833333333,R+61.3,3.6693726779407905e-05,Safe R,,0.0,,Low,Very High,Low,Low,Unknown,Low College / Very High White,Low College / Very High White / Low Black / Low Hispanic / Unknown Income,
TN-1,TN,1,Appalachia,Rural,R,R,,,,standard,Unresolved,,,-57.8,-54.3,-57.056,R+57.1,0.55,0.0,3.0690000000000026,0.0,1.5,0.0,0.0,-53.986999999999995,-53.986999999999995,R+54.0,0.0,,,0,0.0,-53.986999999999995,-53.986999999999995,R+54.0,0.0001236621876471,Safe R,,0.0,,Low,Very High,Low,Low,Unknown,Low College / Very High White,Low College / Very High White / Low Black / Low Hispanic / Unknown Income,
NE-3,NE,3,Great Plains,Rural,R,R,"Stille, Becky Kelly","Smith, Adrian",,standard,D_vs_R,,,-53.8,-51.8,-53.505999999999986,R+53.5,0.55,0.0,3.069000000000003,-1.5,1.5,-0.2168617021276595,0.0,-52.15386170212764,-52.15386170212764,R+52.2,0.0,,,0,0.0,-52.15386170212764,-52.15386170212764,R+52.2,0.0001678435703255,Safe R,,0.0,,Low,Very High,Low,Low,Unknown,Low College / Very High White,Low College / Very High White / Low Black / Low Hispanic / Unknown Income,
OK-2,OK,2,Great Plains,Rural,R,R,"Wade, Brandon","Brecheen, Josh",,standard,Unresolved,,,-55.6,-53.4,-55.245999999999995,R+55.2,0.55,0.0,3.0690000000000044,0.0,1.5,1.622727272727273,0.0,-50.55427272727272,-50.55427272727272,R+50.6,0.0,,,0,0.0,-50.55427272727272,-50.55427272727272,R+50.6,0.0002191111864264,Safe R,,0.0,,Low,High,Low,Low,Unknown,Low College / High White,Low College / High White / Low Black / Low Hispanic / Unknown Income,
MO-8,MO,8,Midwest,Rural,R,R,,,,standard,Unresolved,,,-53.8,-51.3,-53.355999999999995,R+53.4,0.6500000000000001,0.0,3.6287287856273807,0.0,1.5,0.0,0.0,-49.727271214372614,-49.727271214372614,R+49.7,0.0,,,0,0.0,-49.727271214372614,-49.727271214372614,R+49.7,0.0002514842859616,Safe R,,0.0,,Low,Very High,Low,Low,Unknown,Low College / Very High White,Low College / Very High White / Low Black / Low Hispanic / Unknown Income,
TX-19,TX,19,Middle South,Rural,R,R,"Rable, Kyle","Sell, Tom",,standard,D_vs_R,,,-51.6,-46.2,-50.286,R+50.3,0.6000000000000001,0.0,3.347999999999999,0.0,1.5,0.0,0.0,-46.938,-46.938,R+46.9,0.0,,,0,0.0,-46.938,-46.938,R+46.9,0.0004002583523481,Safe R,,0.0,,Low,Medium,Low,High,Unknown,Low College / Medium White,Low College / Medium White / Low Black / High Hispanic / Unknown Income,
