district_id,rating,model_margin_label,model_margin_dem,dem_win_probability,incumbent_party,inferred_incumbent_party,incumbency_adjustment_dem,generic_house_incumbency_points,district_partisan_baseline_dem,region,district_type,tested_incumbency_points
TX-11,Safe R,R+29.6,-29.5765,0.00717881199213,R,R,-1.25,1.25,-33.01,Middle South,Mixed,1.25
LA-4,Safe R,R+29.5,-29.47543333333334,0.0072998690764436,R,R,0.0,1.25,-32.910000000000004,Deep South,Rural,1.25
LA-5,Safe R,R+29.1,-29.065433333333335,0.0078120984655205,R,R,0.0,1.25,-32.5,Deep South,Rural,1.25
TN-2,Safe R,R+29.0,-29.015433333333338,0.0078769563556185,R,R,0.0,1.25,-32.45,Appalachia,Rural,1.25
OK-4,Safe R,R+28.9,-28.865433333333332,0.008074752300266,R,R,0.0,1.25,-32.3,Great Plains,Rural,1.25
UT-4,Safe R,R+28.8,-28.8332,0.0081178952980034,R,R,0.0,1.25,-32.58,Mountain West,Rural,1.25
LA-6,Safe R,R+28.5,-28.45543333333333,0.0086408816996666,D,D,0.0,1.25,-31.889999999999993,Deep South,Rural,1.25
IN-3,Safe R,R+28.3,-28.280966666666664,0.0088935606299425,R,R,-1.25,1.25,-31.09,Midwest,Rural,1.25
GA-3,Safe R,R+28.2,-28.233200000000004,0.0089640086290512,R,R,-1.25,1.25,-30.730000000000004,Southeast,Rural,1.25
CA-20,Safe R,R+28.2,-28.215433333333333,0.0089903524040266,R,R,-1.25,1.25,-30.4,Pacific,Rural,1.25
GA-8,Safe R,R+27.7,-27.693199999999997,0.0097999148376124,R,R,-1.25,1.25,-30.19,Southeast,Rural,1.25
MI-9,Safe R,R+27.4,-27.37096666666666,0.0103350258887415,R,R,0.0,1.25,-31.429999999999993,Midwest,Rural,1.25
KS-1,Safe R,R+27.4,-27.355433333333337,0.0103615391918567,R,R,0.0,1.25,-30.79,Great Plains,Rural,1.25
IN-4,Safe R,R+26.7,-26.710966666666664,0.0115229152451443,R,R,-1.25,1.25,-29.52,Midwest,Rural,1.25
IN-9,Safe R,R+26.7,-26.69096666666666,0.0115609442564989,R,R,-1.25,1.25,-29.499999999999996,Midwest,Rural,1.25
MT-2,Safe R,R+26.2,-26.2232,0.0124866081834447,R,R,-1.25,1.25,-28.72,Mountain West,Rural,1.25
IA-4,Safe R,R+25.8,-25.76096666666666,0.0134731138733282,R,R,0.0,1.25,-29.819999999999997,Midwest,Rural,1.25
AZ-9,Safe R,R+25.7,-25.6932,0.0136240628554214,R,R,0.0,1.25,-29.44,Southwest,Rural,1.25
OH-12,Safe R,R+25.6,-25.612033333333336,0.0138070564216652,R,R,-1.25,1.25,-29.67,Midwest,Exurban,1.25
UT-2,Safe R,R+25.6,-25.60319999999999,0.0138271171756979,R,R,0.0,1.25,-29.34999999999999,Mountain West,Rural,1.25
MS-3,Safe R,R+25.5,-25.54543333333333,0.013959017234585,R,R,-1.25,1.25,-27.729999999999997,Deep South,Rural,1.25
AL-5,Safe R,R+25.5,-25.525433333333336,0.0140049721889128,R,R,0.0,1.25,-28.96,Deep South,Rural,1.25
MI-2,Safe R,R+25.3,-25.33096666666666,0.0144596539890935,R,R,0.0,1.25,-29.389999999999997,Midwest,Rural,1.25
SD-AL,Safe R,R+24.9,-24.865433333333332,0.0156080261117482,R,R,0.0,1.25,-28.299999999999997,Great Plains,Rural,1.25
NJ-4,Safe R,R+24.4,-24.3865,0.0168830708950392,R,R,-1.25,1.25,-27.82,Mid-Atlantic,Mixed,1.25
OR-2,Safe R,R+24.1,-24.075433333333333,0.0177654909555307,R,R,-1.25,1.25,-26.26,Pacific,Rural,1.25
FL-19,Safe R,R+23.6,-23.61650000000001,0.0191506291318833,R,R,0.0,1.25,-28.300000000000004,Southeast,Mixed,1.25
FL-6,Safe R,R+23.4,-23.3965,0.0198516528016598,R,R,0.0,1.25,-28.08,Southeast,Mixed,1.25
ID-2,Safe R,R+23.2,-23.2132,0.0204548829883943,R,R,-1.25,1.25,-25.71,Mountain West,Rural,1.25
MO-6,Safe R,R+22.0,-22.000966666666663,0.0249205114313012,R,R,0.0,1.25,-26.06,Midwest,Rural,1.25
AR-3,Safe R,R+21.3,-21.328733333333332,0.027792882877839,R,R,-1.25,1.25,-24.45,Middle South,Rural,1.25
MI-5,Safe R,R+21.2,-21.204266666666665,0.0283589313919469,R,R,0.0,1.25,-26.2,Midwest,Mixed,1.25
IN-2,Safe R,R+21.2,-21.202033333333333,0.0283691896652834,R,R,-1.25,1.25,-25.26,Midwest,Exurban,1.25
