district_id,rating,model_margin_label,model_margin_dem,dem_win_probability,district_partisan_baseline_dem,incumbency_adjustment_dem,candidate_quality_adjustment_dem,region,district_type,tested_multiplier
LA-5,Safe R,R+29.3,-29.267466666666667,0.0075553815681109,-32.5,0.0,0.0,Deep South,Rural,0.8
TN-2,Safe R,R+29.2,-29.21746666666667,0.007618124498314,-32.45,0.0,0.0,Appalachia,Rural,0.8
GA-3,Safe R,R+29.2,-29.203600000000005,0.0076356166005958,-30.730000000000004,-2.0,0.0,Southeast,Rural,0.8
CA-20,Safe R,R+29.2,-29.167466666666662,0.0076813844382711,-30.4,-2.0,0.0,Pacific,Rural,0.8
OK-4,Safe R,R+29.1,-29.067466666666665,0.0078094721522481,-32.3,0.0,0.0,Great Plains,Rural,0.8
UT-4,Safe R,R+29.1,-29.0536,0.0078274001456392,-32.58,0.0,0.0,Mountain West,Rural,0.8
GA-8,Safe R,R+28.7,-28.6636,0.0083486919578444,-30.19,-2.0,0.0,Southeast,Rural,0.8
LA-6,Safe R,R+28.7,-28.65746666666666,0.0083571591814229,-31.889999999999993,0.0,0.0,Deep South,Rural,0.8
IN-4,Safe R,R+27.7,-27.699733333333334,0.0097893540324257,-29.52,-2.0,0.0,Midwest,Rural,0.8
IN-9,Safe R,R+27.7,-27.67973333333333,0.0098217186292918,-29.499999999999996,-2.0,0.0,Midwest,Rural,0.8
MI-9,Safe R,R+27.6,-27.609733333333324,0.0099358311946547,-31.429999999999993,0.0,0.0,Midwest,Rural,0.8
KS-1,Safe R,R+27.6,-27.557466666666667,0.0100218901988039,-30.79,0.0,0.0,Great Plains,Rural,0.8
MT-2,Safe R,R+27.2,-27.1936,0.0106418014831552,-28.72,-2.0,0.0,Mountain West,Rural,0.8
OH-12,Safe R,R+26.7,-26.674266666666668,0.0115927934885034,-29.67,-2.0,0.0,Midwest,Exurban,0.8
MS-3,Safe R,R+26.5,-26.497466666666664,0.0119353394042195,-27.729999999999997,-2.0,0.0,Deep South,Rural,0.8
IA-4,Safe R,R+26.0,-25.99973333333333,0.0129542958064846,-29.819999999999997,0.0,0.0,Midwest,Rural,0.8
AZ-9,Safe R,R+25.9,-25.9136,0.013139142095572,-29.44,0.0,0.0,Southwest,Rural,0.8
UT-2,Safe R,R+25.8,-25.823599999999995,0.0133350668187881,-29.34999999999999,0.0,0.0,Mountain West,Rural,0.8
AL-5,Safe R,R+25.7,-25.72746666666667,0.013547527191805,-28.96,0.0,0.0,Deep South,Rural,0.8
MI-2,Safe R,R+25.6,-25.569733333333332,0.013903381966321,-29.389999999999997,0.0,0.0,Midwest,Rural,0.8
NJ-4,Safe R,R+25.4,-25.412,0.0142684488245755,-27.82,-2.0,0.0,Mid-Atlantic,Mixed,0.8
SD-AL,Safe R,R+25.1,-25.067466666666665,0.0150990223204242,-28.299999999999997,0.0,0.0,Great Plains,Rural,0.8
OR-2,Safe R,R+25.0,-25.027466666666665,0.015198483757338,-26.26,-2.0,0.0,Pacific,Rural,0.8
ID-2,Safe R,R+24.2,-24.1836,0.0174536280899644,-25.71,-2.0,0.0,Mountain West,Rural,0.8
