district_id,party,model_name,suggested_alias_war_name,possible_war_matches,notes
AL-3,D,"McGinnis, Lee",,,
AL-4,D,"Pusczek, Amanda",,,
AL-5,D,"Sneed, Andrew",,,
AR-1,D,"Yarbrough Green, Terri",,"Tabitha Johnson-Green [2022,2020,2018; score=+0.28; match=0.90; same_district=False] | Al Green [2022,2020,2016; score=+1.97; match=0.75; same_district=False] | Karen Green [2022; score=+0.40; match=0.75; same_district=False] | Gene Green [2016; score=+5.40; match=0.75; same_district=False]",
AR-2,D,"Jones, Chris",,"Laura Jones [2024,2022; score=+0.19; match=0.75; same_district=False] | Mondaire Jones [2024,2020; score=-0.69; match=0.75; same_district=False] | Marcus Jones [2024; score=+1.65; match=0.75; same_district=False] | Herb Jones [2022; score=+1.05; match=0.75; same_district=False] | Kermit Jones [2022; score=+0.40; match=0.75; same_district=False]",
AR-3,D,"Ryerse, Robb",,,
AR-4,D,"Russell, James",,,
AZ-1,R,"Feely, Jay",,,
AZ-3,R,"Glenn, Nicholas",,,
AZ-4,R,"Jasser, Zuhdi",,,
AZ-5,D,"Lee, Elizabeth",,"Susie Lee [2024,2022,2020,2018; score=+1.02; match=0.75; same_district=False] | Summer Lee [2024,2022; score=-3.70; match=0.75; same_district=False] | Sheila Jackson Lee [2022,2020,2018,2016,2014; score=-0.41; match=0.75; same_district=False] | Barbara Lee [2022,2020,2016,2014; score=+0.27; match=0.75; same_district=False]",
AZ-5,R,"Lamb, Mike",,,
AZ-6,D,"Mendoza, JoAnn",,,
AZ-7,D,"Grijalva, Adelita",,"Raúl Grijalva [2024,2022,2020,2018,2014; score=-0.52; match=0.75; same_district=False]",
AZ-8,D,"Greene-Placentia, Bernadette",,,
AZ-9,D,"Sterbinsky, Danielle",,,
CA-1,D,"McGuire, Mike",,,
CA-1,R,"Gallagher, James",,"Mike Gallagher [2020,2018,2016; score=+5.64; match=0.75; same_district=False]",
CA-10,R,"Frese, Jeff",,Mike Frese [2014; score=+0.40; match=0.75; same_district=False],
CA-11,D,"Weiner, Scott",,,
CA-12,D,"Simon, Lateefah",,,
CA-14,D,"Wahab, Aisha",,,
CA-15,R,"Hoelter, Charles",,,
CA-16,D,"Liccardo, Sam",,,
CA-16,R,"Soule, Peter",,,
CA-18,R,"Lewis, Shane",,"Marcus Lewis [2024; score=+1.90; match=0.75; same_district=False] | Jason Lewis [2018,2016; score=+0.09; match=0.75; same_district=False]",
CA-19,R,"Verbica, Peter Coe",,,
CA-2,R,"Littau, Robin",,,
CA-20,D,"Van Scotter, Sandra",,,
CA-20,R,"Fong, Vince",,,
CA-21,R,"Kirkland, Kyle",,,
CA-22,D,"Villegas, Randy",,,
CA-23,D,"Hodge, Tessa",,Jevin Hodge [2022; score=+1.15; match=0.75; same_district=False],
CA-24,R,"Smith, Bob",,"Chris Smith [2024,2022,2020,2018,2016,2014; score=+2.43; match=0.75; same_district=False] | Adrian Smith [2024,2022,2020,2018,2014; score=+1.93; match=0.75; same_district=False] | Jason Smith [2024,2022,2020,2018,2016; score=-0.86; match=0.75; same_district=False] | Sean Smith [2024; score=+0.35; match=0.75; same_district=False] | Aja Smith [2022,2020,2018; score=+0.94; match=0.75; same_district=False]",
CA-25,R,"Males, John",,,
CA-26,D,"Irwin, Jacqui",,,
CA-26,R,"Gallucci, Sam",,,
CA-27,R,"Gibbs, Jason",,"John Gibbs [2022; score=-2.85; match=0.90; same_district=False] | Bob Gibbs [2020,2018,2016; score=+1.27; match=0.75; same_district=False]",
CA-3,R,"Tucker, Robb",,,
CA-30,R,"Meyers, Scott",,,
CA-33,R,"Vargas, Stephanie",,Ruben Vargas [2024; score=-0.70; match=0.75; same_district=False],
CA-34,D,"Gomez, Jimmy",,,
CA-36,R,"Brignano, Houston",,,
CA-37,D,"Kamlager-Dove, Sydney",,,
CA-38,D,"Solis, Hilda",,,
CA-38,R,"Casas, Pedro",,,
CA-39,R,"Manos, Steve",,,
CA-41,R,"Clemmons, Mitch",,,
CA-42,R,"Burley, Brian",,,
CA-43,R,"Morales, Cristian",,,
CA-44,R,"Angel, Genevieve",,,
CA-45,R,"Vo, Chuong",,,
CA-47,R,"Le Roux, Jenny",,,
CA-48,D,"von Wilpert, Marie",,,
CA-48,R,"Desmond, Jim",,,
CA-49,R,"Kurdian, Armen",,,
CA-5,D,"Mesuda, Michael",,,
CA-50,R,"Cohen, Steve",,Seth Cohen [2024; score=+0.90; match=0.90; same_district=False] | Ron Cohen [2018; score=+2.40; match=0.75; same_district=False],
CA-51,R,"Cabrera, Ricardo",,,
CA-52,R,"Bell, Jeff",,Douglas Bell [2016; score=+2.60; match=0.75; same_district=False],
CA-6,D,"Pan, Richard",,,
CA-9,R,"McBride, John",,,
CO-1,D,"Kiros, Milat",,,
CO-1,R,"Peterson, Christy",,Lea Marquez Peterson [2018; score=-0.60; match=0.75; same_district=False],
CO-2,R,"Dennison, Kelley",,,
CO-3,D,"Romero, Dwayne",,,
CO-4,D,"Laubacher, Ellen",,,
CO-5,D,"Killin, Jessica",,,
CO-6,R,"Tewahade, Mel",,,
CO-7,R,"Bennett, Tim",,Douglas Bennett [2018; score=+3.50; match=0.75; same_district=False],
CO-8,D,"Rutinel, Manny",,,
GA-1,D,"Hollowell, Amanda",,,
GA-1,R,"Kingston, James",,,
GA-10,D,"DeLancy, Pamela",,,
GA-10,R,"Gaines, Houston",,,
GA-11,D,"Harden, Chris",,,
GA-11,R,"Cowan, John",,,
GA-12,D,"Smith, Ceretta",,"Christy Smith [2022,2020; score=-3.78; match=0.90; same_district=False] | Quacy Smith [2024; score=+2.00; match=0.75; same_district=False] | Adam Smith [2022,2020,2016,2014; score=-1.17; match=0.75; same_district=False] | Jesse Smith [2016,2014; score=+3.51; match=0.75; same_district=False] | Douglas Smith [2016; score=-2.40; match=0.75; same_district=False]",
GA-13,D,"Clarke, Jasmine",,"Yvette Clarke [2024,2020,2018; score=+1.61; match=0.75; same_district=False]",
GA-14,R,"Fuller, Clay",,Virginia Fuller [2018; score=-2.25; match=0.75; same_district=False],
GA-2,R,"Day, Matt",,Darrell Day [2024; score=+0.85; match=0.75; same_district=False] | Chris Day [2014; score=-1.15; match=0.75; same_district=False],
GA-4,R,"Duffie, Jim",,,
GA-5,R,"Salveson, John",,,
GA-6,R,"Martin, Kevin",,Brandon Martin [2020; score=+0.10; match=0.75; same_district=False] | Jeff Martin [2016; score=+0.10; match=0.75; same_district=False],
GA-7,D,"Kozycki, Tony",,,
GA-8,D,"Esti, Kelly",,,
GA-9,D,"Gegen, Caitlyn",,,
IA-1,D,"Bohannon, Christina",,,
IA-2,D,"James, Lindsay",,Neu James [2016; score=-6.40; match=0.75; same_district=False],
IA-2,R,"Mitchell, Joe",,"Paul Mitchell [2018,2016; score=+1.54; match=0.75; same_district=False] | M. Mark Mitchell [2016; score=+0.80; match=0.75; same_district=False]",
IA-3,D,"Trone Garriott, Sarah",,,
IA-4,D,"Dawson, Dave",,,
IA-4,R,"McGowan, Chris",,,
ID-2,D,"Gilbreath, Ellie",,,
IL-1,R,"Maxwell, Christian",,Jim Maxwell [2018; score=+3.40; match=0.75; same_district=False],
IL-10,R,"Lambrecht, Carl",,,
IL-11,R,"Walter, Jeff",,,
IL-12,D,"Fortier, Julie",,,
IL-13,R,"Wilson, Jeff",,"Joe Wilson [2024,2022,2020,2018,2016,2014; score=-0.64; match=0.90; same_district=False]",
IL-15,D,"Todd, Jennifer",,Ian Todd [2018; score=-0.50; match=0.75; same_district=False],
IL-16,D,"Nolley, Paul",,,
IL-17,R,"Vancil, Dillan",,,
IL-2,D,"Miller, Donna",,Darrel Miller [2014; score=-6.55; match=0.90; same_district=False] | Adam Miller [2024; score=+0.65; match=0.75; same_district=False] | Blane Miller [2024; score=-0.80; match=0.75; same_district=False] | Kevin Miller [2016; score=-0.05; match=0.75; same_district=False],
IL-2,R,"Noack, Michael Scott",,,
IL-3,R,"Oakley, Angel",,,
IL-4,D,"Garcia, Patty",,"Chuy Garcia [2024,2022,2020,2018; score=+1.28; match=0.75; same_district=False] | Sylvia Garcia [2024,2022,2020,2018; score=+3.83; match=0.75; same_district=False] | Robert Garcia [2024,2022; score=-0.77; match=0.75; same_district=False] | Joe Garcia [2016,2014; score=-6.26; match=0.75; same_district=False] | Raul Garcia [2014; score=-4.60; match=0.75; same_district=False]",
IL-7,D,"Ford, La Shawn",,Mike Ford [2022; score=+0.70; match=0.75; same_district=False],
IL-8,D,"Bean, Melissa",,,
IL-8,R,"Davis, Jennifer",,"Cicely Davis [2022; score=+6.15; match=0.75; same_district=False] | Rodney Davis [2020,2018,2016; score=+1.85; match=0.75; same_district=False] | Richmond Davis [2018; score=+2.95; match=0.75; same_district=False] | Rodney L. Davis [2014; score=+1.45; match=0.75; same_district=False]",
IL-9,D,"Biss, Daniel",,,
IN-1,R,"Regnitz, Barb",,,
IN-2,D,"Decio, Jamie",,,
IN-3,D,"Thompson, Kelly",,"Bennie Thompson [2024,2022,2020,2016; score=+0.91; match=0.75; same_district=False] | Mike Thompson [2024,2022,2020,2016; score=+0.17; match=0.75; same_district=False] | James Thompson [2018; score=-0.65; match=0.75; same_district=False] | Linda D. Thompson [2014; score=-9.55; match=0.75; same_district=False]",
IN-4,D,"Cox, Drew",,"David Cox [2014; score=+1.80; match=0.90; same_district=False] | Amy Cox [2024; score=-4.35; match=0.75; same_district=False] | TJ Cox [2020,2018; score=-5.30; match=0.75; same_district=False]",
IN-5,D,"Ford, J.D.",,Mike Ford [2022; score=+0.70; match=0.75; same_district=False],
IN-6,D,"Wirth, Cynthia",,Cindy Wirth [2024; score=+0.65; match=0.90; same_district=False] | Cinde Wirth [2022; score=+2.05; match=0.90; same_district=False] | Debra Wirth [2016; score=-1.30; match=0.75; same_district=False],
IN-7,R,"McAuley, Patrick",,,
IN-8,D,"Allen, Mary",,Jack Allen [2024; score=+0.30; match=0.75; same_district=False],
IN-9,D,"Meyer, Brad",,,
KY-1,D,"Williams, John",,"Nikema Williams [2024,2022,2020; score=-0.35; match=0.75; same_district=False] | Lynnette Williams [2022; score=-2.35; match=0.75; same_district=False] | Mikal Williams [2022; score=-1.05; match=0.75; same_district=False] | Kathleen Williams [2020,2018; score=+3.69; match=0.75; same_district=False] | Robert Williams [2020,2018; score=+0.03; match=0.75; same_district=False]",
KY-2,D,"Wingfield, Megan",,,
KY-3,R,"Rodriguez, Maria",,,
KY-4,D,"Strange, Melissa",,,
KY-4,R,"Gallrein, Ed",,,
KY-5,D,"Pillersdorf, Ned",,,
KY-6,D,"Dembo, Zach",,,
KY-6,R,"Alvarado, Ralph",,,
MD-1,D,"Schwartz, Dan",,Gail Schwartz [2016; score=+0.45; match=0.75; same_district=False],
MD-3,R,"Flowers, Bernie",,"Brian Flowers [2022,2020; score=-1.10; match=0.90; same_district=False]",
MD-5,D,"Boafo, Adrian",,,
MD-6,R,"Ficker, Robin",,,
MD-7,D,"Mfume, Kwesi",,"Kweisi Mfume [2024,2022,2020; score=-0.10; match=0.90; same_district=False]",
ME-2,D,"Dunlap, Matthew",,,
ME-2,R,"LePage, Paul",,,
MS-1,D,"Johnson, Cliff",,"Hank Johnson [2024,2022,2020,2018,2016; score=-0.13; match=0.75; same_district=False] | Liz Johnson [2024,2022,2020; score=-0.61; match=0.75; same_district=False] | Julie Johnson [2024; score=-0.85; match=0.75; same_district=False] | Sheryl Johnson [2024; score=-4.95; match=0.75; same_district=False] | Eddie Bernice Johnson [2020,2016; score=+0.09; match=0.75; same_district=False]",
MS-3,D,"Chiaradio, Michael",,,
MS-4,D,"Hulum, Jeffrey",,,
MT-1,D,"Forstag, Sam",,,
MT-1,R,"Flint, Aaron",,,
MT-2,D,"Miller, Brian",,Blane Miller [2024; score=-0.80; match=0.90; same_district=False] | Adam Miller [2024; score=+0.65; match=0.75; same_district=False] | Kevin Miller [2016; score=-0.05; match=0.75; same_district=False] | Darrel Miller [2014; score=-6.55; match=0.75; same_district=False],
NC-10,D,"Bell, Ashley",,"Adrienne Bell [2020,2018; score=+0.05; match=0.90; same_district=False] | Adam Bell [2016; score=+2.50; match=0.90; same_district=False] | Wesley Bell [2024; score=+2.05; match=0.75; same_district=False]",
NC-11,D,"Ager, Jamie",,,
NC-12,R,"Codiga, Jack",,,
NC-13,D,"Barringer, Paul",,,
NC-14,D,"Womack, Lakesha",,,
NC-2,R,"Douglass, Eugene",,,
NC-3,D,"Smith, Raymond",,"Quacy Smith [2024; score=+2.00; match=0.75; same_district=False] | Adam Smith [2022,2020,2016,2014; score=-1.17; match=0.75; same_district=False] | Christy Smith [2022,2020; score=-3.78; match=0.75; same_district=False] | Jesse Smith [2016,2014; score=+3.51; match=0.75; same_district=False] | Douglas Smith [2016; score=-2.40; match=0.75; same_district=False]",
NC-4,R,"Ganorkar, Mahesh",,,
NC-6,D,"Jefferson, Cyril",,Jrmar Jefferson [2022; score=-1.40; match=0.75; same_district=False],
NC-6,R,"McDowell, Addison",,,
NC-7,D,"Hardy, Kimberly",,,
NC-7,R,"Rouzer, Davis",,"David Rouzer [2024,2022,2020,2018,2016,2014; score=-1.31; match=0.90; same_district=False]",
NC-8,D,"Watson, Colby",,Lacy Watson [2022; score=+1.95; match=0.75; same_district=False] | Melissa Watson [2020; score=-0.35; match=0.75; same_district=False] | Tom Watson [2020; score=-0.20; match=0.75; same_district=False] | Liz Watson [2018; score=+2.30; match=0.75; same_district=False],
NE-1,D,"Backemeyer, Chris",,,
NE-2,D,"Powell, Denise",,"Debbie Mucarsel-Powell [2020,2018; score=-1.90; match=0.90; same_district=False]",
NE-2,R,"Harding, Brinker",,,
NE-3,D,"Stille, Becky Kelly",,,
NJ-1,R,"Galdo, Damon",,,
NJ-11,D,"Mejia, Analilia",,,
NJ-11,R,"Hathaway, Joe",,,
NJ-12,D,"Hamawy, Adam",,,
NJ-12,R,"Mele, Gregg",,,
NJ-2,D,"Mullock, Zach",,,
NJ-3,R,"McGuire, Michael",,John McGuire [2024; score=+0.90; match=0.75; same_district=False],
NJ-4,D,"Peace, Rachel",,,
NJ-5,R,"Kirrane, Sean",,,
NJ-6,R,"Herzig, Hillary",,,
NJ-7,D,"Bennett, Rebecca",,LuAnn Bennett [2016; score=-1.50; match=0.75; same_district=False],
NJ-9,R,"Pino, Rosie",,,
NM-1,R,"Okpareke, Ndidiamaka Ekwua Charlene",,,
NM-2,D,"Vazquez, Gabriel",,,
NM-2,R,"Cunningham, Gregory",,,
NM-3,R,"Zamora, Martin",,Eddie Zamora [2014; score=+0.60; match=0.75; same_district=False],
NV-1,R,"Buck, Carrie",,"Ken Buck [2022,2020,2018,2016,2014; score=+1.44; match=0.75; same_district=False] | George Buck [2018; score=-1.65; match=0.75; same_district=False]",
NV-2,D,"Benitez-Thompson, Teresa",,"Bennie Thompson [2024,2022,2020,2016; score=+0.91; match=0.75; same_district=False] | Mike Thompson [2024,2022,2020,2016; score=+0.17; match=0.75; same_district=False] | James Thompson [2018; score=-0.65; match=0.75; same_district=False] | Linda D. Thompson [2014; score=-9.55; match=0.75; same_district=False]",
NV-2,R,"Flippo, David",,,
NV-3,R,"O'Donnell, Marty",,James O'Donnell [2018; score=-0.40; match=0.88; same_district=False],
NV-4,R,"Whipple, Cody",,,
NY-1,D,"Gallant, Christopher",,,
NY-10,D,"Lander, Brad",,,
NY-10,R,"Moore, Jennifer",,"Barry Moore [2024,2022,2020; score=-0.32; match=0.75; same_district=False] | Blake Moore [2024,2022,2020; score=+2.19; match=0.75; same_district=False] | Riley Moore [2024; score=+1.10; match=0.75; same_district=False] | Tim Moore [2024; score=-1.50; match=0.75; same_district=False] | Scotty Moore [2022; score=+0.00; match=0.75; same_district=False]",
NY-11,D,"DeCillis, Mike",,,
NY-12,D,"Lasher, Micah",,,
NY-12,R,"Shinkle, Caroline",,,
NY-13,D,"Avila Chevalier, Darializa",,,
