cycle,shared_calibration_bucket,races,mean_predicted_dem_probability,actual_dem_win_rate,mean_log_loss,mean_brier,calibration_error_dem
2016,0–1%,129,0.0008062015503875968,0.0,0.0008081355021582255,3.852713178294574e-06,0.0008062015503875968
2016,10–20%,11,0.1382727272727273,0.09090909090909091,0.31625600424651146,0.08577950000000002,0.047363636363636386
2016,1–5%,23,0.022608695652173914,0.043478260869565216,0.17796505485770522,0.04172545652173913,-0.020869565217391303
2016,20–35%,11,0.2958636363636364,0.18181818181818182,0.5383014178257549,0.17412761363636362,0.11404545454545456
2016,35–50%,7,0.4272142857142857,0.2857142857142857,0.6657253651966241,0.23625575,0.14150000000000001
2016,50–65%,6,0.541,0.6666666666666666,0.658143732627955,0.23263941666666668,-0.1256666666666666
2016,5–10%,13,0.07303846153846154,0.0,0.07596034590439422,0.005534865384615385,0.07303846153846154
2016,65–80%,10,0.7263,0.6,0.7139987613042944,0.25678809999999996,0.12629999999999997
2016,80–90%,3,0.8593333333333333,1.0,0.15211876269713065,0.02056616666666667,-0.14066666666666672
2016,90–95%,5,0.9294,1.0,0.07329455718965282,0.0051198000000000025,-0.0706
2016,95–99%,21,0.9732380952380952,0.9047619047619048,0.33581042053353916,0.08880802380952381,0.06847619047619047
2016,99–100%,106,0.9994528301886794,1.0,0.0005487528958297669,3.1509433962263904e-06,-0.0005471698113206358
2018,0–1%,129,0.0007054263565891473,0.015503875968992248,0.5361924586177403,0.015508108527131782,-0.0147984496124031
2018,10–20%,19,0.14023684210526316,0.15789473684210525,0.4525681366642508,0.1368918552631579,-0.017657894736842095
2018,1–5%,31,0.02303225806451613,0.06451612903225806,0.24337494037637122,0.060881096774193545,-0.041483870967741934
2018,20–35%,11,0.2667727272727273,0.45454545454545453,0.7628921746851226,0.28066270454545456,-0.18777272727272726
2018,35–50%,5,0.41899999999999993,0.8,0.7553229619276464,0.2813451,-0.3810000000000001
2018,50–65%,11,0.5642727272727273,0.7272727272727273,0.6366957759790871,0.22211150000000002,-0.16300000000000003
2018,5–10%,13,0.07484615384615384,0.23076923076923078,0.6570321876227185,0.20131934615384614,-0.15592307692307694
2018,65–80%,12,0.7281666666666666,1.0,0.3191824996123796,0.075961625,-0.27183333333333337
2018,80–90%,7,0.8446428571428571,0.8571428571428571,0.3844605473870216,0.11632275,-0.012499999999999956
2018,90–95%,7,0.9195000000000001,1.0,0.08399913779951632,0.006605535714285711,-0.0804999999999999
2018,95–99%,14,0.9720000000000001,1.0,0.02847198807981499,0.000920285714285715,-0.027999999999999914
2018,99–100%,134,0.9996455223880598,1.0,0.00035517146069757595,1.3824626865671505e-06,-0.0003544776119401849
2020,0–1%,128,0.0007890625,0.0,0.0007912404669025716,4.3359374999999995e-06,0.0007890625
2020,10–20%,14,0.13346428571428573,0.0,0.14370751870504658,0.01848794642857143,0.13346428571428573
2020,1–5%,28,0.02319642857142857,0.0,0.0235498258694636,0.0006897767857142858,0.02319642857142857
2020,20–35%,13,0.2639230769230769,0.23076923076923078,0.560707638367237,0.18600500000000003,0.033153846153846145
2020,35–50%,6,0.42575,0.6666666666666666,0.807351880542598,0.30603445833333326,-0.2409166666666666
2020,50–65%,7,0.5761428571428571,0.8571428571428571,0.5877691280248858,0.19818514285714287,-0.281
2020,5–10%,12,0.07337500000000001,0.0,0.07632596743108408,0.005590645833333334,0.07337500000000001
2020,65–80%,11,0.7331363636363637,0.9090909090909091,0.3803620876000609,0.10544625,-0.17595454545454536
2020,80–90%,13,0.8546538461538462,0.7692307692307693,0.5471516146202856,0.18046851923076923,0.08542307692307693
2020,90–95%,5,0.9311,0.8,0.6308157991913348,0.18188105,0.1311
2020,95–99%,15,0.9770000000000001,0.9333333333333333,0.29183038969106434,0.06492933333333334,0.04366666666666674
2020,99–100%,155,0.9996806451612904,0.9806451612903225,0.30964969967300027,0.01931079193548387,0.019035483870967873
2022,0–1%,154,0.0006201298701298701,0.006493506493506494,0.031525360795781596,0.006386384740259741,-0.005873376623376624
2022,10–20%,6,0.13208333333333333,0.16666666666666666,0.4028449546109234,0.12709120833333332,-0.03458333333333333
2022,1–5%,16,0.02378125,0.0,0.02413720139943578,0.000695609375,0.02378125
2022,20–35%,10,0.26665,0.4,0.6515414322586383,0.232859075,-0.13335000000000002
2022,35–50%,7,0.41335714285714287,0.5714285714285714,0.7673975377875706,0.28625146428571435,-0.15807142857142853
2022,50–65%,6,0.56525,0.6666666666666666,0.6053757850577357,0.2070239583333333,-0.1014166666666666
2022,5–10%,8,0.069375,0.25,0.7684013543294396,0.2258408125,-0.18062499999999998
2022,65–80%,18,0.7249722222222222,0.8333333333333334,0.4834357309932497,0.15190937499999999,-0.10836111111111113
2022,80–90%,17,0.8558823529411765,0.8823529411764706,0.34007429580535364,0.09837982352941177,-0.026470588235294024
2022,90–95%,8,0.9263125,1.0,0.0766799424220306,0.00566415625,-0.07368750000000002
2022,95–99%,14,0.97525,1.0,0.02516284568573892,0.0008040892857142863,-0.02475000000000005
2022,99–100%,136,0.9992426470588235,1.0,0.0007598805539162362,5.029411764705846e-06,-0.0007573529411765145
