top_n_races,available_races,positive_excess_log_loss,share_of_all_positive_excess
1,1,28.645548183852895,0.2723955704856368
3,3,83.65747585023655,0.7955136942521076
5,5,87.25771223421127,0.8297489770751726
10,10,92.39056844495795,0.8785582121707403
20,20,98.22615063965512,0.9340497926019496
50,50,104.14206158646739,0.9903052333062583
