model,bin_number,bin_lower,bin_upper,races,mean_predicted_probability,observed_dem_win_rate,calibration_gap,absolute_calibration_gap
Layer 4,1,0.0,0.1,581,0.012077102166434213,0.0051635111876075735,0.006913590978826639,0.006913590978826639
Layer 4,2,0.1,0.2,60,0.1427353311960767,0.1,0.0427353311960767,0.0427353311960767
Layer 4,3,0.2,0.30000000000000004,53,0.24880174268686023,0.09433962264150944,0.1544621200453508,0.1544621200453508
Layer 4,4,0.30000000000000004,0.4,31,0.35846763298768974,0.12903225806451613,0.22943537492317362,0.22943537492317362
Layer 4,5,0.4,0.5,33,0.4484041865637868,0.3333333333333333,0.11507085323045346,0.11507085323045346
Layer 4,6,0.5,0.6000000000000001,23,0.5520784341617487,0.34782608695652173,0.204252347205227,0.204252347205227
Layer 4,7,0.6000000000000001,0.7000000000000001,21,0.6472647572121841,0.5238095238095238,0.12345523340266029,0.12345523340266029
Layer 4,8,0.7000000000000001,0.8,35,0.7486125569446617,0.8285714285714286,-0.07995887162676696,0.07995887162676696
Layer 4,9,0.8,0.9,46,0.8486361577985614,0.7391304347826086,0.10950572301595274,0.10950572301595274
Layer 4,10,0.9,1.0,662,0.9928383902108827,0.974320241691843,0.018518148519039768,0.018518148519039768
Layer 5,1,0.0,0.1,582,0.011936196421399311,0.006872852233676976,0.005063344187722335,0.005063344187722335
Layer 5,2,0.1,0.2,59,0.1442681202287104,0.0847457627118644,0.05952235751684601,0.05952235751684601
Layer 5,3,0.2,0.30000000000000004,52,0.24597574814012496,0.09615384615384616,0.14982190198627882,0.14982190198627882
Layer 5,4,0.30000000000000004,0.4,32,0.35848916076841353,0.15625,0.20223916076841353,0.20223916076841353
Layer 5,5,0.4,0.5,33,0.44830345891718093,0.30303030303030304,0.1452731558868779,0.1452731558868779
Layer 5,6,0.5,0.6000000000000001,23,0.5527440156526924,0.34782608695652173,0.20491792869617065,0.20491792869617065
Layer 5,7,0.6000000000000001,0.7000000000000001,21,0.6492785149996794,0.5238095238095238,0.12546899119015553,0.12546899119015553
Layer 5,8,0.7000000000000001,0.8,31,0.7499429277097185,0.8709677419354839,-0.12102481422576539,0.12102481422576539
Layer 5,9,0.8,0.9,46,0.8501451812265242,0.717391304347826,0.1327538768786981,0.1327538768786981
Layer 5,10,0.9,1.0,666,0.9928902722466839,0.972972972972973,0.019917299273710887,0.019917299273710887
