cycle,scored_races,actual_dem_seats,baseline_expected_dem_seats,layer5_expected_dem_seats,baseline_seat_error,layer5_seat_error,baseline_abs_seat_error,layer5_abs_seat_error,abs_seat_error_change,margin_mae,margin_rmse,margin_bias_dem,winner_accuracy,baseline_brier,layer5_brier,brier_change,baseline_log_loss,layer5_log_loss,log_loss_change,baseline_ece,layer5_ece,ece_change,baseline_50_coverage,layer5_50_coverage,baseline_80_coverage,layer5_80_coverage,baseline_95_coverage,layer5_95_coverage,mean_layer5_multiplier,mean_layer5_total_sd
2016,345,149.0,176.57768967629403,176.68510798093445,27.57768967629403,27.685107980934447,27.57768967629403,27.685107980934447,0.10741830464041868,9.940964252319128,12.553563236819139,6.210669497582319,0.9159420289855073,0.06082545351844312,0.06098706687825183,0.00016161335980870856,0.20236322428693554,0.20221426041783375,-0.0001489638691017925,0.07993533239505503,0.0803660526182378,0.00043072022318277337,0.28405797101449276,0.2782608695652174,0.518840579710145,0.5130434782608696,0.6869565217391305,0.6869565217391305,0.9394328111737288,6.3673122861077625
2018,393,200.0,205.04571414331573,205.28521226315058,5.045714143315735,5.285212263150584,5.045714143315735,5.285212263150584,0.23949811983484892,5.980023166066667,7.681984855206737,2.3659441385526714,0.9491094147582697,0.04352345091859354,0.043470974798375486,-5.247612021805348e-05,0.16311209191795822,0.16278549645457865,-0.0003265954633795698,0.025270550869330076,0.029183239244163273,0.003912688374833197,0.4529262086513995,0.455470737913486,0.7633587786259542,0.7531806615776081,0.9236641221374046,0.9236641221374046,0.9601138978153425,6.417275152587966
2020,407,203.0,215.5098106553308,215.78093839686787,12.509810655330796,12.780938396867867,12.509810655330796,12.780938396867867,0.27112774153707164,6.827838738728774,8.66374786663777,5.587800969319437,0.9484029484029484,0.04212022515774663,0.04193222827076163,-0.0001879968869850021,0.18409194935022233,0.17626720078237731,-0.007824748567845013,0.0494720530959072,0.04771894569240151,-0.001753107403505691,0.3783783783783784,0.36609336609336607,0.6953316953316954,0.6904176904176904,0.8746928746928747,0.8746928746928747,0.9599754762829658,6.416661961011878
2022,400,204.0,206.33210985572666,206.73162454865627,2.3321098557266566,2.7316245486562707,2.3321098557266566,2.7316245486562707,0.39951469292961406,5.15792078033075,6.782608443116198,2.90223873562625,0.9525,0.036761485455058855,0.03686431689188042,0.0001028314368215627,0.12077902495356672,0.12143316175472364,0.0006541368011569182,0.021083104136240705,0.015652694613258814,-0.005430409522981891,0.5125,0.5025,0.8,0.7875,0.945,0.95,0.9577769089333481,6.411147400149366
