probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,131,0.02231836545309035,0.0,0.02231836545309035,0.001090052186803282
10–20%,0.1,0.2,27,0.1407570588795874,0.037037037037037035,0.10372002184255036,0.04771483294125236
20–30%,0.2,0.30000000000000004,16,0.2396928658181947,0.125,0.11469286581819471,0.12061017072356237
30–40%,0.30000000000000004,0.4,10,0.3456443986239218,0.1,0.24564439862392182,0.15608486170455158
40–50%,0.4,0.5,11,0.4489922190233228,0.36363636363636365,0.08535585538695917,0.24750034633030038
50–60%,0.5,0.6000000000000001,6,0.5736512667282214,0.6666666666666666,-0.09301539993844521,0.23603294138647546
60–70%,0.6000000000000001,0.7000000000000001,12,0.6636566297001826,0.8333333333333334,-0.1696767036331508,0.1619797884804346
70–80%,0.7000000000000001,0.8,21,0.755920618049677,0.8095238095238095,-0.053603191474132506,0.15897675298075103
80–90%,0.8,0.9,21,0.8545151392310066,0.9523809523809523,-0.09786581314994569,0.05288137566344804
90–100%,0.9,1.0,145,0.9821878869272574,1.0,-0.017812113072742553,0.0009543616049794958
