probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,113,0.02591824566364834,0.0,0.02591824566364834,0.0014140758332154024
10–20%,0.1,0.2,31,0.15076332570003398,0.0,0.15076332570003398,0.023530020517926003
20–30%,0.2,0.30000000000000004,20,0.2518570213001105,0.0,0.2518570213001105,0.06397111069046568
30–40%,0.30000000000000004,0.4,21,0.3490831825938868,0.09523809523809523,0.2538450873557916,0.15263257303858077
40–50%,0.4,0.5,13,0.45662807897180546,0.38461538461538464,0.07201269435642083,0.22981177870682
50–60%,0.5,0.6000000000000001,8,0.5490086374543488,0.625,-0.0759913625456512,0.244698802790129
60–70%,0.6000000000000001,0.7000000000000001,11,0.6641619136280263,0.9090909090909091,-0.24492899546288271,0.13315374027937474
70–80%,0.7000000000000001,0.8,14,0.7595361580397766,0.7142857142857143,0.045250443754062286,0.2071038052016112
80–90%,0.8,0.9,16,0.8559741379178194,0.875,-0.0190258620821806,0.1168292148547661
90–100%,0.9,1.0,160,0.9845233508175255,0.98125,0.0032733508175255555,0.018084390313882055
