probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,114,0.026427560566141428,0.0,0.026427560566141428,0.0014684879463946255
10–20%,0.1,0.2,32,0.15601053711242852,0.0,0.15601053711242852,0.02525426731746344
20–30%,0.2,0.30000000000000004,18,0.2488483069536153,0.0,0.2488483069536153,0.06268522518007663
30–40%,0.30000000000000004,0.4,22,0.34807333121401485,0.09090909090909091,0.2571642403049239,0.15081100488137814
40–50%,0.4,0.5,12,0.4579132266941604,0.4166666666666667,0.04124656002749372,0.23662002024496578
50–60%,0.5,0.6000000000000001,8,0.5578058691801739,0.625,-0.06719413081982606,0.23888641124255588
60–70%,0.6000000000000001,0.7000000000000001,11,0.6581528742649891,0.9090909090909091,-0.2509380348259199,0.13943535524270495
70–80%,0.7000000000000001,0.8,15,0.7649198084977518,0.7333333333333333,0.03158647516441848,0.20228019158259158
80–90%,0.8,0.9,15,0.8580942343110125,0.8666666666666667,-0.008572432355654191,0.12299302528647568
90–100%,0.9,1.0,160,0.984657450073399,0.98125,0.003407450073399043,0.01830130734608365
