probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,132,0.022879652018191608,0.0,0.022879652018191608,0.0011523339695351834
10–20%,0.1,0.2,26,0.14113080705458608,0.038461538461538464,0.10266926859304762,0.048810675107651476
20–30%,0.2,0.30000000000000004,16,0.2381234577726496,0.125,0.1131234577726496,0.12049746880192723
30–40%,0.30000000000000004,0.4,11,0.34794696733613945,0.18181818181818182,0.16612878551795762,0.18071248863800815
40–50%,0.4,0.5,9,0.4514746117753616,0.3333333333333333,0.11814127844202826,0.23684663168296125
50–60%,0.5,0.6000000000000001,7,0.5631629117644877,0.5714285714285714,-0.008265659664083658,0.24887026666819403
60–70%,0.6000000000000001,0.7000000000000001,12,0.6643381455009985,0.8333333333333334,-0.16899518783233491,0.1627604771601451
70–80%,0.7000000000000001,0.8,20,0.7551848665192809,0.85,-0.09481513348071913,0.1359801569817956
80–90%,0.8,0.9,22,0.8515232952317152,0.9090909090909091,-0.057567613859193845,0.08099377024059672
90–100%,0.9,1.0,145,0.9821773887754814,1.0,-0.01782261122451856,0.0009515110324676346
