probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,108,0.02640197415529137,0.018518518518518517,0.007883455636772854,0.01813567016260497
10–20%,0.1,0.2,27,0.1502194598811179,0.0,0.1502194598811179,0.023451270133372844
20–30%,0.2,0.30000000000000004,24,0.24625279726494145,0.125,0.12125279726494145,0.11840524086820144
30–40%,0.30000000000000004,0.4,18,0.35504583109680676,0.16666666666666666,0.1883791644301401,0.16923034040254484
40–50%,0.4,0.5,16,0.4318222751310859,0.125,0.3068222751310859,0.20751080110377712
50–60%,0.5,0.6000000000000001,11,0.5373601525051294,0.45454545454545453,0.08281469795967483,0.2556893830520222
60–70%,0.6000000000000001,0.7000000000000001,10,0.6440780469618531,0.9,-0.2559219530381469,0.166281305079463
70–80%,0.7000000000000001,0.8,15,0.7448114452901748,0.9333333333333333,-0.1885218880431585,0.09381971099092468
80–90%,0.8,0.9,19,0.8508931178105009,0.8947368421052632,-0.04384372429476224,0.09206485934506241
90–100%,0.9,1.0,145,0.9841219030798929,1.0,-0.01587809692010711,0.0008204337452180477
