probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,108,0.02640585251517107,0.018518518518518517,0.007887333996652552,0.018118033143773558
10–20%,0.1,0.2,27,0.15002525243179712,0.0,0.15002525243179712,0.023395298270180293
20–30%,0.2,0.30000000000000004,24,0.24646210005155453,0.125,0.12146210005155453,0.11832661897401446
30–40%,0.30000000000000004,0.4,18,0.3548530314484306,0.16666666666666666,0.18818636478176395,0.16922213866289487
40–50%,0.4,0.5,16,0.431274195267319,0.125,0.306274195267319,0.20719721593083745
50–60%,0.5,0.6000000000000001,11,0.5377305061353982,0.45454545454545453,0.08318505158994366,0.25615848725662427
60–70%,0.6000000000000001,0.7000000000000001,10,0.6437471743062637,0.9,-0.2562528256937363,0.16655865073398907
70–80%,0.7000000000000001,0.8,15,0.7464425748240254,0.9333333333333333,-0.18689075850930792,0.0928927294122735
80–90%,0.8,0.9,19,0.8510965089243359,0.8947368421052632,-0.043640333180927304,0.09199082512293515
90–100%,0.9,1.0,145,0.9841437922729515,1.0,-0.015856207727048544,0.0008182126728262508
