probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,108,0.026469270831246852,0.018518518518518517,0.007950752312728335,0.01799461713344606
10–20%,0.1,0.2,27,0.1489394581899402,0.0,0.1489394581899402,0.02311417876160661
20–30%,0.2,0.30000000000000004,23,0.2454846944143633,0.13043478260869565,0.11504991180566765,0.1191199090157843
30–40%,0.30000000000000004,0.4,19,0.3509070455406355,0.15789473684210525,0.19301230869853025,0.16503909799472471
40–50%,0.4,0.5,18,0.43475210260028496,0.1111111111111111,0.32364099148917386,0.2091708140375729
50–60%,0.5,0.6000000000000001,8,0.5425037997513342,0.625,-0.08249620024866577,0.2487299767489864
60–70%,0.6000000000000001,0.7000000000000001,10,0.6337608362994294,0.8,-0.16623916370057068,0.1978985054008345
70–80%,0.7000000000000001,0.8,14,0.7441097521867894,0.9285714285714286,-0.18446167638463917,0.09545108424358982
80–90%,0.8,0.9,21,0.8477309620615565,0.9047619047619048,-0.05703094270034825,0.08642896800418348
90–100%,0.9,1.0,145,0.9842899830056153,1.0,-0.01571001699438468,0.0007999658720376004
