model_name,scored_races,mean_margin_error_dem_bias,mean_absolute_error,median_absolute_error,rmse,winner_accuracy,brier_score,log_loss,actual_dem_wins_in_scored_sample,predicted_dem_wins_in_scored_sample,expected_dem_wins_in_scored_sample,predicted_win_count_error,expected_win_count_error
baseline_only,400,5.038905402645698,6.362268732639414,5.50577777849564,7.935449279795993,0.95,0.042199756718057785,0.14893826783189026,204,214,215.34548810512274,10,11.34548810512274
layer_1_baseline_plus_environment,400,2.90223873597903,5.157920780639213,4.278663815016486,6.78260844336601,0.9525,0.040074289806662736,0.14324605274233598,204,205,206.51423209891345,1,2.5142320989134532
layer_2_plus_incumbency,400,2.9322387359790296,4.904346821144045,3.631052987217921,6.50705364158907,0.9525,0.035908999084209976,0.1296455095395803,204,207,206.49559613206935,3,2.495596132069352
