model_name,cycle,race_id,dem_candidate,gop_candidate,district_pres_margin_dem,national_environment_margin_dem,forecast_margin_dem,dem_win_probability,actual_dem_margin,actual_winner,actual_dem_win,predicted_dem_win,correct_winner,margin_error,absolute_margin_error,squared_margin_error,brier_score,boundary_compatibility,general_election_party_structure
baseline_only,2022,AK-AL,MARY SATTLER PELTOLA,SARAH PALIN,-10.1,-2.136666666666667,-10.1,0.17453145807317963,23.02150904745647,D,True,False,False,-33.12150904745647,33.12150904745647,1097.0343615807408,0.6813983137107908,authoritative_2022_boundary,D_vs_R
baseline_only,2022,AL-2,PHYLLIS HARVEY-HALL,BARRY MOORE,-29.4,-2.136666666666667,-29.4,0.01073899258240163,-39.93043862867597,R,False,False,True,10.530438628675974,10.530438628675974,110.89013771231112,0.00011532596168487722,authoritative_2022_boundary,D_vs_R
baseline_only,2022,AL-3,LIN VEASEY,MIKE ROGERS,-34.1,-2.136666666666667,-34.1,0.005240136349086315,-46.0820562377236,R,False,False,True,11.982056237723597,11.982056237723597,143.56967168397097,2.745902895701565e-05,authoritative_2022_boundary,D_vs_R
baseline_only,2022,AL-4,RICK NEIGHBORS,ROBERT B ADERHOLT,-61.8,-2.136666666666667,-61.8,7.427273861516607e-05,-70.48428215988106,R,False,False,True,8.684282159881064,8.684282159881064,75.41675663242853,5.516439701396781e-09,authoritative_2022_boundary,D_vs_R
baseline_only,2022,AL-5,KATHY WARNER-STANTON,DALE STRONG,-27.1,-2.136666666666667,-27.1,0.015228652862533163,-37.53585440638291,R,False,False,True,10.435854406382909,10.435854406382909,108.90705719122157,0.00023191186800753953,authoritative_2022_boundary,D_vs_R
baseline_only,2022,AL-7,TERRI A SEWELL,BEATRICE NICHOLS,32.0,-2.136666666666667,32.0,0.9927758614367032,28.780550685779108,D,True,True,True,3.219449314220892,3.219449314220892,10.364853886837372,5.21881779817126e-05,authoritative_2022_boundary,D_vs_R
baseline_only,2022,AR-1,MONTE HODGES,ERIC A âRICKâ CRAWFORD,-40.9,-2.136666666666667,-40.9,0.0018470666979041436,-47.59564624805636,R,False,False,True,6.695646248056363,6.695646248056363,44.83167867911125,3.411655386506517e-06,authoritative_2022_boundary,D_vs_R
baseline_only,2022,AR-2,QUINTESSA HATHAWAY,J FRENCH HILL,-13.1,-2.136666666666667,-13.1,0.11759707548419916,-24.787580240701818,R,False,False,True,11.687580240701818,11.687580240701818,136.59953188284356,0.013829072162436435,authoritative_2022_boundary,D_vs_R
baseline_only,2022,AR-3,LAUREN MALLETT-HAYS,STEVE WOMACK,-23.4,-2.136666666666667,-23.4,0.026596993576865863,-30.797717229905004,R,False,False,True,7.397717229905005,7.397717229905005,54.72622021363338,0.000707400067327844,authoritative_2022_boundary,D_vs_R
baseline_only,2022,AR-4,JOHN WHITE,BRUCE WESTERMAN,-35.2,-2.136666666666667,-35.2,0.004427933064007075,-44.81162550300883,R,False,False,True,9.611625503008824,9.611625503008824,92.38334481008962,1.9606591219327084e-05,authoritative_2022_boundary,D_vs_R
