metric,baseline_only,layer_1,layer_2,layer_1_minus_baseline,layer_2_minus_layer_1
mean_absolute_error,6.362268732639414,5.157920780639213,4.904346821144045,-1.2043479520002016,-0.25357395949516803
rmse,7.935449279795993,6.78260844336601,6.50705364158907,-1.1528408364299825,-0.2755548017769405
winner_accuracy,0.95,0.9525,0.9525,0.0025000000000000577,0.0
brier_score,0.042199756718057785,0.040074289806662736,0.035908999084209976,-0.002125466911395049,-0.004165290722452759
log_loss,0.14893826783189026,0.14324605274233598,0.1296455095395803,-0.005692215089554281,-0.013600543202755694
mean_margin_error_dem_bias,5.038905402645698,2.90223873597903,2.9322387359790296,-2.136666666666668,0.029999999999999805
