retention_level,race_id,district_dna_elasticity_original,district_elasticity_used,elasticity_source,selected_regime_reliability,selected_regime_scorable_elections,layer_2_environment_component,layer_3_environment_component,layer_2_margin_dem,layer_3_margin_dem,layer_3_minus_layer_2_margin,actual_dem_margin,scored
0.0,AK-AL,0.7833506643265725,1.0,district_dna_behavior_model,high,5,-2.136666666666667,-2.136666666666667,-10.236666666666666,-10.236666666666666,0.0,23.02150904745647,True
0.0,AL-1,0.7308223287275211,1.0,district_dna_behavior_model,medium,3,-2.136666666666667,-2.136666666666667,-32.43666666666667,-32.43666666666667,0.0,-83.61106155218555,False
0.0,AL-2,1.213365070313175,1.0,district_dna_behavior_model,high,5,-2.136666666666667,-2.136666666666667,-33.53666666666666,-33.53666666666666,0.0,-39.93043862867597,True
0.0,AL-3,0.3072011614729286,1.0,district_dna_behavior_model,high,5,-2.136666666666667,-2.136666666666667,-38.23666666666667,-38.23666666666667,0.0,-46.0820562377236,True
0.0,AL-4,0.2537183026375453,1.0,district_dna_behavior_model,medium,3,-2.136666666666667,-2.136666666666667,-65.93666666666667,-65.93666666666667,0.0,-70.48428215988106,True
0.0,AL-5,1.0219556497961386,1.0,district_dna_behavior_model,medium,3,-2.136666666666667,-2.136666666666667,-29.236666666666668,-29.236666666666668,0.0,-37.53585440638291,True
0.0,AL-6,1.065466609815782,1.0,district_dna_behavior_model,high,4,-2.136666666666667,-2.136666666666667,-34.03666666666667,-34.03666666666667,0.0,-83.72990667904432,False
0.0,AL-7,0.3118027725115436,1.0,characteristics_model_sparse_history_fallback,insufficient_single_cycle,1,-2.136666666666667,-2.136666666666667,31.863333333333333,31.863333333333333,0.0,28.780550685779108,True
0.0,AR-1,0.4625531846492325,1.0,district_dna_behavior_model,medium,3,-2.136666666666667,-2.136666666666667,-45.03666666666667,-45.03666666666667,0.0,-47.59564624805636,True
0.0,AR-2,0.9535439800013704,1.0,district_dna_behavior_model,high,5,-2.136666666666667,-2.136666666666667,-17.236666666666665,-17.236666666666665,0.0,-24.787580240701818,True
0.0,AR-3,1.1756549439090584,1.0,district_dna_behavior_model,low,2,-2.136666666666667,-2.136666666666667,-27.536666666666665,-27.536666666666665,0.0,-30.797717229905004,True
0.0,AR-4,1.20396340144329,1.0,district_dna_behavior_model,high,4,-2.136666666666667,-2.136666666666667,-39.33666666666667,-39.33666666666667,0.0,-44.81162550300883,True
0.0,AZ-1,0.2537183026375453,1.0,district_dna_behavior_model,high,5,-2.136666666666667,-2.136666666666667,-2.636666666666667,-2.636666666666667,0.0,-0.8838736627779914,True
0.0,AZ-2,1.5290136899973603,1.0,district_dna_behavior_model,high,5,-2.136666666666667,-2.136666666666667,-10.036666666666667,-10.036666666666667,0.0,-7.736026419621764,True
0.0,AZ-3,0.9647024348369514,1.0,district_dna_behavior_model,high,4,-2.136666666666667,-2.136666666666667,50.46333333333333,50.46333333333333,0.0,53.96033287494507,True
0.0,AZ-4,0.4989966637218154,1.0,district_dna_behavior_model,high,5,-2.136666666666667,-2.136666666666667,10.163333333333334,10.163333333333334,0.0,12.21101477223934,True
0.0,AZ-5,1.0130514257411631,1.0,district_dna_behavior_model,high,5,-2.136666666666667,-2.136666666666667,-20.536666666666665,-20.536666666666665,0.0,-19.34792748530738,True
0.0,AZ-6,0.6043271519627427,1.0,district_dna_behavior_model,high,5,-2.136666666666667,-2.136666666666667,-2.036666666666667,-2.036666666666667,0.0,-1.4979257507522554,True
0.0,AZ-7,0.99907078512364,1.0,district_dna_behavior_model,low,2,-2.136666666666667,-2.136666666666667,32.66333333333333,32.66333333333333,0.0,29.088848270721225,True
