model_name,scored_races,mean_margin_error_dem_bias,mean_absolute_error,median_absolute_error,rmse,winner_accuracy,brier_score,log_loss,actual_dem_wins_in_scored_sample,predicted_dem_wins_in_scored_sample,expected_dem_wins_in_scored_sample,predicted_win_count_error,expected_win_count_error,retention_level,subset_name
characteristics_retention_0.00,400,2.94223873597903,4.889977875468015,3.5144323278454603,6.475034390695038,0.9575,0.03472005640995939,0.12563117592765052,204,209,206.49352343247423,5,2.493523432474234,0.0,all_scored
characteristics_retention_0.00,26,0.29969707816751173,5.075360196193751,4.527112253808641,6.323407802877534,0.6538461538461539,0.22880249531529617,0.6496843799576882,12,15,13.201685680763113,3,1.2016856807631129,0.0,layer_2_margin_within_5
characteristics_retention_0.00,67,1.7661962929571953,5.155206475097212,3.8581871524781164,6.60257693139839,0.7611940298507462,0.1803283563789832,0.5448898000529802,32,38,35.03903948056645,6,3.0390394805664513,0.0,layer_2_margin_within_10
characteristics_retention_0.00,114,1.945479867808253,5.236102694125715,3.728375161866202,7.115336664795795,0.8508771929824561,0.11971354903911886,0.394920456540393,56,61,57.877519211540985,5,1.8775192115409851,0.0,layer_2_margin_within_15
characteristics_retention_0.20,400,2.9422387359790307,4.89332044222719,3.505452374202583,6.475943923552338,0.9575,0.03458658025088249,0.12528727447480567,204,209,206.35650665416415,5,2.35650665416415,0.2,all_scored
characteristics_retention_0.20,26,0.22782231109652049,5.051283534209365,4.50440332265235,6.307514081204022,0.6538461538461539,0.2281994899429714,0.648382929708791,12,15,13.132423262425144,3,1.132423262425144,0.2,layer_2_margin_within_5
characteristics_retention_0.20,67,1.7093670245025585,5.120936224091671,3.785681588606491,6.569802545333389,0.7611940298507462,0.17971449916844529,0.5433854009885561,32,38,34.91461968426801,6,2.914619684268011,0.2,layer_2_margin_within_10
characteristics_retention_0.20,114,1.9081844124289793,5.205016943665101,3.6369367047780607,7.079715987529063,0.8508771929824561,0.1192329195039032,0.3936617215600554,56,61,57.74573748922543,5,1.7457374892254265,0.2,layer_2_margin_within_15
characteristics_retention_0.30,400,2.9422387359790307,4.89557378751082,3.4879708787790733,6.477323658203621,0.9575,0.034523287388960544,0.12512447119072173,204,209,206.28829097103656,5,2.2882909710365595,0.3,all_scored
characteristics_retention_0.30,26,0.19198033017730262,5.0392771612552725,4.457571016587633,6.300677258883875,0.6538461538461539,0.22791841456757228,0.6477733922619506,12,15,13.097871773331915,3,1.0978717733319154,0.3,layer_2_margin_within_5
characteristics_retention_0.30,67,1.6810278223234074,5.10531307368264,3.7881506860846565,6.554259136522183,0.7611940298507462,0.17942169095012775,0.5426635636656424,32,38,34.852573704156704,6,2.852573704156704,0.3,layer_2_margin_within_10
characteristics_retention_0.30,114,1.8895861886774203,5.190377212454094,3.581509257408315,7.062758176791846,0.8508771929824561,0.1190037466134609,0.39305884429911175,56,61,57.68009459415738,5,1.6800945941573815,0.3,layer_2_margin_within_15
characteristics_retention_0.40,400,2.9422387359790307,4.898314552950955,3.5158324861779313,6.4793152108108645,0.9575,0.03446228221455163,0.12496772247577041,204,209,206.22027412783163,5,2.2202741278316296,0.4,all_scored
characteristics_retention_0.40,26,0.15620172607741076,5.027292018314421,4.410821520750587,6.294578506838818,0.6538461538461539,0.22765095979497665,0.6471911162956755,12,15,13.063378027467826,3,1.0633780274678255,0.4,layer_2_margin_within_5
characteristics_retention_0.40,67,1.652738730334885,5.08971754857655,3.7209236030307187,6.539279474336056,0.7611940298507462,0.1791382727370328,0.5419618172052764,32,38,34.79064274313516,6,2.790642743135159,0.4,layer_2_margin_within_10
characteristics_retention_0.40,114,1.871020850838868,5.175763367635974,3.5722090299241254,7.04637000170559,0.8508771929824561,0.11878197102964247,0.3924735013009784,56,61,57.61462125477995,5,1.614621254779948,0.4,layer_2_margin_within_15
characteristics_retention_1.00,400,2.9422387359790307,4.925452232028304,3.651890434612099,6.503889081615638,0.955,0.03414390562882495,0.12415256481305842,204,206,205.81649304065857,2,1.816493040658571,1.0,all_scored
characteristics_retention_1.00,26,-0.05714834907996981,4.99898124079055,4.226136934112768,6.273369126815594,0.6153846153846154,0.22633152292309716,0.6442613809971213,12,12,12.857814270904901,0,0.8578142709049015,1.0,layer_2_margin_within_5
characteristics_retention_1.00,67,1.484049088753713,5.025726893338141,3.7028161284104346,6.461274362329002,0.746268656716418,0.17763364074705568,0.5381668108549514,32,35,34.42170323133993,3,2.421703231339933,1.0,layer_2_margin_within_10
characteristics_retention_1.00,114,1.7603145691706767,5.105667736184569,3.616701716976408,6.960041187537391,0.8421052631578947,0.11760531551557972,0.38932437369239065,56,58,57.22550852536737,2,1.225508525367367,1.0,layer_2_margin_within_15
