retention_level,shrinkage_toward_one,pre_normalization_scored_mean_elasticity,normalized_scored_mean_elasticity,normalized_scored_sd_elasticity,normalized_scored_min_elasticity,normalized_scored_max_elasticity,layer_2_mean_absolute_error,layer_3_mean_absolute_error,layer_3_minus_layer_2_mean_absolute_error,layer_2_median_absolute_error,layer_3_median_absolute_error,layer_3_minus_layer_2_median_absolute_error,layer_2_rmse,layer_3_rmse,layer_3_minus_layer_2_rmse,layer_2_winner_accuracy,layer_3_winner_accuracy,layer_3_minus_layer_2_winner_accuracy,layer_2_brier_score,layer_3_brier_score,layer_3_minus_layer_2_brier_score,layer_2_log_loss,layer_3_log_loss,layer_3_minus_layer_2_log_loss,layer_2_mean_margin_error_dem_bias,layer_3_mean_margin_error_dem_bias,layer_3_minus_layer_2_mean_margin_error_dem_bias,layer_2_predicted_dem_wins_in_scored_sample,layer_3_predicted_dem_wins_in_scored_sample,layer_3_minus_layer_2_predicted_dem_wins_in_scored_sample,layer_2_expected_dem_wins_in_scored_sample,layer_3_expected_dem_wins_in_scored_sample,layer_3_minus_layer_2_expected_dem_wins_in_scored_sample,layer_2_predicted_win_count_error,layer_3_predicted_win_count_error,layer_3_minus_layer_2_predicted_win_count_error,layer_2_expected_win_count_error,layer_3_expected_win_count_error,layer_3_minus_layer_2_expected_win_count_error,mae_rank,rmse_rank,brier_rank,log_loss_rank,combined_rank
0.45,0.55,1.001935022845461,1.0,0.20071595023003236,0.6628905278714244,1.346606938119151,4.889977875468015,4.879934899923328,-0.010042975544687138,3.5144323278454603,3.5821567442685587,0.06772441642309834,6.475034390695038,6.470425012077744,-0.0046093786172942686,0.9575,0.9575,0.0,0.03472005640995939,0.034449124255059,-0.00027093215490039263,0.12563117592765052,0.12485133547448017,-0.0007798404531703523,2.94223873597903,2.9422387359790316,1.7763568394002505e-15,209.0,209.0,0.0,206.49352343247423,206.1251692731688,-0.3683541593054258,5.0,5.0,0.0,2.493523432474234,2.125169273168808,-0.3683541593054258,1.0,6.0,4.0,4.0,15.0
0.5,0.5,1.0021500253838456,1.0,0.2229698759725771,0.6255142797393751,1.3850361962519222,4.889977875468015,4.88007881026006,-0.00989906520795536,3.5144323278454603,3.582351947655498,0.0679196198100378,6.475034390695038,6.471664162865348,-0.0033702278296896537,0.9575,0.9575,0.0,0.03472005640995939,0.03442679986683416,-0.00029325654312523097,0.12563117592765052,0.12478351994472078,-0.0008476559829297403,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,209.0,0.0,206.49352343247423,206.0840619846828,-0.40946144779144333,5.0,5.0,0.0,2.493523432474234,2.0840619846827906,-0.40946144779144333,2.0,7.0,3.0,3.0,15.0
0.55,0.44999999999999996,1.00236502792223,1.0000000000000002,0.24521425499234045,0.5881540656627843,1.4234489685979461,4.889977875468015,4.880615732021241,-0.009362143446774773,3.5144323278454603,3.6161212180884323,0.10168889024297201,6.475034390695038,6.47325160214467,-0.00178278855036762,0.9575,0.9575,0.0,0.03472005640995939,0.034406020353170114,-0.0003140360567892783,0.12563117592765052,0.12471944066504197,-0.0009117352626085568,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,209.0,0.0,206.49352343247423,206.04292097373605,-0.4506024587381887,5.0,5.0,0.0,2.493523432474234,2.042920973736045,-0.4506024587381887,3.0,8.0,2.0,2.0,15.0
0.6,0.4,1.0025800304606147,1.0,0.26744909343118495,0.5508098753261783,1.4618452657633156,4.889977875468015,4.881901028818077,-0.008076846649938574,3.5144323278454603,3.6332692122591688,0.11883688441370843,6.475034390695038,6.475186625165331,0.00015223447029288906,0.9575,0.9575,0.0,0.03472005640995939,0.03438678267028198,-0.0003332737396774116,0.12563117592765052,0.12465908937913142,-0.0009720865485191021,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,209.0,0.0,206.49352343247423,206.00174683991852,-0.49177659255570916,5.0,5.0,0.0,2.493523432474234,2.0017468399185248,-0.49177659255570916,6.0,10.0,1.0,1.0,18.0
0.4,0.6,1.0017200203070764,1.0,0.17845247161757063,0.7002828203832622,1.3081611835844327,4.889977875468015,4.880621814620859,-0.009356060847156122,3.5144323278454603,3.603066500513176,0.08863417266771556,6.475034390695038,6.4695347994759755,-0.005499591219062516,0.9575,0.9575,0.0,0.03472005640995939,0.03447299654333088,-0.00024705986662851287,0.12563117592765052,0.12492289552530624,-0.0007082804023442885,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,209.0,0.0,206.49352343247423,206.1662422497447,-0.32728118272953566,5.0,5.0,0.0,2.493523432474234,2.1662422497446983,-0.32728118272953566,4.0,5.0,5.0,5.0,19.0
0.35,0.65,1.0015050177686917,1.0000000000000002,0.1561794339827774,0.7376911676080838,1.269698922023452,4.889977875468015,4.8814915293776595,-0.008486346090355923,3.5144323278454603,3.566438738560622,0.05200641071516188,6.475034390695038,6.468994119295896,-0.006040271399141872,0.9575,0.9575,0.0,0.03472005640995939,0.03449841973903621,-0.00022163667092318234,0.12563117592765052,0.12499820838271149,-0.0006329675449390365,2.94223873597903,2.9422387359790303,4.440892098500626e-16,209.0,209.0,0.0,206.49352343247423,206.20728033508917,-0.2862430973850678,5.0,5.0,0.0,2.493523432474234,2.207280335089166,-0.2862430973850678,5.0,3.0,6.0,6.0,20.0
0.3,0.7,1.0012900152303075,1.0,0.13389683116795406,0.7751155798879595,1.2312201428027685,4.889977875468015,4.882460811496975,-0.007517063971040017,3.5144323278454603,3.5430572456890768,0.028624917843616426,6.475034390695038,6.46880350995698,-0.006230880738057998,0.9575,0.9575,0.0,0.03472005640995939,0.034525396831641075,-0.00019465957831831665,0.12563117592765052,0.12507728234658042,-0.0005538935810701084,2.94223873597903,2.9422387359790316,1.7763568394002505e-15,209.0,209.0,0.0,206.49352343247423,206.2482829599925,-0.24524047248172565,5.0,5.0,0.0,2.493523432474234,2.2482829599925083,-0.24524047248172565,7.0,1.0,7.0,7.0,22.0
0.25,0.75,1.0010750126919228,1.0,0.11160465701011195,0.8125560675738456,1.192724835279807,4.889977875468015,4.883452825601202,-0.006525049866813681,3.5144323278454603,3.535421731214708,0.020989403369247484,6.475034390695038,6.4689634537487075,-0.006070936946330541,0.9575,0.9575,0.0,0.03472005640995939,0.03455393079285061,-0.00016612561710878382,0.12563117592765052,0.1251601257310079,-0.0004710501966426195,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,209.0,0.0,206.49352343247423,206.28924956533632,-0.20427386713791407,5.0,5.0,0.0,2.493523432474234,2.28924956533632,-0.20427386713791407,8.0,2.0,8.0,8.0,26.0
0.2,0.8,1.000860010153538,1.0000000000000002,0.08930290534096672,0.8500126410255913,1.1542129888028474,4.889977875468015,4.884519191251852,-0.0054586842161636895,3.5144323278454603,3.5622258780135123,0.04779355016805198,6.475034390695038,6.469474376561993,-0.005560014133044966,0.9575,0.9575,0.0,0.03472005640995939,0.034584024576747356,-0.00013603183321203582,0.12563117592765052,0.12524674686413018,-0.00038442906352034734,2.94223873597903,2.9422387359790307,8.881784197001252e-16,209.0,209.0,0.0,206.49352343247423,206.33017960206877,-0.1633438304054664,5.0,5.0,0.0,2.493523432474234,2.3301796020687675,-0.1633438304054664,9.0,4.0,9.0,9.0,31.0
0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.889977875468015,4.889977875468015,0.0,3.5144323278454603,3.5144323278454603,0.0,6.475034390695038,6.475034390695038,0.0,0.9575,0.9575,0.0,0.03472005640995939,0.03472005640995939,0.0,0.12563117592765052,0.12563117592765052,0.0,2.94223873597903,2.94223873597903,0.0,209.0,209.0,0.0,206.49352343247423,206.49352343247423,0.0,5.0,5.0,0.0,2.493523432474234,2.493523432474234,0.0,10.0,9.0,10.0,10.0,39.0
