model_name,probability_bucket,races,average_dem_probability,actual_dem_win_rate,calibration_error,bucket_brier_score,retention_level
characteristics_retention_0.00,0–10%,139,0.021258173871218825,0.0,0.021258173871218825,0.0010479083417539144,0.0
characteristics_retention_0.00,10–20%,25,0.13765864517370044,0.04,0.09765864517370043,0.04606666205754818,0.0
characteristics_retention_0.00,20–30%,13,0.24411900455604962,0.15384615384615385,0.09027285070989577,0.12959006186097627,0.0
characteristics_retention_0.00,30–40%,9,0.3523009383258454,0.2222222222222222,0.1300787161036232,0.1763253779555569,0.0
characteristics_retention_0.00,40–50%,5,0.4459192951893257,0.2,0.2459192951893257,0.2064996878019641,0.0
characteristics_retention_0.00,50–60%,11,0.557225329740957,0.5454545454545454,0.01177078428641154,0.25878722781792496,0.0
characteristics_retention_0.00,60–70%,6,0.6642974661881729,0.8333333333333334,-0.1690358671451605,0.16011571468268052,0.0
characteristics_retention_0.00,70–80%,18,0.7506615090964598,0.7222222222222222,0.02843928687423758,0.2103344762902287,0.0
characteristics_retention_0.00,80–90%,25,0.8494929442864817,1.0,-0.1505070557135183,0.02320576482329682,0.0
characteristics_retention_0.00,90–100%,149,0.9842874158372255,1.0,-0.015712584162774546,0.0007589303378452207,0.0
characteristics_retention_0.20,0–10%,139,0.021265376780265757,0.0,0.021265376780265757,0.0010530930065954798,0.2
characteristics_retention_0.20,10–20%,24,0.13472388195880694,0.041666666666666664,0.09305721529214028,0.04570487873133055,0.2
characteristics_retention_0.20,20–30%,14,0.23933683025677926,0.14285714285714285,0.09647968739963642,0.12188883200433517,0.2
characteristics_retention_0.20,30–40%,8,0.34504082036125605,0.25,0.09504082036125605,0.17796387772028757,0.2
characteristics_retention_0.20,40–50%,6,0.43609591369945294,0.16666666666666666,0.26942924703278626,0.19881577496348912,0.2
characteristics_retention_0.20,50–60%,11,0.5541266937546431,0.5454545454545454,0.00867214830009766,0.258478779673031,0.2
