model_name,probability_bucket,races,average_dem_probability,actual_dem_win_rate,calibration_error,bucket_brier_score,retention_level
characteristics_retention_0.20,60–70%,6,0.6621915616818549,0.8333333333333334,-0.17114177165147848,0.15864233087348314,0.2
characteristics_retention_0.20,70–80%,19,0.7520443022750388,0.7368421052631579,0.015202197011880969,0.20090404945516183,0.2
characteristics_retention_0.20,80–90%,24,0.8513203264138829,1.0,-0.1486796735861171,0.022559654612718482,0.2
characteristics_retention_0.20,90–100%,149,0.9842319185735774,1.0,-0.01576808142642261,0.0007688359146496861,0.2
characteristics_retention_0.30,0–10%,139,0.021271242635476823,0.0,0.021271242635476823,0.0010560992443625614,0.3
characteristics_retention_0.30,10–20%,24,0.13455837952400201,0.041666666666666664,0.09289171285733536,0.045398996818471975,0.3
characteristics_retention_0.30,20–30%,14,0.23856053213442469,0.14285714285714285,0.09570338927728184,0.12126590708154018,0.3
characteristics_retention_0.30,30–40%,8,0.3443954000920939,0.25,0.0943954000920939,0.17777033656636154,0.3
characteristics_retention_0.30,40–50%,6,0.4350255467641448,0.16666666666666666,0.2683588800974781,0.19888748112216817,0.3
characteristics_retention_0.30,50–60%,11,0.5525790805801466,0.5454545454545454,0.0071245351256011835,0.2583365034938588,0.3
characteristics_retention_0.30,60–70%,7,0.6666649330024992,0.8571428571428571,-0.1904779241403579,0.1482329824843382,0.3
characteristics_retention_0.30,70–80%,18,0.7542572941602831,0.7222222222222222,0.03203507193806088,0.20683559780302857,0.3
characteristics_retention_0.30,80–90%,25,0.8531375776469146,1.0,-0.14686242235308544,0.022086400429173255,0.3
characteristics_retention_0.30,90–100%,148,0.9847765408883015,1.0,-0.015223459111698534,0.0007107957537997949,0.3
characteristics_retention_0.40,0–10%,139,0.02127860500636112,0.0,0.02127860500636112,0.0010593805565871682,0.4
characteristics_retention_0.40,10–20%,24,0.1344036459418019,0.041666666666666664,0.09273697927513525,0.045097460485309306,0.4
characteristics_retention_0.40,20–30%,14,0.23779521346145066,0.14285714285714285,0.09493807060430781,0.12065543452288614,0.4
characteristics_retention_0.40,30–40%,8,0.3437540606243127,0.25,0.09375406062431269,0.1775831628752913,0.4
characteristics_retention_0.40,40–50%,6,0.4339629428285871,0.16666666666666666,0.2672962761619204,0.19898294506862116,0.4
characteristics_retention_0.40,50–60%,11,0.5510327410203361,0.5454545454545454,0.005578195565790645,0.25820220866699833,0.4
characteristics_retention_0.40,60–70%,6,0.6596445442804515,0.8333333333333334,-0.17368878905288188,0.15747477263900053,0.4
characteristics_retention_0.40,70–80%,19,0.7508723688687593,0.7368421052631579,0.014030263605601445,0.20040091918182026,0.4
characteristics_retention_0.40,80–90%,25,0.8529692679376875,1.0,-0.14703073206231254,0.022126741755337808,0.4
characteristics_retention_0.40,90–100%,148,0.984755968074749,1.0,-0.015244031925251034,0.0007143374362441616,0.4
characteristics_retention_1.00,0–10%,139,0.0213536832358635,0.0,0.0213536832358635,0.0010848274559461506,1.0
characteristics_retention_1.00,10–20%,25,0.13608313903949049,0.0,0.13608313903949049,0.01927532904230057,1.0
characteristics_retention_1.00,20–30%,13,0.23651655004073288,0.23076923076923078,0.005747319271502099,0.16927405990638192,1.0
characteristics_retention_1.00,30–40%,9,0.34319777185232436,0.2222222222222222,0.12097554963010215,0.17208544259070457,1.0
characteristics_retention_1.00,40–50%,8,0.4594777904164441,0.375,0.0844777904164441,0.22914874253066558,1.0
characteristics_retention_1.00,50–60%,9,0.5642012747470653,0.4444444444444444,0.11975683030262085,0.26886189289078016,1.0
characteristics_retention_1.00,60–70%,6,0.6635787429108609,0.8333333333333334,-0.16975459042247243,0.1726461146283291,1.0
characteristics_retention_1.00,70–80%,18,0.7516464565700955,0.7777777777777778,-0.026131321207682245,0.18420532424770314,1.0
characteristics_retention_1.00,80–90%,25,0.8518427759543405,1.0,-0.14815722404565945,0.022457843793379215,1.0
characteristics_retention_1.00,90–100%,148,0.9846077407232791,1.0,-0.015392259276720943,0.0007404773761566753,1.0
