retention_level,race_id,actual_dem_margin,actual_winner,layer_2_margin_dem,layer_3_margin_dem,layer_2_dem_probability,layer_3_dem_probability,probability_change_dem,margin_change_dem,layer_2_correct_winner,layer_3_correct_winner,winner_call_changed,characteristics_elasticity,district_elasticity
0.0,AK-AL,23.02150904745647,D,-10.236666666666666,-10.236666666666666,0.1715229875225847,0.1715229875225847,0.0,0.0,False,False,False,0.3965056715089177,1.0
0.0,AL-2,-39.93043862867597,R,-33.53666666666666,-33.53666666666666,0.00571183245296776,0.00571183245296776,0.0,0.0,True,True,False,0.4770623068582373,1.0
0.0,AL-3,-46.0820562377236,R,-38.23666666666667,-38.23666666666667,0.0027798790687584636,0.0027798790687584636,0.0,0.0,True,True,False,0.6034035092094013,1.0
0.0,AL-4,-70.48428215988106,R,-65.93666666666667,-65.93666666666667,3.9305666232363966e-05,3.9305666232363966e-05,0.0,0.0,True,True,False,0.708762250392704,1.0
0.0,AL-5,-37.53585440638291,R,-29.236666666666668,-29.236666666666668,0.011009254706089485,0.011009254706089485,0.0,0.0,True,True,False,0.5453669144897855,1.0
0.0,AL-7,28.780550685779108,D,31.863333333333333,31.863333333333333,0.9926234935225655,0.9926234935225655,0.0,0.0,True,True,False,0.2891130270354814,1.0
0.0,AR-1,-47.59564624805636,R,-45.03666666666667,-45.03666666666667,0.000978297516511402,0.000978297516511402,0.0,0.0,True,True,False,0.5518735487117757,1.0
0.0,AR-2,-24.787580240701818,R,-17.236666666666665,-17.236666666666665,0.06587846967669923,0.06587846967669923,0.0,0.0,True,True,False,0.6868946364407756,1.0
0.0,AR-3,-30.797717229905004,R,-27.536666666666665,-27.536666666666665,0.014253309972589012,0.014253309972589012,0.0,0.0,True,True,False,0.7825607055719241,1.0
0.0,AR-4,-44.81162550300883,R,-39.33666666666667,-39.33666666666667,0.002348107157972537,0.002348107157972537,0.0,0.0,True,True,False,0.7075675517804728,1.0
0.0,AZ-1,-0.8838736627779914,R,-2.636666666666667,-2.636666666666667,0.39995778053493664,0.39995778053493664,0.0,0.0,True,True,False,0.8480318473330027,1.0
0.0,AZ-2,-7.736026419621764,R,-10.036666666666667,-10.036666666666667,0.17593967390920134,0.17593967390920134,0.0,0.0,True,True,False,0.7205798340594606,1.0
0.0,AZ-3,53.96033287494507,D,50.46333333333333,50.46333333333333,0.999575252032159,0.999575252032159,0.0,0.0,True,True,False,0.7998671598213217,1.0
0.0,AZ-4,12.21101477223934,D,10.163333333333334,10.163333333333334,0.8268678545094663,0.8268678545094663,0.0,0.0,True,True,False,0.634288618028775,1.0
0.0,AZ-5,-19.34792748530738,R,-20.536666666666665,-20.536666666666665,0.040719080155047424,0.040719080155047424,0.0,0.0,True,True,False,0.7135474380148026,1.0
0.0,AZ-6,-1.4979257507522554,R,-2.036666666666667,-2.036666666666667,0.4223013192323213,0.4223013192323213,0.0,0.0,True,True,False,0.6066430840467436,1.0
0.0,AZ-7,29.088848270721225,D,32.66333333333333,32.66333333333333,0.9934721488014973,0.9934721488014973,0.0,0.0,True,True,False,0.9294623150962454,1.0
0.0,CA-1,-24.145801604223777,R,-23.236666666666668,-23.236666666666668,0.02725534960210124,0.02725534960210124,0.0,0.0,True,True,False,0.8878640468005744,1.0
0.0,CA-2,48.80695969865489,D,49.36333333333333,49.36333333333333,0.9994969706955539,0.9994969706955539,0.0,0.0,True,True,False,0.8410948999506004,1.0
0.0,CA-3,-7.296591651660709,R,-3.9366666666666674,-3.9366666666666674,0.3530541789580976,0.3530541789580976,0.0,0.0,True,True,False,0.8469691890216088,1.0
0.0,CA-4,35.603874177388875,D,36.46333333333333,36.46333333333333,0.9963513531608694,0.9963513531608694,0.0,0.0,True,True,False,0.9130710973098556,1.0
0.0,CA-5,-22.618803660389357,R,-16.436666666666667,-16.436666666666667,0.07386930720300176,0.07386930720300176,0.0,0.0,True,True,False,0.9637625155007622,1.0
0.0,CA-6,11.892339046967646,D,18.263333333333332,18.263333333333332,0.9432000839097112,0.9432000839097112,0.0,0.0,True,True,False,0.9510181015496044,1.0
0.0,CA-7,36.52147508962117,D,37.06333333333333,37.06333333333333,0.9966720035694643,0.9966720035694643,0.0,0.0,True,True,False,0.8897205216749975,1.0
0.0,CA-8,51.45704842948968,D,53.86333333333333,53.86333333333333,0.9997482108400529,0.9997482108400529,0.0,0.0,True,True,False,1.1059725573299952,1.0
0.0,CA-9,9.630733944954128,D,10.463333333333333,10.463333333333333,0.8333757841894551,0.8333757841894551,0.0,0.0,True,True,False,1.2826269896496327,1.0
0.0,CA-11,67.90375002375839,D,74.36333333333333,74.36333333333333,0.9999892491267212,0.9999892491267212,0.0,0.0,True,True,False,0.5766866002061284,1.0
0.0,CA-12,80.94837249811434,D,80.56333333333333,80.56333333333333,0.9999958581297306,0.9999958581297306,0.0,0.0,True,True,False,0.4413584150582895,1.0
0.0,CA-13,-0.4222947677378777,R,8.763333333333334,8.763333333333334,0.7938360337095196,0.7938360337095196,0.0,0.0,False,False,False,1.2988082344862568,1.0
0.0,CA-14,38.67703966462432,D,45.36333333333333,45.36333333333333,0.999069608584494,0.999069608584494,0.0,0.0,True,True,False,0.9551440530660136,1.0
0.0,CA-17,41.85949748409181,D,47.26333333333333,47.26333333333333,0.9993052628808938,0.9993052628808938,0.0,0.0,True,True,False,0.6361331305567821,1.0
0.0,CA-18,31.706190227901235,D,43.96333333333333,43.96333333333333,0.9988462573610801,0.9988462573610801,0.0,0.0,True,True,False,1.1871993984869955,1.0
0.0,CA-19,37.30118950972433,D,39.46333333333333,39.46333333333333,0.9976971035068742,0.9976971035068742,0.0,0.0,True,True,False,0.7726211578195487,1.0
0.0,CA-20,-34.492811903086356,R,-29.036666666666665,-29.036666666666665,0.011349362038349966,0.011349362038349966,0.0,0.0,True,True,False,1.1194344866525388,1.0
0.0,CA-21,8.357541365890153,D,20.163333333333334,20.163333333333334,0.9569772791759138,0.9569772791759138,0.0,0.0,True,True,False,1.2836294327903577,1.0
