retention_level,race_id,characteristics_elasticity_original,district_elasticity_used,layer_2_environment_component,layer_3_environment_component,layer_2_margin_dem,layer_3_margin_dem,layer_3_minus_layer_2_margin,scored
0.0,AK-AL,0.3965056715089177,1.0,-2.136666666666667,-2.136666666666667,-10.236666666666666,-10.236666666666666,0.0,True
0.0,AL-1,0.5592064101536939,1.0,-2.136666666666667,-2.136666666666667,-32.43666666666667,-32.43666666666667,0.0,False
0.0,AL-2,0.4770623068582373,1.0,-2.136666666666667,-2.136666666666667,-33.53666666666666,-33.53666666666666,0.0,True
0.0,AL-3,0.6034035092094013,1.0,-2.136666666666667,-2.136666666666667,-38.23666666666667,-38.23666666666667,0.0,True
0.0,AL-4,0.708762250392704,1.0,-2.136666666666667,-2.136666666666667,-65.93666666666667,-65.93666666666667,0.0,True
0.0,AL-5,0.5453669144897855,1.0,-2.136666666666667,-2.136666666666667,-29.236666666666668,-29.236666666666668,0.0,True
0.0,AL-6,0.5788495652895639,1.0,-2.136666666666667,-2.136666666666667,-34.03666666666667,-34.03666666666667,0.0,False
0.0,AL-7,0.2891130270354814,1.0,-2.136666666666667,-2.136666666666667,31.863333333333333,31.863333333333333,0.0,True
0.0,AR-1,0.5518735487117757,1.0,-2.136666666666667,-2.136666666666667,-45.03666666666667,-45.03666666666667,0.0,True
0.0,AR-2,0.6868946364407756,1.0,-2.136666666666667,-2.136666666666667,-17.236666666666665,-17.236666666666665,0.0,True
0.0,AR-3,0.7825607055719241,1.0,-2.136666666666667,-2.136666666666667,-27.536666666666665,-27.536666666666665,0.0,True
0.0,AR-4,0.7075675517804728,1.0,-2.136666666666667,-2.136666666666667,-39.33666666666667,-39.33666666666667,0.0,True
0.0,AZ-1,0.8480318473330027,1.0,-2.136666666666667,-2.136666666666667,-2.636666666666667,-2.636666666666667,0.0,True
0.0,AZ-2,0.7205798340594606,1.0,-2.136666666666667,-2.136666666666667,-10.036666666666667,-10.036666666666667,0.0,True
0.0,AZ-3,0.7998671598213217,1.0,-2.136666666666667,-2.136666666666667,50.46333333333333,50.46333333333333,0.0,True
0.0,AZ-4,0.634288618028775,1.0,-2.136666666666667,-2.136666666666667,10.163333333333334,10.163333333333334,0.0,True
0.0,AZ-5,0.7135474380148026,1.0,-2.136666666666667,-2.136666666666667,-20.536666666666665,-20.536666666666665,0.0,True
0.0,AZ-6,0.6066430840467436,1.0,-2.136666666666667,-2.136666666666667,-2.036666666666667,-2.036666666666667,0.0,True
0.0,AZ-7,0.9294623150962454,1.0,-2.136666666666667,-2.136666666666667,32.66333333333333,32.66333333333333,0.0,True
0.0,AZ-8,0.7256641270251922,1.0,-2.136666666666667,-2.136666666666667,-17.636666666666667,-17.636666666666667,0.0,False
0.0,AZ-9,0.5939003790371404,1.0,-2.136666666666667,-2.136666666666667,-29.936666666666667,-29.936666666666667,0.0,False
0.0,CA-1,0.8878640468005744,1.0,-2.136666666666667,-2.136666666666667,-23.236666666666668,-23.236666666666668,0.0,True
0.0,CA-2,0.8410948999506004,1.0,-2.136666666666667,-2.136666666666667,49.36333333333333,49.36333333333333,0.0,True
0.0,CA-3,0.8469691890216088,1.0,-2.136666666666667,-2.136666666666667,-3.9366666666666674,-3.9366666666666674,0.0,True
0.0,CA-4,0.9130710973098556,1.0,-2.136666666666667,-2.136666666666667,36.46333333333333,36.46333333333333,0.0,True
0.0,CA-5,0.9637625155007622,1.0,-2.136666666666667,-2.136666666666667,-16.436666666666667,-16.436666666666667,0.0,True
0.0,CA-6,0.9510181015496044,1.0,-2.136666666666667,-2.136666666666667,18.263333333333332,18.263333333333332,0.0,True
0.0,CA-7,0.8897205216749975,1.0,-2.136666666666667,-2.136666666666667,37.06333333333333,37.06333333333333,0.0,True
0.0,CA-8,1.1059725573299952,1.0,-2.136666666666667,-2.136666666666667,53.86333333333333,53.86333333333333,0.0,True
0.0,CA-9,1.2826269896496327,1.0,-2.136666666666667,-2.136666666666667,10.463333333333333,10.463333333333333,0.0,True
0.0,CA-10,0.9663119688971707,1.0,-2.136666666666667,-2.136666666666667,39.26333333333333,39.26333333333333,0.0,False
0.0,CA-11,0.5766866002061284,1.0,-2.136666666666667,-2.136666666666667,74.36333333333333,74.36333333333333,0.0,True
0.0,CA-12,0.4413584150582895,1.0,-2.136666666666667,-2.136666666666667,80.56333333333333,80.56333333333333,0.0,True
0.0,CA-13,1.2988082344862568,1.0,-2.136666666666667,-2.136666666666667,8.763333333333334,8.763333333333334,0.0,True
0.0,CA-14,0.9551440530660136,1.0,-2.136666666666667,-2.136666666666667,45.36333333333333,45.36333333333333,0.0,True
0.0,CA-15,0.7464807470452574,1.0,-2.136666666666667,-2.136666666666667,55.16333333333333,55.16333333333333,0.0,False
0.0,CA-16,0.9029181500495904,1.0,-2.136666666666667,-2.136666666666667,52.86333333333333,52.86333333333333,0.0,False
0.0,CA-17,0.6361331305567821,1.0,-2.136666666666667,-2.136666666666667,47.26333333333333,47.26333333333333,0.0,True
0.0,CA-18,1.1871993984869955,1.0,-2.136666666666667,-2.136666666666667,43.96333333333333,43.96333333333333,0.0,True
0.0,CA-19,0.7726211578195487,1.0,-2.136666666666667,-2.136666666666667,39.46333333333333,39.46333333333333,0.0,True
0.0,CA-20,1.1194344866525388,1.0,-2.136666666666667,-2.136666666666667,-29.036666666666665,-29.036666666666665,0.0,True
0.0,CA-21,1.2836294327903577,1.0,-2.136666666666667,-2.136666666666667,20.163333333333334,20.163333333333334,0.0,True
