incumbency_bonus,mean_absolute_error,median_absolute_error,rmse,winner_accuracy,brier_score,log_loss,mean_margin_error_dem_bias,predicted_dem_wins,expected_dem_wins,mae_rank,rmse_rank,brier_rank,combined_rank
0.0,5.157920780639213,4.278663815016486,6.78260844336601,0.9525,0.0400742898066627,0.1432460527423359,2.90223873597903,205,206.51423209891345,13,13,13,39
0.25,5.098888859866819,4.177321563304531,6.7187704551579115,0.9525,0.039314145388218,0.1408100325313028,2.9072387359790297,207,206.50956784030885,12,12,12,36
0.5,5.046372514543708,4.091363037783628,6.661876654681156,0.9525,0.0385811971413978,0.1384433409585611,2.9122387359790305,207,206.5055904345664,11,11,11,33
0.75,5.0017131335619744,3.926116388191459,6.612106297940826,0.9525,0.0378748257415667,0.1361447535412685,2.9172387359790304,207,206.5022511235323,10,10,10,30
1.0,4.963650765102539,3.880140885613134,6.569621285002026,0.9525,0.0371944128908543,0.1339130548676571,2.9222387359790303,207,206.49950258902444,9,9,9,27
1.25,4.930898076594177,3.728691091468341,6.534563716227322,0.9525,0.0365393420421889,0.1317470389467716,2.92723873597903,207,206.49729901327575,7,8,8,23
1.5,4.904346821144045,3.631052987217921,6.50705364158907,0.9525,0.0359089990842099,0.1296455095395803,2.9322387359790296,207,206.49559613206935,5,7,7,19
1.75,4.892585827376413,3.5293636077733925,6.487187081285733,0.9575,0.035302772987135,0.1276072804716521,2.93723873597903,209,206.49435128064397,3,5,6,14
2.0,4.889977875468015,3.5144323278454603,6.475034390695038,0.9575,0.0347200564099593,0.1256311759276505,2.94223873597903,209,206.49352343247423,1,3,5,9
2.25,4.891927579128726,3.6381862585733415,6.470639032875069,0.9575,0.0341602462696213,0.123716030727955,2.9472387359790297,209,206.4930732310554,2,1,4,7
2.5,4.9004703835458505,3.80770143241806,6.474016807736087,0.9575,0.0336227442729925,0.1218606905877647,2.9522387359790296,209,206.4929630148441,4,2,3,9
2.75,4.912980735471412,3.7600990115649617,6.485155569447219,0.9575,0.0331069574127319,0.1200640123590883,2.95723873597903,209,206.4931568355298,6,4,2,12
3.0,4.93353941453935,3.830679182684376,6.50401544378665,0.9575,0.0326122984281879,0.118324864256061,2.96223873597903,209,206.49362046983,8,6,1,15
