probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,96,0.033222228363325584,0.0,0.033222228363325584,0.001881647403351992
10–20%,0.1,0.2,29,0.14987595757879954,0.0,0.14987595757879954,0.023165977127585828
20–30%,0.2,0.30000000000000004,18,0.24073143660998422,0.05555555555555555,0.18517588105442867,0.08820743751410584
30–40%,0.30000000000000004,0.4,14,0.3305035035622522,0.0,0.3305035035622522,0.10959541137309801
40–50%,0.4,0.5,16,0.4570507117009919,0.125,0.3320507117009919,0.21814165762270785
50–60%,0.5,0.6000000000000001,11,0.5462948985852352,0.0,0.5462948985852352,0.2994197412640506
60–70%,0.6000000000000001,0.7000000000000001,9,0.6497395445117079,0.6666666666666666,-0.01692712215495873,0.2201893391144289
70–80%,0.7000000000000001,0.8,12,0.7379862861332879,0.4166666666666667,0.3213196194666212,0.3465758019101859
80–90%,0.8,0.9,15,0.8627079776838205,0.8,0.06270797768382042,0.15496216804159432
90–100%,0.9,1.0,125,0.98089417253299,0.984,-0.003105827467009936,0.014667960100703783
