cycle,all_races,scored_major_party_races,winner_accuracy,mean_abs_margin_error,median_abs_margin_error,rmse_margin_error,mean_margin_error_dem_bias,brier_score,log_loss,actual_dem_seats,predicted_dem_seats,expected_dem_seats,predicted_seat_error,expected_seat_error
2016,435,345,0.92173913043478262,9.8780560795075356,7.7428594329999916,12.465321642628981,6.1975760193214491,0.060409892841582401,0.20113859969678169,194,231,229.87190220765385,37,35.871902207653818
2018,435,393,0.95419847328244278,5.9103825139954198,4.9301615570000017,7.5949506313283406,2.3657289667969463,0.049578123273511097,0.17570733146770101,238,236,246.82180610191381,-2,8.8218061019138077
2020,435,407,0.95085995085995079,6.7703190478501503,5.7970172270000013,8.5872212761023565,5.5856666019975698,0.047906285504796003,0.17426109375736301,222,229,238.82188894197745,7,16.82188894197742
2022,435,400,0.95499999999999996,5.1317849235392785,4.1468359900000014,6.7453121251869383,2.8907517122268551,0.039618652246864103,0.14217385398743659,215,218,219.04588170736943,3,4.045881707369432
