probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,108,0.026411649375417443,0.018518518518518517,0.007893130856898925,0.018099639037781935
10–20%,0.1,0.2,27,0.14983484846718986,0.0,0.14983484846718986,0.02334198629019974
20–30%,0.2,0.30000000000000004,24,0.24667428881355802,0.125,0.12167428881355802,0.11825110131569117
30–40%,0.30000000000000004,0.4,18,0.3546606621877173,0.16666666666666666,0.18799399552105064,0.16921475101124683
40–50%,0.4,0.5,16,0.4307277929874237,0.125,0.3057277929874237,0.20689128831161374
50–60%,0.5,0.6000000000000001,11,0.5380956524715175,0.45454545454545453,0.08355019792606294,0.25664673382233666
60–70%,0.6000000000000001,0.7000000000000001,10,0.6434135272313574,0.9,-0.25658647276864266,0.16684167439902306
70–80%,0.7000000000000001,0.8,14,0.7442857195913134,0.9285714285714286,-0.1842857089801152,0.09573226294139903
80–90%,0.8,0.9,20,0.8487653340412878,0.9,-0.05123466595871218,0.08930944555359456
90–100%,0.9,1.0,145,0.9841639549563944,1.0,-0.015836045043605584,0.0008162414932546156
