probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,109,0.02717722410784165,0.01834862385321101,0.008828600254630638,0.01787216699066013
10–20%,0.1,0.2,26,0.15048838647992757,0.0,0.15048838647992757,0.023544378223112547
20–30%,0.2,0.30000000000000004,23,0.2459382519295203,0.13043478260869565,0.11550346932082464,0.11898721559650452
30–40%,0.30000000000000004,0.4,21,0.35492422186800493,0.19047619047619047,0.16444803139181446,0.17413052135880142
40–50%,0.4,0.5,15,0.43357978419673415,0.06666666666666667,0.3669131175300675,0.1982739254217452
50–60%,0.5,0.6000000000000001,9,0.537807465247854,0.5555555555555556,-0.017748090307701525,0.24896797889073496
60–70%,0.6000000000000001,0.7000000000000001,10,0.6344393545745183,0.8,-0.16556064542548177,0.201262146073861
70–80%,0.7000000000000001,0.8,13,0.7421763997656524,0.9230769230769231,-0.1809005233112707,0.09833317877625226
80–90%,0.8,0.9,22,0.8464555243656341,0.9090909090909091,-0.06263538472527497,0.08396601004565228
90–100%,0.9,1.0,145,0.9843363608756716,1.0,-0.015663639124328443,0.0007935823566736105
