national_variance_share,district_variance_share,implied_pairwise_correlation,marginal_total_error_sd,national_error_sd,district_error_sd,expected_dem_seats,median_dem_seats,simulation_dem_seat_sd,dem_seats_p05,dem_seats_p10,dem_seats_p25,dem_seats_p50,dem_seats_p75,dem_seats_p90,dem_seats_p95,dem_control_probability,actual_dem_seats,actual_dem_control,predicted_dem_control,correct_control_call,probability_assigned_to_actual_control,chamber_brier_score,chamber_log_loss,expected_seat_error,absolute_expected_seat_error,squared_expected_seat_error,actual_in_50_interval,actual_in_80_interval,actual_in_90_interval,cycle,forecast_source,n_sims,seed
0.0,1.0,0.0,7.994627101997941,0.0,7.994627101997941,228.20164,228.0,5.126277801450188,220.0,222.0,225.0,228.0,232.0,235.0,237.0,0.98228,194,0,1,0,0.017719999999999958,0.9648739984000001,4.033061333805205,34.20164,34.20164,1169.7521786895998,0,0,0,2016,calculated_from_components,100000,20262736
0.0,1.0,0.0,7.994627101997941,0.0,7.994627101997941,244.54077,245.0,4.776279507687899,237.0,238.0,241.0,245.0,248.0,251.0,252.0,1.0,238,1,1,1,1.0,0.0,9.992007221626415e-16,6.540770000000009,6.540770000000009,42.78167219290012,0,1,1,2018,calculated_from_components,100000,20262738
0.0,1.0,0.0,7.994627101997941,0.0,7.994627101997941,235.86863,236.0,4.583983208097573,228.0,230.0,233.0,236.0,239.0,242.0,243.0,0.99998,222,1,1,1,0.99998,4.0000000000080005e-10,2.000020000268671e-05,13.868629999999996,13.868629999999996,192.33889807689988,0,0,0,2020,calculated_from_components,100000,20262740
0.0,1.0,0.0,7.994627101997941,0.0,7.994627101997941,218.20673,218.0,4.23817323008667,211.0,213.0,215.0,218.0,221.0,224.0,225.0,0.5657,215,0,1,0,0.4343,0.32001649,0.8340197394413608,3.206729999999993,3.206729999999993,10.283117292899956,1,1,1,2022,calculated_from_components,100000,20262742
0.1,0.9,0.1,7.994627101997941,2.528123068602476,7.584369205807428,228.22496,228.0,15.344919278506374,203.0,209.0,218.0,228.0,239.0,248.0,254.0,0.75282,194,0,1,0,0.24717999999999996,0.5667379524,1.3976384628205478,34.22496000000001,34.22496000000001,1171.3478870016006,0,0,0,2016,calculated_from_components,100000,20262736
0.1,0.9,0.1,7.994627101997941,2.528123068602476,7.584369205807428,244.47786,244.0,13.501706291470267,223.0,227.0,235.0,244.0,253.0,262.0,267.0,0.98209,238,1,1,1,0.98209,0.00032076809999999936,0.018072325132746786,6.477859999999993,6.477859999999993,41.962670179599904,1,1,1,2018,calculated_from_components,100000,20262738
0.1,0.9,0.1,7.994627101997941,2.528123068602476,7.584369205807428,235.87335,236.0,12.63414207585778,216.0,220.0,227.0,236.0,244.0,252.0,257.0,0.93213,222,1,1,1,0.93213,0.004606336899999998,0.07028298904513018,13.873349999999988,13.873349999999988,192.46984022249967,0,1,1,2020,calculated_from_components,100000,20262740
0.1,0.9,0.1,7.994627101997941,2.528123068602476,7.584369205807428,218.16871,218.0,11.15074214240484,200.0,204.0,211.0,218.0,226.0,232.0,236.0,0.52398,215,0,1,0,0.47602,0.2745550404,0.7422954088266757,3.1687100000000044,3.1687100000000044,10.040723064100028,1,1,1,2022,calculated_from_components,100000,20262742
0.2,0.8,0.2,7.994627101997941,3.575305930965908,7.150611861931816,228.24048,228.0,21.098836484000955,194.0,201.0,213.0,228.0,243.0,256.0,264.0,0.68462,194,0,1,0,0.31538,0.46870454440000003,1.1539770180046962,34.24047999999999,34.24047999999999,1172.4104706303995,0,0,1,2016,calculated_from_components,100000,20262736
0.2,0.8,0.2,7.994627101997941,3.575305930965908,7.150611861931816,244.45669,244.0,18.51066424229036,215.0,221.0,231.0,244.0,257.0,269.0,276.0,0.9348,238,1,1,1,0.9348,0.0042510400000000045,0.0674226763174342,6.456690000000009,6.456690000000009,41.688845756100115,1,1,1,2018,calculated_from_components,100000,20262738
