national_variance_share,district_variance_share,implied_pairwise_correlation,marginal_total_error_sd,national_error_sd,district_error_sd,expected_dem_seats,median_dem_seats,simulation_dem_seat_sd,dem_seats_p05,dem_seats_p10,dem_seats_p25,dem_seats_p50,dem_seats_p75,dem_seats_p90,dem_seats_p95,dem_control_probability,actual_dem_seats,actual_dem_control,predicted_dem_control,correct_control_call,probability_assigned_to_actual_control,chamber_brier_score,chamber_log_loss,expected_seat_error,absolute_expected_seat_error,squared_expected_seat_error,actual_in_50_interval,actual_in_80_interval,actual_in_90_interval,cycle,forecast_source,n_sims,seed
0.2,0.8,0.2,7.994627101997941,3.575305930965908,7.150611861931816,235.88535,235.0,17.26719800485213,209.0,214.0,224.0,235.0,247.0,259.0,266.0,0.85827,222,1,1,1,0.85827,0.020087392900000008,0.15283654368252814,13.885349999999988,13.885349999999988,192.80294462249967,0,1,1,2020,calculated_from_components,100000,20262740
0.2,0.8,0.2,7.994627101997941,3.575305930965908,7.150611861931816,218.15916,218.0,15.190667386858175,193.0,199.0,208.0,218.0,228.0,237.0,243.0,0.51801,215,0,1,0,0.48199000000000003,0.26833436009999995,0.7298319120347232,3.159160000000014,3.159160000000014,9.98029190560009,1,1,1,2022,calculated_from_components,100000,20262742
0.3,0.7,0.3,7.994627101997941,4.378837602606427,6.688784923287637,228.24841,228.0,25.576333669240782,187.0,195.0,210.0,228.0,246.0,262.0,271.0,0.64894,194,0,1,0,0.35106000000000004,0.4211231235999999,1.0467981299539373,34.24841000000001,34.24841000000001,1172.9535875281006,0,0,1,2016,calculated_from_components,100000,20262736
0.3,0.7,0.3,7.994627101997941,4.378837602606427,6.688784923287637,244.43905,243.0,22.42222051129697,210.0,217.0,228.0,243.0,259.0,274.0,283.0,0.89025,238,1,1,1,0.89025,0.012045062500000004,0.11625295682424996,6.439050000000009,6.439050000000009,41.461364902500115,1,1,1,2018,calculated_from_components,100000,20262738
0.3,0.7,0.3,7.994627101997941,4.378837602606427,6.688784923287637,235.89927,235.0,20.905811010253586,204.0,210.0,221.0,235.0,249.0,264.0,272.0,0.80625,222,1,1,1,0.80625,0.03753906249999999,0.21536141087215477,13.899270000000001,13.899270000000001,193.18970653290003,1,1,1,2020,calculated_from_components,100000,20262740
0.3,0.7,0.3,7.994627101997941,4.378837602606427,6.688784923287637,218.13883,218.0,18.341326567991278,188.0,195.0,206.0,218.0,230.0,241.0,248.0,0.51696,215,0,1,0,0.48304,0.2672476416,0.7276558130236084,3.138830000000013,3.138830000000013,9.85225376890008,1,1,1,2022,calculated_from_components,100000,20262742
0.4,0.6,0.4,7.994627101997941,5.056246137204952,6.192611525035298,228.24711,227.0,29.389625791236973,182.0,190.0,207.0,227.0,249.0,267.0,278.0,0.62569,194,0,1,0,0.37431000000000003,0.39148797609999997,0.9826709478910973,34.24710999999999,34.24710999999999,1172.8645433520994,0,1,1,2016,calculated_from_components,100000,20262736
0.4,0.6,0.4,7.994627101997941,5.056246137204952,6.192611525035298,244.42136,243.0,25.76579233229487,205.0,213.0,226.0,243.0,261.0,279.0,290.0,0.85325,238,1,1,1,0.85325,0.021535562500000015,0.15870269119532068,6.421359999999993,6.421359999999993,41.23386424959991,1,1,1,2018,calculated_from_components,100000,20262738
0.4,0.6,0.4,7.994627101997941,5.056246137204952,6.192611525035298,235.903,234.0,24.006061607642746,200.0,207.0,219.0,234.0,251.0,268.0,278.0,0.76927,222,1,1,1,0.76927,0.053236332899999995,0.26231326576794683,13.902999999999992,13.902999999999992,193.29340899999977,1,1,1,2020,calculated_from_components,100000,20262740
0.4,0.6,0.4,7.994627101997941,5.056246137204952,6.192611525035298,218.1361,218.0,21.033648302983707,183.0,191.0,204.0,218.0,232.0,245.0,252.0,0.51651,215,0,1,0,0.48349,0.2667825801,0.7267246468259423,3.136099999999999,3.136099999999999,9.835123209999994,1,1,1,2022,calculated_from_components,100000,20262742
0.5,0.5,0.5,7.994627101997941,5.6530550368805015,5.6530550368805015,228.25721,227.0,32.76373860904119,177.0,186.0,204.0,227.0,251.0,272.0,284.0,0.60897,194,0,1,0,0.39103,0.3708444609,0.9389709955973756,34.257209999999986,34.257209999999986,1173.556436984099,0,1,1,2016,calculated_from_components,100000,20262736
0.5,0.5,0.5,7.994627101997941,5.6530550368805015,5.6530550368805015,244.41049,242.0,28.730701044209223,201.0,209.0,224.0,242.0,263.0,284.0,295.0,0.82269,238,1,1,1,0.82269,0.031438836099999985,0.19517581998019026,6.41049000000001,6.41049000000001,41.09438204010013,1,1,1,2018,calculated_from_components,100000,20262738
0.5,0.5,0.5,7.994627101997941,5.6530550368805015,5.6530550368805015,235.91411,234.0,26.75319626218524,196.0,203.0,217.0,234.0,253.0,272.0,284.0,0.74091,222,1,1,1,0.74091,0.06712762810000002,0.29987611855248697,13.914109999999994,13.914109999999994,193.60245709209983,1,1,1,2020,calculated_from_components,100000,20262740
0.5,0.5,0.5,7.994627101997941,5.6530550368805015,5.6530550368805015,218.13036,218.0,23.413358753585126,179.0,188.0,203.0,218.0,233.0,247.0,256.0,0.51774,215,0,1,0,0.48226,0.2680547076,0.7292718912785779,3.130359999999996,3.130359999999996,9.799153729599976,1,1,1,2022,calculated_from_components,100000,20262742
0.6,0.4,0.6,7.994627101997941,6.192611525035298,5.056246137204952,228.26336,227.0,35.836863762311054,173.0,182.0,201.0,227.0,254.0,276.0,289.0,0.59607,194,0,1,0,0.40393,0.3552994449,0.9065136833602371,34.263360000000006,34.263360000000006,1173.9778384896003,0,1,1,2016,calculated_from_components,100000,20262736
0.6,0.4,0.6,7.994627101997941,6.192611525035298,5.056246137204952,244.39377,241.0,31.437828464410284,197.0,206.0,222.0,241.0,265.0,288.0,301.0,0.7953,238,1,1,1,0.7953,0.041902089999999996,0.22903587701904748,6.393769999999989,6.393769999999989,40.88029481289986,1,1,1,2018,calculated_from_components,100000,20262738
0.6,0.4,0.6,7.994627101997941,6.192611525035298,5.056246137204952,235.92126,233.0,29.261126467510124,193.0,201.0,215.0,233.0,254.0,276.0,289.0,0.71828,222,1,1,1,0.71828,0.07936615839999998,0.3308958138084399,13.92125999999999,13.92125999999999,193.80147998759972,1,1,1,2020,calculated_from_components,100000,20262740
0.6,0.4,0.6,7.994627101997941,6.192611525035298,5.056246137204952,218.12839,219.0,25.58092081694868,175.0,185.0,202.0,219.0,234.0,250.0,260.0,0.51945,215,0,1,0,0.48055000000000003,0.26982830249999995,0.7328239977128437,3.128389999999996,3.128389999999996,9.786823992099976,1,1,1,2022,calculated_from_components,100000,20262742
0.7,0.30000000000000004,0.7,7.994627101997941,6.688784923287637,4.378837602606428,228.27186,227.0,38.67869817557625,169.0,178.0,198.0,227.0,256.0,280.0,293.0,0.58574,194,0,1,0,0.41425999999999996,0.34309134760000004,0.8812614829547603,34.271860000000004,34.271860000000004,1174.5603878596003,0,1,1,2016,calculated_from_components,100000,20262736
0.7,0.30000000000000004,0.7,7.994627101997941,6.688784923287637,4.378837602606428,244.39203,241.0,33.93405218476091,194.0,203.0,220.0,241.0,267.0,292.0,306.0,0.77354,238,1,1,1,0.77354,0.0512841316,0.2567778973131975,6.392030000000005,6.392030000000005,40.85804752090007,1,1,1,2018,calculated_from_components,100000,20262738
0.7,0.30000000000000004,0.7,7.994627101997941,6.688784923287637,4.378837602606428,235.92127,233.0,31.570456419321612,190.0,198.0,213.0,233.0,256.0,279.0,293.0,0.6999,222,1,1,1,0.6999,0.09006001000000002,0.35681781128664314,13.921269999999993,13.921269999999993,193.8017584128998,1,1,1,2020,calculated_from_components,100000,20262740
0.7,0.30000000000000004,0.7,7.994627101997941,6.688784923287637,4.378837602606428,218.12299,219.0,27.581630316629386,171.0,182.0,201.0,219.0,235.0,252.0,263.0,0.52163,215,0,1,0,0.47836999999999996,0.27209785690000005,0.7373707873421089,3.1229899999999873,3.1229899999999873,9.75306654009992,1,1,1,2022,calculated_from_components,100000,20262742
0.8,0.19999999999999996,0.8,7.994627101997941,7.150611861931816,3.5753059309659077,228.28011,228.0,41.35688808783638,167.0,175.0,194.0,228.0,258.0,283.0,297.0,0.57828,194,0,1,0,0.42172,0.33440775840000003,0.8634136922733882,34.28011000000001,34.28011000000001,1175.1259416121006,1,1,1,2016,calculated_from_components,100000,20262736
0.8,0.19999999999999996,0.8,7.994627101997941,7.150611861931816,3.5753059309659077,244.38304,240.0,36.26495266543606,192.0,201.0,218.0,240.0,268.0,296.0,310.0,0.75515,238,1,1,1,0.75515,0.05995152250000001,0.28083887396978646,6.383039999999994,6.383039999999994,40.74319964159992,1,1,1,2018,calculated_from_components,100000,20262738
0.8,0.19999999999999996,0.8,7.994627101997941,7.150611861931816,3.5753059309659077,235.92206,232.0,33.73843102714888,187.0,196.0,212.0,232.0,257.0,283.0,298.0,0.68492,222,1,1,1,0.68492,0.09927540640000002,0.3784532358613667,13.922059999999988,13.922059999999988,193.82375464359967,1,1,1,2020,calculated_from_components,100000,20262740
0.8,0.19999999999999996,0.8,7.994627101997941,7.150611861931816,3.5753059309659077,218.12079,219.0,29.447405170449443,167.0,180.0,200.0,219.0,236.0,254.0,267.0,0.52416,215,0,1,0,0.47584000000000004,0.27474370559999994,0.7426736157103467,3.1207899999999995,3.1207899999999995,9.739330224099996,1,1,1,2022,calculated_from_components,100000,20262742
0.9,0.09999999999999998,0.9,7.994627101997941,7.584369205807428,2.5281230686024756,228.30899,229.0,43.91507737121847,165.0,173.0,190.0,229.0,260.0,286.0,302.0,0.57314,194,0,1,0,0.42686,0.3284894596,0.851299188366715,34.308989999999994,34.308989999999994,1177.1067948200996,1,1,1,2016,calculated_from_components,100000,20262736
0.9,0.09999999999999998,0.9,7.994627101997941,7.584369205807428,2.5281230686024756,244.37501,238.0,38.47859591413563,189.0,199.0,217.0,238.0,270.0,300.0,315.0,0.73989,238,1,1,1,0.73989,0.06765721209999997,0.3012537524818756,6.375010000000003,6.375010000000003,40.64075250010004,1,1,1,2018,calculated_from_components,100000,20262738
0.9,0.09999999999999998,0.9,7.994627101997941,7.584369205807428,2.5281230686024756,235.92059,231.0,35.78941649252232,184.0,194.0,211.0,231.0,258.0,287.0,303.0,0.67268,222,1,1,1,0.67268,0.10713838240000004,0.39648554532758795,13.920590000000004,13.920590000000004,193.7828259481001,1,1,1,2020,calculated_from_components,100000,20262740
0.9,0.09999999999999998,0.9,7.994627101997941,7.584369205807428,2.5281230686024756,218.11675,219.0,31.218558990154467,164.0,177.0,200.0,219.0,236.0,256.0,270.0,0.5282,215,0,1,0,0.4718,0.27899524,0.7512001120085624,3.116749999999996,3.116749999999996,9.714130562499976,1,1,1,2022,calculated_from_components,100000,20262742
