probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,133,0.023422317939045357,0.0,0.023422317939045357,0.0012112047871745428
10–20%,0.1,0.2,27,0.14539945094776788,0.037037037037037035,0.10836241391073084,0.04906913559916801
20–30%,0.2,0.30000000000000004,14,0.24321322650389926,0.14285714285714285,0.10035608364675641,0.13251990220621232
30–40%,0.30000000000000004,0.4,10,0.33896991599746296,0.2,0.13896991599746294,0.1894840664690713
40–50%,0.4,0.5,11,0.4524478604515099,0.36363636363636365,0.08881149681514627,0.2319120822835852
50–60%,0.5,0.6000000000000001,6,0.5772807622196905,0.5,0.07728076221969049,0.26420133794229256
60–70%,0.6000000000000001,0.7000000000000001,12,0.6649537688489725,0.8333333333333334,-0.16837956448436087,0.16366324009927583
70–80%,0.7000000000000001,0.8,19,0.7530343619642927,0.8421052631578947,-0.08907090119360195,0.14097559142113975
80–90%,0.8,0.9,23,0.8496159882258094,0.9130434782608695,-0.0634274900350601,0.08158538339357377
90–100%,0.9,1.0,145,0.9821359823037153,1.0,-0.01786401769628465,0.0009547576562491041
