probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,131,0.022307717764867733,0.0,0.022307717764867733,0.0010880686328066914
10–20%,0.1,0.2,27,0.1402779280689279,0.037037037037037035,0.10324089103189085,0.04757056971281005
20–30%,0.2,0.30000000000000004,16,0.2390484320447356,0.125,0.11404843204473561,0.1205474102839496
30–40%,0.30000000000000004,0.4,11,0.3497199969287978,0.18181818181818182,0.16790181511061597,0.1767800002948999
40–50%,0.4,0.5,9,0.4507086695570624,0.3333333333333333,0.11737533622372909,0.2369838242749292
50–60%,0.5,0.6000000000000001,7,0.5617118896183497,0.5714285714285714,-0.009716681810221672,0.2408369815615519
60–70%,0.6000000000000001,0.7000000000000001,12,0.6639369874474935,0.8333333333333334,-0.16939634588583985,0.16227732013934154
70–80%,0.7000000000000001,0.8,21,0.7566390793835602,0.8095238095238095,-0.0528847301402493,0.15959266336208466
80–90%,0.8,0.9,21,0.854177457803432,0.9523809523809523,-0.09820349457752031,0.053257161498938436
90–100%,0.9,1.0,145,0.9821873470780644,1.0,-0.017812652921935568,0.0009525009333061471
