cycle,tail_definition,race_count,wrong_winner_count,mean_raw_log_loss,total_raw_log_loss,total_add_half_log_loss,log_loss_reduction_add_half
2016,exact_zero,94,0,9.992007221626413e-16,9.392486788328828e-14,0.04696477739465723,-0.046964777394563305
2016,exact_one,88,0,9.992007221626413e-16,8.792966355031244e-14,0.043967025646062106,-0.04396702564597418
2016,below_0_001,103,0,4.3700246361496224e-05,0.004501125375234111,0.05146140501754994,-0.04696027964231583
2016,above_0_999,93,0,2.6888443102141334e-05,0.002500625208499144,0.04646515210322471,-0.04396452689472556
2016,below_0_01,129,0,0.0008081355021582255,0.10424947977841108,0.16364942752546324,-0.05939994774705218
2016,above_0_99,105,0,0.00045826162956622707,0.04811747110445384,0.09955701915739207,-0.051439548052938225
2016,below_0_05,152,1,0.027614774615168633,4.197445741505632,4.229316405272803,-0.03187066376717153
2016,above_0_95,126,2,0.05602296304583116,7.058893343774726,7.0787904164821835,-0.019897072707457917
2018,exact_zero,98,2,0.7048729876512393,69.07755278982145,15.251767947727853,53.8257848420936
2018,exact_one,112,0,9.992007221626413e-16,1.1191048088221582e-13,0.05595803264044268,-0.05595803264033077
2018,below_0_001,108,2,0.6396532781503544,69.08255404023828,15.256764200642179,53.8257898395961
2018,above_0_999,117,0,2.1372865030112178e-05,0.002500625208523125,0.058456159097605286,-0.05595553388908216
2018,below_0_01,129,2,0.5361924586177402,69.16882716168848,15.35348343731826,53.81534372437023
2018,above_0_99,134,0,0.00035517146069757595,0.04759297573347518,0.11502507140107876,-0.06743209566760358
2018,below_0_05,160,4,0.47945906445847497,76.71345031335599,22.889087736146646,53.82436257720935
2018,above_0_95,148,0,0.0030148703300735477,0.4462008088508851,0.5214645851471058,-0.07526377629622086
2020,exact_zero,95,0,9.992007221626413e-16,9.492406860545092e-14,0.04746440268608975,-0.047464402685994826
2020,exact_one,129,1,0.26774865110341867,34.53957599234101,7.665853997178451,26.87372199516255
2020,below_0_001,104,0,4.328005168495298e-05,0.00450112537523511,0.05196103030898249,-0.04745990493374738
2020,above_0_999,138,2,0.3053947786392511,42.14447945221665,15.271752959385001,26.872726492831656
2020,below_0_01,128,0,0.0007912404669025716,0.10127877976352917,0.16420221952156094,-0.06292343975803177
2020,above_0_99,155,3,0.30964969967300027,47.99570344931504,20.978800967173758,27.016902482141283
2020,below_0_05,156,0,0.004876114769926346,0.76067390410851,0.8377841737037872,-0.07711026959527728
2020,above_0_95,170,4,0.3080774076157706,52.37315929468101,25.30800280427289,27.065156490408125
2022,exact_zero,121,0,9.992007221626413e-16,1.209032873816796e-13,0.060454660263335395,-0.06045466026321449
2022,exact_one,112,0,9.992007221626413e-16,1.1191048088221582e-13,0.05595803264044268,-0.05595803264033077
2022,below_0_001,129,0,3.101550646185152e-05,0.004001000333578846,0.06445166259479558,-0.060450662261216745
2022,above_0_999,117,0,2.1372865030112178e-05,0.002500625208523125,0.058456159097605286,-0.055955533889082164
2022,below_0_01,154,1,0.031525360795781596,4.854905562550366,4.927306066608937,-0.07240050405857087
2022,above_0_99,136,0,0.0007598805539162361,0.10334375533260812,0.16824856113800835,-0.06490480580540023
2022,below_0_05,170,1,0.03083000461730199,5.241100784941338,5.3238541513369535,-0.08275336639561594
2022,above_0_95,150,0,0.003037490632886353,0.45562359493295296,0.526844088744394,-0.07122049381144091
