cycle,rows,unique_races,scored_races,missing_model_margin,missing_presidential_baseline,summary_sha256,results_sha256,calibration_sha256,readiness_sha256
2016,435,435,345,0,27,6267078fd36c0789ce1ea3e82ff7e081e7fe1f73298cb8f44fea45b346f5819d,12878d1ee0b3f323869feb76971ddd8390f1693b76b16143eb45dc1bff47fa0c,a40524d4f1e2741510dff9d7495ab30ec95d7288b19f2bf2beac3931750bd104,8c0fce9111309f97d87da1b56b10164609cddfbf2f072d27b5e609d9450e92e3
2018,435,435,393,0,0,33d4cf477f2deb6036ae7ad8e398d8a538011527fb50ae8a32b91d8f2affb318,2b262a43c9957e4f81eab6f01d14703b9f30f96fe0367ed392aa6506d89cccfb,f6201ebd9f30a27bc8b7abb310f4c5ef57440565892ff7f85ec848b5dd5afef7,d649ff73859ed4783b6f7a1a0f5721932ba7e35fd988cc67e26088289578560d
2020,435,435,407,0,0,7dacc6d7ea35e1f3c4d5b5c4e143f4ab6f8926ce9bd19690601f1d98a250e210,453218e61ce87cf8320146d16fe45e0d336e1587f5265b5ef881118d4732700d,f68cca1362a05227e1f7201e5cdc7d29700e8115518337108a6abbe78049b877,744c489945514b9f801d27a8ccf0237b7010a5bd455064d8f9ed7f1ac8ab4f60
2022,435,435,400,0,0,75cc93d07f88e68ff72458e0b38d6c665e94e3cb2b9c09fb9505d3557d6a41e6,e96b068776bc4141a8052ea78d2347ad903b3fadb5a38851cfa49f06d53f5f9e,711aa2ddc7f65ac21ff8ac85c42b16a042b2741f1b8ae540fed47ceb67f78190,1db401d88f154c55717afb552c30b48cb9f28060aa83d91ee625be16baa27a93
