holdout_cycle,selection_metric,selected_multiplier,heldout_mae,heldout_rmse,heldout_brier,heldout_winner_accuracy,heldout_margin_bias_dem
2016,mae,0.72,8.762841180322608,10.941602168710943,0.0423581118679287,0.936231884057971,0.8361361645823193
2016,rmse,0.73,8.762982049887826,10.942016151007891,0.0423655397285891,0.936231884057971,0.8415361645823182
2016,brier,1.04,8.767870197713913,10.95616203407104,0.0426067141780114,0.9391304347826088,1.0089361645823178
2016,bias,0.5,8.760403463453043,10.933165392768704,0.0422002496071422,0.9391304347826088,0.7173361645823186
2018,mae,0.5,6.166515454196438,8.325531348620894,0.0554824461641016,0.9236641221374046,-3.9873891944473288
2018,rmse,0.5,6.166515454196438,8.325531348620894,0.0554824461641016,0.9236641221374046,-3.9873891944473288
2018,brier,0.82,5.47741395802341,7.547740318271233,0.0495922396401771,0.931297709923664,-1.884989194447329
2018,bias,0.5,6.166515454196438,8.325531348620894,0.0554824461641016,0.9236641221374046,-3.9873891944473288
2020,mae,0.98,5.864500571518106,7.670066179908468,0.0450718488719845,0.9484029484029484,3.8720676363194366
2020,rmse,1.05,6.078899879994131,7.895000273272583,0.0452671221195382,0.9484029484029484,4.300467636319437
2020,brier,1.05,6.078899879994131,7.895000273272583,0.0452671221195382,0.9484029484029484,4.300467636319437
2020,bias,1.05,6.078899879994131,7.895000273272583,0.0452671221195382,0.9484029484029484,4.300467636319437
2022,mae,0.72,4.60657119389325,6.135773016399159,0.0414025983567371,0.9525,-0.2586945973737494
2022,rmse,0.73,4.60710984566825,6.136237850024664,0.0414223765826632,0.9525,-0.2694945973737499
2022,brier,1.05,4.63217911611825,6.161098033449886,0.0420975550074786,0.9525,-0.6150945973737498
2022,bias,0.5,4.59827288572225,6.130353382644433,0.0409877439362226,0.9525,-0.0210945973737491
