cycle,districts,mean_actual_margin_dem,mean_baseline_margin_dem,baseline_mean_error_dem,baseline_mae,baseline_rmse,actual_dem_district_wins,baseline_dem_district_wins,baseline_win_count_error,mean_actual_residual_from_baseline
2016,345,-0.15168399066927524,0.2956521739130425,0.4473361645823184,8.760344256902318,10.918774838632805,149,152,3,-0.4473361645823184
2018,393,4.4924909756178115,-2.7798982188295165,-7.272389194447327,8.194078803117558,10.310327067769878,200,161,-39,7.272389194447327
2020,407,2.1314291695773684,0.005896805896805841,-2.125532363680563,5.423040685719579,6.953768421007186,203,182,-21,2.125532363680563
2022,400,0.43534459737375003,0.9542500000000004,0.51890540262625,4.608434283072249,6.152239464693843,204,202,-2,-0.51890540262625
