cycle,best_mae_multiplier,best_mae,best_rmse_multiplier,best_rmse,best_brier_multiplier,best_brier,lowest_abs_bias_multiplier,lowest_abs_bias
2016,0.5,8.760403463453043,0.5,10.933165392768704,0.5,0.0422002496071422,0.5,0.7173361645823186
2018,1.01,5.355236544191349,1.05,7.318127682583737,1.05,0.0473910559715941,1.05,0.3738891944473289
2020,0.5,5.007894497272405,0.5,6.686571407475711,0.92,0.0450166514974241,0.5,0.9344676363194372
2022,0.5,4.59827288572225,0.5,6.130353382644433,0.5,0.0409877439362226,0.5,0.0210945973737491
