cycle,house_environment_multiplier,effective_generic_ballot_coefficient,districts,mean_district_elasticity,mean_environment_adjustment_dem,mean_actual_residual_from_baseline,environment_residual_error_dem,margin_mae,margin_rmse,margin_bias_dem,brier_score,winner_accuracy,expected_dem_wins,actual_dem_wins,expected_win_count_error
2016,0.0,0.0,345,1.0,0.0,-0.4473361645823184,0.4473361645823184,8.760344256902318,10.918774838632805,0.4473361645823184,0.04188081471931665,0.9391304347826087,155.9099936688039,149.0,6.9099936688039065
2016,0.5,0.45,345,1.0,0.27,-0.4473361645823183,0.7173361645823182,8.760403463453043,10.933165392768705,0.7173361645823186,0.04220024960714221,0.9391304347826087,156.9567766458672,149.0,7.956776645867194
2016,0.7,0.63,345,1.0,0.37800000000000006,-0.4473361645823183,0.8253361645823183,8.762559441192176,10.940782152898624,0.8253361645823186,0.04234332202981508,0.936231884057971,157.37851651727033,149.0,8.378516517270327
2016,0.73,0.657,345,1.0,0.39420000000000005,-0.4473361645823183,0.8415361645823185,8.762982049887826,10.94201615100789,0.8415361645823188,0.04236553972858915,0.936231884057971,157.44185389677372,149.0,8.441853896773722
2016,0.8,0.7200000000000001,345,1.0,0.43200000000000005,-0.4473361645823183,0.8793361645823187,8.763968136844348,10.944988187428983,0.8793361645823187,0.042418149964620636,0.936231884057971,157.58971883670733,149.0,8.589718836707334
2016,0.85,0.765,345,1.0,0.45899999999999996,-0.4473361645823183,0.9063361645823181,8.764672484670434,10.947190487784862,0.9063361645823189,0.04245638827850977,0.936231884057971,157.69540336013745,149.0,8.695403360137448
2016,0.9,0.81,345,1.0,0.4859999999999998,-0.4473361645823183,0.9333361645823186,8.765459762931306,10.949458924016968,0.9333361645823182,0.04249517669216846,0.936231884057971,157.8011435600335,149.0,8.801143560033495
2016,1.0,0.9,345,1.0,0.54,-0.4473361645823183,0.987336164582318,8.767181502061739,10.954194038563939,0.9873361645823184,0.042574405416252424,0.9391304347826087,158.0127912881171,149.0,9.012791288117114
2018,0.0,0.0,393,1.0,0.0,7.272389194447327,-7.272389194447327,8.194078803117558,10.310327067769878,-7.272389194447327,0.07016159337877714,0.8956743002544529,165.42457565038796,200.0,-34.575424349612035
2018,0.5,0.45,393,1.0,3.285,7.272389194447327,-3.987389194447328,6.166515454196438,8.325531348620894,-3.987389194447328,0.05548244616410162,0.9236641221374046,179.01986132448073,200.0,-20.98013867551927
2018,0.7,0.63,393,1.0,4.599000000000002,7.272389194447327,-2.673389194447328,5.668374050700256,7.782172539455911,-2.6733891944473287,0.05143646177514187,0.9287531806615776,184.7093370919772,200.0,-15.290662908022796
2018,0.73,0.657,393,1.0,4.796100000000001,7.272389194447327,-2.4762891944473284,5.614509667402545,7.716683732239551,-2.4762891944473284,0.05093279037576532,0.9312977099236641,185.5758304366631,200.0,-14.424169563336903
2018,0.8,0.7200000000000001,393,1.0,5.256,7.272389194447327,-2.0163891944473282,5.503863197239695,7.5816241684983225,-2.0163891944473282,0.04986769036678459,0.9312977099236641,187.61114542959703,200.0,-12.38885457040297
