source_column,states_present,coverage_rate,present_state_list,missing_state_list,example_values
T_20_CENS_ADJ_Pacific,6,0.13636363636363635,"CA,MD,NJ,NV,VA,WA","AL,AR,AZ,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MS,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,WI,WV",0 | 5841 | 4678
T_20_CENS_ADJ_Total,6,0.13636363636363635,"CA,MD,NJ,NV,VA,WA","AL,AR,AZ,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MS,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,WI,WV",0 | 760065 | 760065
T_20_CENS_ADJ_White,6,0.13636363636363635,"CA,MD,NJ,NV,VA,WA","AL,AR,AZ,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MS,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,WI,WV",0 | 462197 | 533599
T_20_CENS_Asian,38,0.8636363636363636,"AL,AR,AZ,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MS,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,WI,WV","CA,MD,NJ,NV,VA,WA",0 | 14686 | 16883
T_20_CENS_Black,38,0.8636363636363636,"AL,AR,AZ,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MS,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,WI,WV","CA,MD,NJ,NV,VA,WA",0 | 189894 | 298801
T_20_CENS_Hispanic,38,0.8636363636363636,"AL,AR,AZ,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MS,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,WI,WV","CA,MD,NJ,NV,VA,WA",0 | 27476 | 33329
T_20_CENS_Native,38,0.8636363636363636,"AL,AR,AZ,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MS,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,WI,WV","CA,MD,NJ,NV,VA,WA",0 | 22041 | 14464
T_20_CENS_Pacific,38,0.8636363636363636,"AL,AR,AZ,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MS,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,WI,WV","CA,MD,NJ,NV,VA,WA",0 | 1003 | 1412
T_20_CENS_Total,38,0.8636363636363636,"AL,AR,AZ,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MS,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,WI,WV","CA,MD,NJ,NV,VA,WA",0 | 717754 | 717755
T_20_CENS_White,38,0.8636363636363636,"AL,AR,AZ,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MS,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,WI,WV","CA,MD,NJ,NV,VA,WA",0 | 462966 | 357837
V_20_VAP_Asian,44,1.0,"AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",,0 | 10410 | 12339
V_20_VAP_Black,44,1.0,"AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",,0 | 137268 | 223228
V_20_VAP_Hispanic,44,1.0,"AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",,0 | 18188 | 20932
V_20_VAP_Native,44,1.0,"AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",,0 | 16424 | 10647
V_20_VAP_Pacific,44,1.0,"AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",,0 | 651 | 930
V_20_VAP_Total,44,1.0,"AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",,0 | 557393 | 559067
V_20_VAP_White,44,1.0,"AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV",,0 | 373897 | 293496
