race_id,state,district,region,district_type,dra_population_dataset,dra_data_status,total_population,voting_age_population,white_population_share,black_population_share,hispanic_population_share,asian_population_share,native_population_share,pacific_population_share,white_vap_share,black_vap_share,hispanic_vap_share,asian_vap_share,native_vap_share,pacific_vap_share,pres_2020_margin_dem,pres_2024_margin_dem,dra_composite_margin_dem,dra_composite_dem_two_party_share,dra_map_year,dra_source_zip,dra_data_available,presidential_margin_average_2020_2024_dem,presidential_swing_2020_to_2024_dem,presidential_margin_range_2020_2024,presidential_average_absolute_margin,presidential_baseline_competitiveness,presidential_party_lean,presidential_trend_direction,dra_composite_minus_presidential_average_dem,dra_composite_absolute_margin,dra_composite_competitiveness,structural_profile_version,structural_profile_stage,political_baseline_method,demographic_source,structural_profile_notes
AR-3,AR,3,Middle South,Rural,2020 Census,available,753219.0,566367.0,67.68668873196242,4.229579976076015,16.472367266359452,4.416909291985465,6.010469730583004,1.8045216597032203,71.62334669922507,3.560059113613611,13.889756995022662,4.179798611147895,5.618618316392022,1.3526564930513254,-23.40000000000001,-24.9,-28.682284699808967,35.65885765009551,2022.0,AR-2022-Congressional-district-data.zip,True,-24.150000000000006,-1.4999999999999893,1.4999999999999893,24.150000000000006,75.85,Republican,Republican,-4.532284699808962,28.682284699808967,71.31771530019103,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AR-4,AR,4,Middle South,Rural,2020 Census,available,753086.0,584161.0,66.83844872962716,20.963077258108637,7.542830433708766,1.1968088637951044,3.430683879397572,0.1831132168172028,69.6193343958258,19.75756683517044,6.029844512043769,1.0647749507413196,3.313983644919808,0.1499586586574591,-35.2,-39.9,-34.9061583690706,32.5469208154647,2022.0,AR-2022-Congressional-district-data.zip,True,-37.55,-4.699999999999996,4.699999999999996,37.55,62.45,Republican,Republican,2.643841630929394,34.9061583690706,65.0938416309294,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AZ-1,AZ,1,Southwest,Suburban,2020 Census,available,794611.0,650548.0,69.8901726756866,4.628805793023253,16.35127125096431,6.111418039770403,3.487366774434283,0.3620639533054539,73.64837029704188,4.014461653867201,13.860160971980546,5.477843295191131,3.0706419818368516,0.2843756340808057,1.5,-3.1,-3.4815836123695094,48.25920819381525,2022.0,AZ-2022-Congressional-district-data.zip,True,-0.8,-4.6,4.6,2.3,97.7,Republican,Republican,-2.6815836123695096,3.4815836123695094,96.5184163876305,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AZ-2,AZ,2,Southwest,Mixed,2020 Census,available,794612.0,628519.0,55.2800612122646,3.1695972373938477,16.855270245100755,2.0635228262346907,23.538783708275233,0.4077461704580348,60.03366644445117,2.7375465180845766,14.638698273242335,1.962231849792926,20.829919222807906,0.3395283197484881,-7.900000000000006,-14.9,-9.13136874853397,45.434315625733014,2022.0,AZ-2022-Congressional-district-data.zip,True,-11.400000000000002,-6.999999999999995,6.999999999999995,11.400000000000002,88.6,Republican,Republican,2.268631251466033,9.13136874853397,90.86863125146603,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AZ-3,AZ,3,Southwest,Mixed,2020 Census,available,794612.0,568035.0,19.56640473589626,12.518814213729469,62.600363447821074,3.652726110353229,5.212103517188263,0.5072916089865243,23.791315675970672,11.873564128970926,58.19993486316864,3.7740632179355145,5.129261401146056,0.4585985018528787,50.6,39.6,51.74849387161554,75.87424693580778,2022.0,AZ-2022-Congressional-district-data.zip,True,45.1,-11.0,11.0,45.1,54.9,Democratic,Republican,6.6484938716155355,51.74849387161554,48.25150612838446,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AZ-4,AZ,4,Southwest,Suburban,2020 Census,available,794611.0,628965.0,55.156674146217455,7.500525414322228,26.743148534314276,7.265441832544478,4.8593588560943655,0.719219844678717,59.415865747696614,6.613086578744445,23.142146224352707,7.27528558822828,4.339669138982297,0.5973305350854181,10.300000000000004,7.3,6.115542171943246,53.05777108597162,2022.0,AZ-2022-Congressional-district-data.zip,True,8.800000000000002,-3.0000000000000044,3.0000000000000044,8.800000000000002,91.2,Democratic,Republican,-2.6844578280567566,6.115542171943246,93.88445782805675,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AZ-5,AZ,5,Southwest,Suburban,2020 Census,available,794612.0,584092.0,67.05687807382722,5.2566535617383074,17.75231182010843,7.759761997050132,2.828550286177405,0.6189184155285851,70.40757277963061,4.547742478924553,15.374803969237725,7.198694726173274,2.5632948234182287,0.5184114831225218,-16.4,-19.9,-19.312201882069203,40.3438990589654,2022.0,AZ-2022-Congressional-district-data.zip,True,-18.15,-3.5,3.5,18.15,81.85,Republican,Republican,-1.1622018820692048,19.312201882069203,80.6877981179308,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AZ-6,AZ,6,Southwest,Mixed,2020 Census,available,794611.0,642434.0,63.13869302086178,5.173097276529019,24.737513072434187,4.681284301375138,3.573320782118546,0.6262183634507954,67.34419411176869,4.352665020842608,21.313162130273305,4.311415647366111,3.209045598458363,0.5460483100209516,0.0999999999999943,-0.7,-3.856992825810456,48.071503587094774,2022.0,AZ-2022-Congressional-district-data.zip,True,-0.3000000000000028,-0.7999999999999943,0.7999999999999943,0.39999999999999714,99.60000000000001,Republican,Republican,-3.556992825810453,3.856992825810456,96.14300717418955,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AZ-7,AZ,7,Southwest,Mixed,2020 Census,available,794611.0,601175.0,28.45543290993958,5.5060904014668814,59.811278726320175,2.997063972182615,6.207062323577197,0.3993148848933629,32.89607851291221,4.949307605938371,55.48367779764627,3.017923233667401,5.824427163471535,0.359629059757974,32.699999999999996,22.1,33.91022730193545,66.95511365096773,2022.0,AZ-2022-Congressional-district-data.zip,True,27.4,-10.599999999999994,10.599999999999994,27.4,72.6,Democratic,Republican,6.510227301935451,33.91022730193545,66.08977269806455,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
AZ-8,AZ,8,Southwest,Mixed,2020 Census,available,794610.0,628985.0,64.29594392217565,6.335686689067593,21.143957413070563,5.893331319766929,3.3085412969884596,0.4495286996136469,68.64074659968044,5.365469764779764,18.087235784637155,5.313322257287535,2.9504678171975485,0.3612168811656875,-13.6,-16.3,-16.823080893831122,41.58845955308444,2022.0,AZ-2022-Congressional-district-data.zip,True,-14.95,-2.700000000000001,2.700000000000001,14.95,85.05,Republican,Republican,-1.8730808938311228,16.823080893831122,83.17691910616888,1.0,foundation_existing_validated_sources,mean of 2020 and 2024 Democratic presidential margins,Dave's Redistricting district-data export,"Foundation profile includes DRA demographics, DRA composite election margin, and presidential results."
