race_id,state,district,dra_map_year,dra_population_dataset,dra_source_zip,total_population,white_population,hispanic_population,black_population,asian_population,native_population,pacific_population,voting_age_population,white_vap,hispanic_vap,black_vap,asian_vap,native_vap,pacific_vap,dra_composite_total_votes,dra_composite_dem_votes,dra_composite_rep_votes,white_population_share,hispanic_population_share,black_population_share,asian_population_share,native_population_share,pacific_population_share,white_vap_share,hispanic_vap_share,black_vap_share,asian_vap_share,native_vap_share,pacific_vap_share,dra_composite_dem_two_party_share,dra_composite_margin_dem
AR-4,AR,4,2022,2020 Census,AR-2022-Congressional-district-data.zip,753086,503351,56804,157870,9013,25836,1379,584161,406689,35224,115416,6220,19359,876,265872,84470,175063,66.83844872962716,7.542830433708766,20.963077258108637,1.1968088637951044,3.4306838793975722,0.18311321681720283,69.6193343958258,6.029844512043769,19.75756683517044,1.0647749507413196,3.313983644919808,0.14995865865745917,32.5469208154647,-34.9061583690706
AZ-1,AZ,1,2022,2020 Census,AZ-2022-Congressional-district-data.zip,794611,555355,129929,36781,48562,27711,2877,650548,479118,90167,26116,35636,19976,1850,386991,183759,197016,69.8901726756866,16.35127125096431,4.628805793023253,6.111418039770403,3.487366774434283,0.3620639533054539,73.64837029704188,13.860160971980546,4.014461653867201,5.477843295191131,3.0706419818368516,0.28437563408080574,48.25920819381525,-3.4815836123695094
AZ-2,AZ,2,2022,2020 Census,AZ-2022-Congressional-district-data.zip,794612,439262,133934,25186,16397,187042,3240,628519,377323,92007,17206,12333,130920,2134,331400,147209,176795,55.2800612122646,16.855270245100755,3.1695972373938477,2.0635228262346907,23.538783708275233,0.40774617045803485,60.033666444451164,14.638698273242337,2.7375465180845766,1.9622318497929259,20.829919222807902,0.3395283197484881,45.434315625733014,-9.13136874853397
AZ-3,AZ,3,2022,2020 Census,AZ-2022-Congressional-district-data.zip,794612,155477,497430,99476,29025,41416,4031,568035,135143,330596,67446,21438,29136,2605,177299,131484,41808,19.56640473589626,62.600363447821074,12.518814213729469,3.652726110353229,5.212103517188263,0.5072916089865243,23.791315675970672,58.19993486316864,11.873564128970926,3.7740632179355145,5.129261401146056,0.45859850185287876,75.87424693580778,51.74849387161554
AZ-4,AZ,4,2022,2020 Census,AZ-2022-Congressional-district-data.zip,794611,438281,212504,59600,57732,38613,5715,628965,373705,145556,41594,45759,27295,3757,302289,156461,138427,55.156674146217455,26.743148534314276,7.500525414322228,7.265441832544478,4.8593588560943655,0.719219844678717,59.415865747696614,23.142146224352707,6.613086578744445,7.27528558822828,4.339669138982297,0.5973305350854181,53.05777108597162,6.115542171943246
AZ-5,AZ,5,2022,2020 Census,AZ-2022-Congressional-district-data.zip,794612,532842,141062,41770,61660,22476,4918,584092,411245,89803,26563,42047,14972,3028,323023,127801,188978,67.05687807382722,17.75231182010843,5.2566535617383074,7.759761997050132,2.828550286177405,0.6189184155285851,70.40757277963061,15.374803969237723,4.547742478924553,7.198694726173274,2.5632948234182287,0.5184114831225218,40.3438990589654,-19.312201882069203
AZ-6,AZ,6,2022,2020 Census,AZ-2022-Congressional-district-data.zip,794611,501707,196567,41106,37198,28394,4976,642434,432642,136923,27963,27698,20616,3508,368058,173479,187398,63.13869302086178,24.737513072434187,5.173097276529019,4.681284301375138,3.573320782118546,0.6262183634507954,67.34419411176869,21.313162130273305,4.352665020842608,4.311415647366111,3.209045598458363,0.5460483100209516,48.071503587094774,-3.856992825810456
AZ-7,AZ,7,2022,2020 Census,AZ-2022-Congressional-district-data.zip,794611,226110,475267,43752,23815,49322,3173,601175,197763,333554,29754,18143,35015,2162,238567,156296,77138,28.45543290993958,59.811278726320175,5.5060904014668814,2.997063972182615,6.207062323577197,0.3993148848933629,32.89607851291221,55.48367779764627,4.949307605938371,3.017923233667401,5.824427163471535,0.359629059757974,66.95511365096773,33.91022730193545
AZ-8,AZ,8,2022,2020 Census,AZ-2022-Congressional-district-data.zip,794610,510902,168012,50344,46829,26290,3572,628985,431740,113766,33748,33420,18558,2272,327767,133741,187841,64.29594392217565,21.143957413070563,6.335686689067593,5.893331319766929,3.3085412969884596,0.44952869961364694,68.64074659968044,18.087235784637155,5.365469764779764,5.313322257287535,2.9504678171975485,0.36121688116568756,41.58845955308444,-16.823080893831122
AZ-9,AZ,9,2022,2020 Census,AZ-2022-Congressional-district-data.zip,794612,456611,237548,48379,29914,32296,4710,609223,379415,157245,31786,21156,22742,3165,276953,98509,173679,57.46339093796721,29.89484175924854,6.088380240922614,3.7646046120622394,4.06437355589898,0.592742118165847,62.27850885472151,25.810745818854507,5.217465525759861,3.4726200422505387,3.7329516449641593,0.5195142008755415,36.19152938410217,-27.61694123179567
CA-1,CA,1,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760065,462197,198815,20639,40391,46137,5841,605483,390785,138760,15539,29667,33831,4253,316144,176887,131811,60.81019386499839,26.15763125522159,2.7154256543848225,5.31415076342155,6.070138738134238,0.7684869057251682,64.5410358342018,22.917241276798855,2.5663808893065534,4.899724682608761,5.587440109796642,0.7024144360783044,57.3009867248897,14.601973449779397
CA-2,CA,2,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760065,533599,112645,18778,46719,48674,4678,613701,447722,80105,15177,34026,35923,3432,357010,220940,128430,70.20439041397775,14.82044298842862,2.4705781742350985,6.146711136547532,6.403925980014868,0.6154736765934492,72.95441917155097,13.052773256031847,2.473028396564451,5.54439376830085,5.853501949646489,0.5592299833306448,63.239545467555885,26.479090935111774
CA-3,CA,3,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,435208,141407,54225,105091,27167,9177,600433,366223,98814,40084,75189,20435,6573,323310,172191,143603,57.25916267907961,18.604544073088295,7.134239481519392,13.826544238863153,3.574290161262099,1.2073935587257438,60.993149943457475,16.45712344258227,6.675848929022888,12.522462955900158,3.4033772294327593,1.0947099842946673,54.52636845538547,9.052736910770946
CA-4,CA,4,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760065,384742,236841,28171,89643,32572,6332,591002,322739,162279,18842,68630,23831,4451,296680,172883,117615,50.6196180589818,31.160624420279845,3.7063935321321204,11.794122871070238,4.285422957247078,0.8330866439054555,54.608783049803556,27.458282713087264,3.1881448793743505,11.61248185285329,4.032304459206568,0.753127738992423,59.51263003531866,19.02526007063732
CA-5,CA,5,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,424499,219949,24651,62902,38702,6805,599254,356309,152803,19657,45967,28642,5216,314802,127196,182234,55.850281422929065,28.938144845316064,3.2432709790991834,8.27586025424108,5.0919262274591945,0.8953169856301952,59.4587603920875,25.498870262025786,3.280245104746902,7.670703908526268,4.779609314247381,0.8704155500005006,41.10655075461332,-17.786898490773357
CA-6,CA,6,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,386058,169635,70555,115196,28618,11389,576315,314273,114231,48424,82961,21275,8149,280074,149823,123928,50.792627492050045,22.318427191287086,9.282734285266956,15.15603229715275,3.7651943841792894,1.4984205339792414,54.531462828487896,19.820931261549674,8.402349409611064,14.395079080017005,3.691557568343701,1.4139836721237518,54.72966308798872,9.45932617597744
CA-7,CA,7,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760065,305712,176798,82234,177508,26591,15425,586863,257777,121573,59436,131923,19874,11377,302520,173292,123462,40.22182313354779,23.26090531730839,10.819337819791729,23.35431838066481,3.498516574240361,2.029431693342017,43.92456160977945,20.71573774458434,10.12774702102535,22.479352080468527,3.3864803199383844,1.9386125893096005,58.39584302149255,16.7916860429851
CA-8,CA,8,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,233055,238586,120878,160486,27671,12190,600387,201307,168167,93803,127210,21203,8712,276068,192189,78798,30.662468785605462,31.39016874850342,15.903618896253747,21.11474529843461,3.64060489483808,1.6038080903500485,33.52954011329359,28.009767033596663,15.623756010706428,21.188000406404537,3.531555480048702,1.4510640636789272,70.92185233978013,41.843704679560275
CA-9,CA,9,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760065,194161,288030,104430,169287,28985,12567,567270,164929,195496,74526,125001,21038,9017,225806,137572,84253,25.54531520330498,37.89544315288824,13.739614375086342,22.272700361153323,3.813489635754837,1.6534112214086953,29.074162215523472,34.46260158302043,13.137659315669787,22.03553863239727,3.7086396248699915,1.5895428984434221,62.0182576355235,24.036515271046998
CA-10,CA,10,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,374313,151209,42013,182863,18956,7408,588180,310852,105421,29579,132198,14010,5218,336412,220995,108548,49.24743377548792,19.894193398994297,5.527546292032534,24.05883173303371,2.4939939426312976,0.9746522012562067,52.849807881940905,17.92325478594988,5.028902716855384,22.475772722635927,2.3819239008466795,0.8871433914787991,67.06105121334697,34.122102426693935
CA-11,CA,11,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,328242,107106,52253,262605,14516,5709,664995,296850,87723,43691,227568,12865,4609,350643,303687,40516,43.18592966146406,14.091652446429064,6.874788669946202,34.55024359694606,1.9098316332639096,0.7511179935453058,44.63943337919834,13.191527755847789,6.570124587402913,34.221009180520156,1.9346010120376844,0.6930879179542704,88.22903925880948,76.45807851761896
CA-12,CA,12,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760065,249406,179534,140008,186168,22904,7953,621080,218543,131521,111824,152734,19039,5745,319532,286768,26646,32.813772506298804,23.620874530467788,18.420529823107234,24.49369461822344,3.0134264832613,1.046357877286811,35.18757647968056,21.1761769820313,18.00476589167257,24.59167901075546,3.0654666065563214,0.925001610098538,91.4981462219301,82.9962924438602
CA-13,CA,13,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,158370,492863,38827,66468,38299,6456,535741,130366,323990,25596,47664,27213,4402,171375,99354,68828,20.83632100854267,64.84467816653006,5.108365446730354,8.74501853126106,5.038897886633678,0.8493988030002618,24.333773222508636,60.47511764080031,4.777681752936587,8.896836344427625,5.079506701932464,0.8216656929374455,59.07528748617569,18.150574972351382
CA-14,CA,14,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760065,185775,177264,46588,341689,18647,14320,590385,159567,128317,35060,257177,14384,10868,258241,183063,70114,24.441988514140238,23.32221586311697,6.129475768519797,44.9552340918211,2.4533428062073637,1.8840493905126536,27.027617571584646,21.734461410774326,5.938497759936313,43.56089670299889,2.43637626294706,1.8408326769819694,72.30633114382428,44.61266228764856
CA-15,CA,15,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,216763,201867,28846,300594,16686,14175,609967,184078,150342,22421,241550,13137,10719,287232,222303,60282,28.518970720963704,26.559140916709865,3.7951967329152994,39.54840763828405,2.1953356682182865,1.8649696210592237,30.17835391094928,24.64756290094382,3.675772623764892,39.60050297802996,2.1537230702644568,1.7573081822459249,78.6676575189766,57.33531503795318
CA-16,CA,16,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,322755,151126,22413,254704,15561,5832,600046,271719,108504,16513,194315,12343,4350,320471,238009,76177,42.46407548818129,19.883273294687566,2.948822865382743,33.51077406435757,2.047322206229459,0.7673017869500807,45.283028301163576,18.082613666285585,2.751955683397606,32.38335060978658,2.057008962646197,0.7249444209277289,75.75417109610231,51.508342192204616
CA-17,CA,17,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,162408,130456,22677,439749,13304,6348,605246,141380,95762,16976,345732,10198,4739,241009,176885,59555,21.367589962463835,17.16375003782561,2.98355276574302,57.85661000938075,1.7503720066783586,0.8351895293441236,23.35909696222693,15.821996345287701,2.804809945047138,57.12255843078682,1.684934720758171,0.7829874133823271,74.8117915750296,49.62358315005921
CA-18,CA,18,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,143922,500484,22198,95404,36070,5377,574921,126709,351386,16613,76233,27770,4019,208317,146323,57991,18.935460867872,65.84743956445888,2.920535848202656,12.552067846739625,4.745640510166222,0.7074385645457105,22.03937584468127,61.11900591559536,2.8896143991957155,13.259734815739902,4.830228848833144,0.6990525654829098,71.61672719441644,43.233454388832875
CA-19,CA,19,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,366442,187658,26816,165500,23670,6972,609585,315206,133987,19782,127560,18784,5082,344981,232602,105102,48.211802380579606,24.68966551632948,3.52811002187965,21.774396204545127,3.114199142970291,0.9172875549129221,51.7082933471132,21.980035597988795,3.245158591500775,20.925711754718375,3.0814406522470206,0.8336819311498807,68.8774785018833,37.75495700376661
CA-20,CA,20,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760065,358483,288988,34994,59802,35798,3908,561841,288435,190350,23306,42887,25129,2673,259539,87187,168038,47.16478195943768,38.02148500457198,4.604079914217863,7.86801128850822,4.709860340891898,0.5141665515449336,51.33747804094041,33.879691941314356,4.148148675514959,7.633298388690038,4.472617697889617,0.47575737619718034,34.16083847585464,-31.678323048290725
CA-21,CA,21,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,144585,482325,48172,84378,35041,3190,537056,121795,320267,30925,58264,23342,2141,179323,105267,71096,19.022665107155028,63.45822144626724,6.337862320032313,11.10138974590398,4.610251464673509,0.41969984225074897,22.67826818804743,59.633818447238276,5.758244950247274,10.848775546684145,4.346287910385509,0.398654888875648,59.68768959475627,19.37537918951254
CA-22,CA,22,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,107893,563305,44414,45237,34844,2540,539701,91856,376753,33102,32908,21762,1828,142333,82240,57476,14.19521462609826,74.11264284943675,5.843439911797134,5.951719982212071,4.584338728478842,0.33418150529033,17.019794293506962,69.80772687098968,6.133396084128064,6.097450254863341,4.032232662159233,0.33870606131913783,58.86226344871024,17.724526897420482
CA-23,CA,23,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,299755,324842,80938,42800,34692,6021,575877,250726,223022,56034,32807,25439,4191,232785,94992,133712,39.43802248752082,42.73865690611078,10.648812076845958,5.631089931663829,4.56434046517013,0.7921680485642036,43.538116646436656,38.727367128744504,9.730202803723712,5.696876242669876,4.4174363622787505,0.7277595736589584,41.534909752343644,-16.93018049531272
CA-24,CA,24,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760065,378230,294734,19323,56034,30452,4067,611943,330713,208050,15747,45092,23321,2917,320590,195655,117989,49.762849230000064,38.77747297928467,2.5422825679382686,7.372264214244835,4.006499444126489,0.5350858150289778,54.043105321900896,33.998264544246766,2.5732788838176104,7.368660152988105,3.8109758588626717,0.47667838344420965,62.381234775733,24.762469551465994
CA-25,CA,25,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,217879,464876,38178,35419,33630,3625,579383,192870,325436,27286,26302,22373,2269,214272,121310,89810,28.665800075256623,61.162583249349396,5.022984846052843,4.6599900534953544,4.424615757052677,0.4769322664084435,33.28886073633503,56.16940780105733,4.709492684459158,4.539656841847275,3.861521653206946,0.39162350293329284,57.46021220159151,14.920424403183024
CA-26,CA,26,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,325269,317496,27666,83629,26469,4375,586171,273185,222823,19092,63090,19768,2980,307045,178798,122414,42.79477993387425,41.772106932678305,3.6399422682474043,11.002845801751688,3.482456151891873,0.5756071504222654,46.60500092976282,38.0133101091661,3.257070035876903,10.763070844514655,3.3723947448782012,0.508384072224658,59.35952086902248,18.719041738044965
CA-27,CA,27,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,236158,346015,91928,84756,27070,3850,573673,197152,243035,64943,64206,19575,2739,257974,149226,103511,31.07068192672488,45.524276149339464,12.094723228346975,11.151122203700464,3.5615281284413083,0.5065342923715935,34.36661652195589,42.364726943746696,11.320560667836904,11.192090267452015,3.412222642515858,0.47744969695279366,59.04398643649327,18.087972872986544
CA-28,CA,28,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760065,200882,210705,39703,309055,18006,3074,617402,173734,158745,30785,252396,14332,2296,289825,186892,97684,26.429581680514165,27.721971147204517,5.223632189352227,40.66165393749219,2.3690079137968465,0.4044390940248531,28.139526596933603,25.711772880554324,4.986216435968785,40.88033404491725,2.3213400669256012,0.3718808815002219,65.67384459687395,31.347689193747893
CA-29,CA,29,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,173399,477560,41594,71093,29034,3035,594802,149431,354370,31306,57598,21631,1923,212819,163487,45166,22.81367670702281,62.83138569545277,5.472419500411807,9.353529825041509,3.8199314270076545,0.39930742856541407,25.12281397843316,59.5778090860488,5.263264077793955,9.683558562345116,3.636672371646363,0.3233008631443741,78.35353433691344,56.70706867382688
CA-30,CA,30,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,421462,178511,37865,115816,16574,2955,649328,370538,142712,31706,97701,13788,2280,309244,230255,73616,55.45071085932011,23.486249878300043,4.981804211739507,15.237624101064908,2.1806001057802873,0.3887820268239863,57.064842421703666,21.978414607101495,4.882894315353719,15.046478821181283,2.1234260651011505,0.35113224749279254,75.77393038493308,51.54786076986616
CA-31,CA,31,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,142414,429185,35896,156798,27923,3665,599214,125262,318549,26640,127749,21377,2664,253920,156452,92505,18.73705704504609,56.46680682993319,4.722747761378617,20.629524278154793,3.673759910323577,0.48219496727915734,20.90438474401466,53.161141094834235,4.445824029478617,21.319428451271165,3.5675067671983633,0.4445824029478617,62.84298091638315,25.6859618327663
CA-32,CA,32,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760065,405502,189453,40523,117321,17071,3283,619152,345723,141119,31404,93552,13046,2454,322600,214260,102635,53.35096340444567,24.925894495865485,5.331517699144152,15.435653529632335,2.2459921190950776,0.4319367422523074,55.8381463679355,22.792303020906015,5.072098612295527,15.109698426234592,2.1070754838876398,0.3963485541514846,67.61230060430111,35.224601208602216
CA-33,CA,33,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,138544,459436,94798,70671,30747,5113,555062,115624,316848,67659,52444,21173,3258,205722,127720,73974,18.227866753851963,60.44677640260661,12.47232151902398,9.297996097712439,4.045301269493347,0.6727038537392098,20.830826105912493,57.08335285067254,12.189449106586292,9.448313882052815,3.814528827410271,0.5869614565580061,63.323648695548705,26.647297391097403
CA-34,CA,34,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,82569,497280,43195,142435,30645,3067,610534,75535,376198,34589,124324,26973,1978,197128,165886,27208,10.863384412163665,65.42581114559637,5.6830516257119434,18.739795307518943,4.031881399929217,0.40351705836459156,12.371956352963144,61.61786239586984,5.665368349674219,20.36315749819011,4.417935774256635,0.32397868095798105,85.90945342682838,71.81890685365677
CA-35,CA,35,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,140468,446255,58639,117674,29619,4817,577039,120955,319535,44031,89780,21377,3409,214516,130644,79814,18.48102664768586,58.71266442651033,7.7149879089447495,15.482076556509567,3.8968984272418448,0.6337607523557165,20.961321505132236,55.37493999539026,7.630506776838307,15.55874039709621,3.704602288580148,0.5907746270182778,62.076043676172915,24.152087352345838
CA-36,CA,36,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,420849,126932,39243,161956,14593,4551,634602,365202,98080,30729,130379,11578,3485,354858,249663,98302,55.37005996847642,16.70012867303629,5.1631042567356,21.308149555433342,1.9199648451581837,0.5987637915654693,57.54819556194276,15.455356270544373,4.842247581949001,20.54500300976045,1.8244506005338779,0.5491630975004806,71.74945756038682,43.49891512077364
CA-37,CA,37,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,99490,409691,193744,60398,27007,2855,592275,86465,298131,156977,50445,22198,1895,225636,198574,23557,13.089652740683047,53.90202956059079,25.490417937389648,7.946415179734392,3.55324406038423,0.3756252746472017,14.598792790511165,50.33658351272635,26.50407327677177,8.517158414587819,3.747921151492128,0.31995272466337427,89.39499664612323,78.78999329224646
CA-38,CA,38,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,101616,450094,16889,196613,26207,3134,592018,86641,335136,10119,159257,19535,1968,236170,149694,82082,13.36934770224204,59.21767423135066,2.2220409516529465,25.86785112365094,3.4479855065408707,0.41233207072534395,14.634859075230821,56.60908958849224,1.7092385704488715,26.900702343509824,3.299730751429855,0.3324223249968751,64.58563440563303,29.17126881126605
CA-39,CA,39,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,148509,473263,81601,57765,31797,5566,560865,125727,328326,58340,44170,21740,3761,201903,124249,73627,19.53893538332805,62.2659581326383,10.736027218653092,7.599987895803922,4.183446985594691,0.7323038626857895,22.416624321360754,58.5392206680752,10.401790092089897,7.875335419396825,3.8761555811113193,0.6705713496117605,62.791344074066586,25.582688148133176
CA-40,CA,40,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,359388,243980,44617,103710,23671,6624,581307,294097,168281,31406,77859,16712,4492,308060,130119,172481,47.283788513102806,32.09984396091918,5.870148118716006,13.644867682543358,3.114334807766694,0.8715032641902151,50.592372016851684,28.94873104917023,5.402652987147927,13.393783319313203,2.8749008699361953,0.7727414257870626,43.00033046926636,-13.999339061467284
CA-41,CA,41,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760065,163158,461976,41025,95336,30513,5538,590880,141516,341426,29082,74938,22929,3910,273131,168119,99391,21.46632195930611,60.781117404432514,5.39756468196799,12.543137757954911,4.0145250735134494,0.728621894180103,23.95004061738424,57.782629298673164,4.921811535337124,12.682439750880043,3.8804833468724613,0.6617248849174113,62.845874920563716,25.691749841127436
CA-42,CA,42,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,343883,240878,55354,111032,22928,7077,620533,301502,176811,42725,89548,18347,5402,316371,180959,128471,45.24377456197941,31.691679812437588,7.282779018165503,14.608185857299421,3.0165761702586744,0.9311021265230566,48.58758518886183,28.49340808627422,6.885209972717003,14.430819956392327,2.9566517816135485,0.8705419373345172,58.48140128623598,16.962802572471965
CA-43,CA,43,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,52450,433512,201912,75741,27444,5906,569643,45349,307997,155908,60171,19946,4233,211941,176300,32003,6.900707437633788,57.03602445573877,26.56502650424239,9.965042555458927,3.6107343168431205,0.7770367612328913,7.960950981579691,54.06842531199365,27.3694226032796,10.562931520267957,3.5014912848924675,0.7430969923267731,84.63632304863589,69.27264609727176
CA-44,CA,44,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760067,60389,535795,86054,81117,31427,8851,577278,54019,391215,63997,65567,23573,6538,200517,157022,39667,7.945220618708614,70.49312757954233,11.321896622271458,10.672348621897806,4.134767066587551,1.1645026030599934,9.357536576831267,67.7689085674493,11.085993230298055,11.357959250135982,4.083474513146179,1.1325565845225352,79.83262917600882,59.66525835201765
CA-45,CA,45,2026,2020 Census adjusted,CA-2026-Congressional-district-data.zip,760066,151712,263412,26743,316279,19358,6717,603306,132700,190963,19128,255728,14321,5065,257454,142659,110054,19.960371862443523,34.656464043911974,3.5185102346375183,41.61204421721271,2.546884086381972,0.8837390437146248,21.995471618051205,31.65275995929097,3.1705303776193174,42.38777668380556,2.373753949073936,0.8395407968758806,56.45099381511834,12.901987630236672
