race_id,state,district,dra_map_year,dra_population_dataset,dra_source_zip,total_population,white_population,hispanic_population,black_population,asian_population,native_population,pacific_population,voting_age_population,white_vap,hispanic_vap,black_vap,asian_vap,native_vap,pacific_vap,dra_composite_total_votes,dra_composite_dem_votes,dra_composite_rep_votes,white_population_share,hispanic_population_share,black_population_share,asian_population_share,native_population_share,pacific_population_share,white_vap_share,hispanic_vap_share,black_vap_share,asian_vap_share,native_vap_share,pacific_vap_share,dra_composite_dem_two_party_share,dra_composite_margin_dem
AL-1,AL,1,2026,2020 Census,AL-2026-Congressional-district-data.zip,717754,462966,27476,189894,14686,22041,1003,557393,373897,18188,137268,10410,16424,651,266466,100364,163528,64.50204387575687,3.828052508240985,26.456696862713407,2.0461049328878698,3.0708292813415183,0.13974147131189796,67.0796009278911,3.2630477957204342,24.62678935688105,1.8676230236117066,2.9465744995003527,0.11679371646217301,38.03222530429115,-23.9355493914177
AL-2,AL,2,2026,2020 Census,AL-2026-Congressional-district-data.zip,717755,357837,33329,298801,16883,14464,1412,559067,293496,20932,223228,12339,10647,930,259850,122409,135586,49.85503409937932,4.643506488983009,41.629943365075825,2.3521953870053154,2.0151723080995603,0.196724509059498,52.49746452571874,3.744095072683596,39.9286668681929,2.2070699933997178,1.9044229045892531,0.16634857718305676,47.44626833853369,-5.107463322932615
AL-3,AL,3,2026,2020 Census,AL-2026-Congressional-district-data.zip,717754,502129,27470,156204,15755,16548,909,564595,405145,17599,116843,11992,12748,591,258909,82568,173978,69.95837013795813,3.8272165672361282,21.76288812044238,2.1950417552531927,2.305525291395102,0.12664506223580782,71.75851716717293,3.1171016392281192,20.695011468397702,2.1240003896598445,2.257901681736466,0.10467680372656506,32.18448153547512,-35.63103692904976
AL-4,AL,4,2026,2020 Census,AL-2026-Congressional-district-data.zip,717754,575711,57537,56723,6614,23226,836,555217,459881,33850,40112,4593,17274,538,263025,57740,203153,80.21007197452052,8.016256266074448,7.902846936415541,0.9214856343538316,3.2359276298007393,0.11647444667671654,82.82905602674269,6.096715338327177,7.224562648477982,0.8272441225682932,3.1112159750151744,0.09689905028124139,22.13167850421437,-55.73664299157126
AL-5,AL,5,2026,2020 Census,AL-2026-Congressional-district-data.zip,717754,486765,47408,138438,19813,27316,1583,560406,393794,29677,102735,14045,20338,1004,278897,105895,168699,67.81780387152143,6.605048526375332,19.287666805061345,2.76041652153802,3.80576074811147,0.22054910178139028,70.26941181928817,5.295624957620011,18.33224483677905,2.506218705724064,3.629154577217232,0.17915582631163834,38.5642075209218,-22.871584958156404
AL-6,AL,6,2026,2020 Census,AL-2026-Congressional-district-data.zip,717754,497253,40423,147195,17137,15645,809,552230,395669,25834,106353,12068,11720,553,294733,102990,187719,69.27902874801116,5.6318738732211875,20.507722701649868,2.3875868333718797,2.1797161701641508,0.11271271215486085,71.64931278633902,4.678123245749054,19.258823316371803,2.185321333502345,2.1223041124169275,0.10013943465584992,35.427179757076665,-29.14564048584667
AL-7,AL,7,2026,2020 Census,AL-2026-Congressional-district-data.zip,717754,288690,30404,377481,11889,11790,927,568258,242662,20776,287833,9462,8963,623,293641,186924,104707,40.221301448685765,4.235991718611112,52.59197440905937,1.6564171011237834,1.6426240745436458,0.12915288525037827,42.70278641039809,3.6560857920170062,50.651816604429676,1.6650887449010836,1.577276518764364,0.10963330036708678,64.09606660471623,28.192133209432466
AR-1,AR,1,2022,2020 Census,AR-2022-Congressional-district-data.zip,752509,551532,29297,139921,7852,21046,1895,579039,438676,18103,97812,5576,16066,1079,253353,73762,172730,73.2924124495521,3.893242472847501,18.593930438041273,1.043442669788667,2.7967771814024815,0.25182423067365306,75.75931845696059,3.1263869963853903,16.89212643707937,0.9629748600698744,2.774597220567181,0.18634323422083832,29.924703438651154,-40.15059312269769
AR-2,AR,2,2022,2020 Census,AR-2022-Congressional-district-data.zip,752710,498838,46673,166319,18424,23460,1008,582706,402756,30008,118487,13270,17665,677,294794,119695,166735,66.27226953275498,6.200661609384756,22.096026358092757,2.4476890170185066,3.116738186021177,0.13391611643262347,69.11821742010551,5.1497667777575655,20.333924826584933,2.277306223035287,3.031545925389476,0.11618208839449053,41.78856963306916,-16.422860733861675
AR-3,AR,3,2022,2020 Census,AR-2022-Congressional-district-data.zip,753219,509829,124073,31858,33269,45272,13592,566367,405651,78667,20163,23673,31822,7661,252852,87172,157289,67.68668873196242,16.472367266359452,4.229579976076015,4.416909291985465,6.010469730583004,1.8045216597032205,71.62334669922507,13.889756995022662,3.560059113613611,4.179798611147895,5.618618316392022,1.3526564930513254,35.65885765009551,-28.682284699808967
