race_id,state,district,region,district_type,college_share_tier,white_share_tier,black_share_tier,hispanic_share_tier,median_income_tier,pres_2020_margin_dem,pres_2024_margin_dem
AL-1,AL,1,Deep South,Rural,,,,,,-30.199999999999996,-36.3
AL-2,AL,2,Deep South,Rural,,,,,,-11.799999999999997,-17.300000000000004
AL-3,AL,3,Deep South,Rural,,,,,,-40.10000000000001,-45.900000000000006
AL-4,AL,4,Deep South,Rural,,,,,,-63.699999999999996,-67.80000000000001
AL-5,AL,5,Deep South,Rural,,,,,,-27.1,-29.0
AL-6,AL,6,Deep South,Rural,,,,,,-34.60000000000001,-34.99999999999999
AL-7,AL,7,Deep South,Rural,,,,,,30.300000000000004,24.799999999999997
AK-AL,AK,AL,Northwest,Mixed,Low,High,Low,,,-10.0,-13.1
AZ-1,AZ,1,Southwest,Suburban,Very High,High,Low,Low,,1.5,-3.1
AZ-2,AZ,2,Southwest,Mixed,Low,Medium,Low,Low,,-7.900000000000006,-14.9
AZ-3,AZ,3,Southwest,Mixed,Low,Low,Medium,Very High,,50.6,39.6
AZ-4,AZ,4,Southwest,Suburban,High,Medium,Low,Medium,,10.300000000000004,7.3
AZ-5,AZ,5,Southwest,Suburban,High,High,Low,Medium,,-16.4,-19.9
AZ-6,AZ,6,Southwest,Mixed,High,High,Low,Medium,,0.09999999999999432,-0.7
AZ-7,AZ,7,Southwest,Mixed,Low,Low,Low,Very High,,32.699999999999996,22.1
AZ-8,AZ,8,Southwest,Mixed,Medium,High,Low,Medium,,-13.600000000000001,-16.3
AZ-9,AZ,9,Southwest,Rural,Low,High,Low,Medium,,-25.800000000000004,-31.0
AR-1,AR,1,Middle South,Rural,Low,Very High,Medium,Low,,-40.9,-45.3
AR-2,AR,2,Middle South,Rural,Medium,High,Medium,Low,,-13.100000000000001,-15.6
AR-3,AR,3,Middle South,Rural,Medium,High,Low,Low,,-23.400000000000006,-24.9
AR-4,AR,4,Middle South,Rural,Low,High,Medium,Low,,-35.2,-39.9
CA-1,CA,1,Pacific,Mixed,Medium,High,Low,Medium,,17.800000000000004,12.2
CA-2,CA,2,Pacific,Mixed,High,High,Low,Low,,28.4,24.6
CA-3,CA,3,Pacific,Mixed,High,High,Low,Medium,,14.0,10.1
CA-4,CA,4,Pacific,Mixed,Medium,Medium,Low,Medium,,21.1,14.5
CA-5,CA,5,Pacific,Rural,Medium,Medium,Low,Medium,,-14.5,-20.6
CA-6,CA,6,Pacific,Mixed,Medium,Medium,Low,Medium,,12.600000000000001,8.3
