race_id,state,district,region,district_type,college_share_tier,white_share_tier,black_share_tier,hispanic_share_tier,median_income_tier,pres_2020_margin_dem,pres_2024_margin_dem,dra_map_year,dra_population_dataset,dra_source_zip,total_population,white_population,hispanic_population,black_population,asian_population,native_population,pacific_population,voting_age_population,white_vap,hispanic_vap,black_vap,asian_vap,native_vap,pacific_vap,dra_composite_total_votes,dra_composite_dem_votes,dra_composite_rep_votes,white_population_share,hispanic_population_share,black_population_share,asian_population_share,native_population_share,pacific_population_share,white_vap_share,hispanic_vap_share,black_vap_share,asian_vap_share,native_vap_share,pacific_vap_share,dra_composite_dem_two_party_share,dra_composite_margin_dem,dra_data_available,dra_data_status,presidential_swing_2020_to_2024_dem,dra_composite_minus_2020_margin_dem,dra_composite_minus_2024_margin_dem
AK-AL,AK,AL,Northwest,Mixed,Low,High,Low,,,-10.0,-13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,at_large_state_fallback_pending,-3.0999999999999996,,
AL-1,AL,1,Deep South,Rural,,,,,,-30.199999999999996,-36.3,2026.0,2020 Census,AL-2026-Congressional-district-data.zip,717754.0,462966.0,27476.0,189894.0,14686.0,22041.0,1003.0,557393.0,373897.0,18188.0,137268.0,10410.0,16424.0,651.0,266466.0,100364.0,163528.0,64.50204387575687,3.828052508240985,26.456696862713407,2.0461049328878698,3.0708292813415183,0.1397414713118979,67.0796009278911,3.2630477957204342,24.62678935688105,1.8676230236117064,2.9465744995003527,0.116793716462173,38.03222530429115,-23.9355493914177,True,available,-6.100000000000001,6.264450608582294,12.364450608582295
AL-2,AL,2,Deep South,Rural,,,,,,-11.799999999999995,-17.300000000000004,2026.0,2020 Census,AL-2026-Congressional-district-data.zip,717755.0,357837.0,33329.0,298801.0,16883.0,14464.0,1412.0,559067.0,293496.0,20932.0,223228.0,12339.0,10647.0,930.0,259850.0,122409.0,135586.0,49.85503409937932,4.643506488983009,41.629943365075825,2.3521953870053154,2.0151723080995603,0.196724509059498,52.49746452571874,3.744095072683596,39.9286668681929,2.2070699933997178,1.9044229045892531,0.1663485771830567,47.44626833853369,-5.107463322932615,True,available,-5.500000000000009,6.69253667706738,12.19253667706739
AL-3,AL,3,Deep South,Rural,,,,,,-40.10000000000001,-45.900000000000006,2026.0,2020 Census,AL-2026-Congressional-district-data.zip,717754.0,502129.0,27470.0,156204.0,15755.0,16548.0,909.0,564595.0,405145.0,17599.0,116843.0,11992.0,12748.0,591.0,258909.0,82568.0,173978.0,69.95837013795813,3.827216567236128,21.76288812044238,2.1950417552531927,2.305525291395102,0.1266450622358078,71.75851716717293,3.1171016392281192,20.695011468397706,2.1240003896598445,2.257901681736466,0.104676803726565,32.18448153547512,-35.63103692904976,True,available,-5.799999999999997,4.468963070950245,10.268963070950242
AL-4,AL,4,Deep South,Rural,,,,,,-63.7,-67.80000000000001,2026.0,2020 Census,AL-2026-Congressional-district-data.zip,717754.0,575711.0,57537.0,56723.0,6614.0,23226.0,836.0,555217.0,459881.0,33850.0,40112.0,4593.0,17274.0,538.0,263025.0,57740.0,203153.0,80.21007197452052,8.016256266074448,7.902846936415541,0.9214856343538316,3.2359276298007393,0.1164744466767165,82.82905602674269,6.096715338327177,7.224562648477982,0.8272441225682932,3.1112159750151744,0.0968990502812413,22.13167850421437,-55.73664299157126,True,available,-4.1000000000000085,7.963357008428744,12.063357008428753
AL-5,AL,5,Deep South,Rural,,,,,,-27.1,-29.0,2026.0,2020 Census,AL-2026-Congressional-district-data.zip,717754.0,486765.0,47408.0,138438.0,19813.0,27316.0,1583.0,560406.0,393794.0,29677.0,102735.0,14045.0,20338.0,1004.0,278897.0,105895.0,168699.0,67.81780387152143,6.605048526375332,19.287666805061345,2.76041652153802,3.80576074811147,0.2205491017813902,70.26941181928817,5.295624957620011,18.33224483677905,2.506218705724064,3.629154577217232,0.1791558263116383,38.5642075209218,-22.871584958156404,True,available,-1.8999999999999986,4.228415041843597,6.128415041843596
AL-6,AL,6,Deep South,Rural,,,,,,-34.60000000000001,-34.99999999999999,2026.0,2020 Census,AL-2026-Congressional-district-data.zip,717754.0,497253.0,40423.0,147195.0,17137.0,15645.0,809.0,552230.0,395669.0,25834.0,106353.0,12068.0,11720.0,553.0,294733.0,102990.0,187719.0,69.27902874801116,5.6318738732211875,20.507722701649868,2.3875868333718797,2.1797161701641508,0.1127127121548608,71.64931278633902,4.678123245749054,19.258823316371803,2.185321333502345,2.1223041124169275,0.1001394346558499,35.427179757076665,-29.14564048584667,True,available,-0.39999999999998437,5.454359514153339,5.854359514153323
AL-7,AL,7,Deep South,Rural,,,,,,30.300000000000004,24.799999999999997,2026.0,2020 Census,AL-2026-Congressional-district-data.zip,717754.0,288690.0,30404.0,377481.0,11889.0,11790.0,927.0,568258.0,242662.0,20776.0,287833.0,9462.0,8963.0,623.0,293641.0,186924.0,104707.0,40.221301448685765,4.235991718611112,52.59197440905937,1.6564171011237834,1.6426240745436458,0.1291528852503782,42.70278641039809,3.6560857920170062,50.65181660442968,1.6650887449010836,1.577276518764364,0.1096333003670867,64.09606660471623,28.192133209432463,True,available,-5.500000000000007,-2.1078667905675417,3.3921332094324654
AR-1,AR,1,Middle South,Rural,Low,Very High,Medium,Low,,-40.9,-45.3,2022.0,2020 Census,AR-2022-Congressional-district-data.zip,752509.0,551532.0,29297.0,139921.0,7852.0,21046.0,1895.0,579039.0,438676.0,18103.0,97812.0,5576.0,16066.0,1079.0,253353.0,73762.0,172730.0,73.2924124495521,3.893242472847501,18.593930438041273,1.043442669788667,2.7967771814024815,0.251824230673653,75.75931845696059,3.1263869963853903,16.89212643707937,0.9629748600698744,2.774597220567181,0.1863432342208383,29.924703438651154,-40.15059312269769,True,available,-4.399999999999999,0.7494068773023059,5.1494068773023045
AR-2,AR,2,Middle South,Rural,Medium,High,Medium,Low,,-13.1,-15.6,2022.0,2020 Census,AR-2022-Congressional-district-data.zip,752710.0,498838.0,46673.0,166319.0,18424.0,23460.0,1008.0,582706.0,402756.0,30008.0,118487.0,13270.0,17665.0,677.0,294794.0,119695.0,166735.0,66.27226953275498,6.200661609384756,22.096026358092757,2.4476890170185066,3.116738186021177,0.1339161164326234,69.11821742010551,5.1497667777575655,20.333924826584933,2.277306223035287,3.031545925389476,0.1161820883944905,41.78856963306916,-16.422860733861675,True,available,-2.5,-3.322860733861676,-0.8228607338616758
AR-3,AR,3,Middle South,Rural,Medium,High,Low,Low,,-23.40000000000001,-24.9,2022.0,2020 Census,AR-2022-Congressional-district-data.zip,753219.0,509829.0,124073.0,31858.0,33269.0,45272.0,13592.0,566367.0,405651.0,78667.0,20163.0,23673.0,31822.0,7661.0,252852.0,87172.0,157289.0,67.68668873196242,16.472367266359452,4.229579976076015,4.416909291985465,6.010469730583004,1.8045216597032203,71.62334669922507,13.889756995022662,3.560059113613611,4.179798611147895,5.618618316392022,1.3526564930513254,35.65885765009551,-28.682284699808967,True,available,-1.4999999999999893,-5.282284699808958,-3.7822846998089688
