probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
0–10%,0.0,0.1,114,0.02650649240469664,0.0,0.02650649240469664,0.0014804769992455959
10–20%,0.1,0.2,30,0.15269983478457588,0.0,0.15269983478457588,0.024090318389488462
20–30%,0.2,0.30000000000000004,20,0.24770055082201242,0.0,0.24770055082201242,0.06203353559268695
30–40%,0.30000000000000004,0.4,22,0.3504883232284204,0.09090909090909091,0.25957923231932944,0.15242181056111875
40–50%,0.4,0.5,12,0.4581575651751313,0.4166666666666667,0.0414908985084646,0.23484788002153859
50–60%,0.5,0.6000000000000001,8,0.5534247897278957,0.625,-0.07157521027210434,0.24166463686541342
60–70%,0.6000000000000001,0.7000000000000001,11,0.6611782018797686,0.9090909090909091,-0.24791270721114045,0.13625687673148063
70–80%,0.7000000000000001,0.8,15,0.7637568631207761,0.7333333333333333,0.030423529787442782,0.19912215330469352
80–90%,0.8,0.9,15,0.8587966237907063,0.8666666666666667,-0.007870042875960381,0.12251435419977466
90–100%,0.9,1.0,160,0.9845992346727336,0.98125,0.0033492346727336253,0.01819770552862109
